train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
35,0000;1,8887;55,4600;1,4693;45,0759;55,4600;45,0759
53,2840;1,5329;61,3700;1,4230;53,6414;61,3700;53,6414
61,0700;1,3687;62,5600;1,4541;51,3034;62,5600;51,3034
65,8560;1,2692;72,2200;1,1749;50,8759;72,2200;50,8759
68,8880;1,2033;73,7600;1,1437;59,1172;73,7600;59,1172
70,9040;1,1581;79,8400;0,9949;63,4276;79,8400;63,4276
72,6280;1,1155;78,1300;1,0235;60,5448;78,1300;60,5448
74,2860;1,0806;81,8600;0,9433;62,0138;81,8600;62,0138
75,6160;1,0493;83,3600;0,8970;68,3379;83,3600;68,3379
76,6320;1,0220;84,8000;0,8659;68,6690;84,8000;68,6690
77,7920;1,0010;85,3400;0,8322;68,9103;85,3400;68,9103
79,0720;0,9714;85,0400;0,8422;66,4552;85,0400;66,4552
79,8600;0,9477;88,0200;0,7804;69,3724;88,0200;69,3724
81,1240;0,9286;88,5800;0,7610;72,3379;88,5800;72,3379
81,8900;0,9046;89,6100;0,7400;73,5379;89,6100;73,5379
82,8160;0,8884;89,2200;0,7435;73,8966;89,2200;73,8966
83,4460;0,8703;90,3600;0,7219;73,0897;90,3600;73,0897
84,0100;0,8614;90,5400;0,7143;74,4690;90,5400;74,4690
84,4600;0,8501;90,8500;0,7110;74,3103;90,8500;74,3103
84,5020;0,8487;91,1000;0,7093;74,5586;91,1000;74,5586
77,1500;1,0156;81,5300;0,9329;65,3310;81,5300;65,3310
76,9180;1,0190;81,3400;0,9543;64,0690;81,3400;64,0690
77,4420;1,0057;85,7900;0,8294;70,1862;85,7900;70,1862
78,3240;0,9912;83,3400;0,9047;65,9586;83,3400;65,9586
78,6720;0,9819;87,0800;0,7981;68,9034;87,0800;68,9034
79,3700;0,9653;85,3600;0,8413;64,7103;85,3600;64,7103
79,5240;0,9599;85,4400;0,8407;66,5241;85,4400;66,5241
80,2840;0,9420;86,8300;0,8031;68,2966;86,8300;68,2966
80,7020;0,9333;88,4800;0,7747;72,3517;88,4800;72,3517
81,5160;0,9176;87,7300;0,7978;71,6897;87,7300;71,6897
81,5640;0,9145;89,0900;0,7550;73,5310;89,0900;73,5310
82,3720;0,9005;88,6300;0,7642;71,0138;88,6300;71,0138
82,3840;0,8966;89,5700;0,7505;71,6069;89,5700;71,6069
82,5680;0,8870;88,8900;0,7602;69,8207;88,8900;69,8207
83,5420;0,8698;87,8300;0,7853;70,8276;87,8300;70,8276
83,7160;0,8648;88,5800;0,7687;72,1379;88,5800;72,1379
84,1160;0,8556;90,5600;0,7236;73,9034;90,5600;73,9034
84,3200;0,8492;90,5600;0,7180;75,3724;90,5600;75,3724
84,9760;0,8385;90,6800;0,7218;75,1724;90,6800;75,1724
85,1800;0,8350;90,8400;0,7054;76,4483;90,8400;76,4483
85,5400;0,8240;91,6800;0,7000;75,9517;91,6800;75,9517
85,8340;0,8184;91,6100;0,6962;77,9862;91,6100;77,9862
86,2920;0,8070;91,9300;0,6913;77,2483;91,9300;77,2483
86,8380;0,7959;91,7000;0,6992;74,3724;91,7000;74,3724
87,0960;0,7897;92,4100;0,6772;76,4552;92,4100;76,4552
87,5580;0,7800;92,1600;0,6848;76,4759;92,1600;76,4759
87,8020;0,7722;92,8600;0,6696;77,2207;92,8600;77,2207
88,2080;0,7654;92,9300;0,6684;77,4759;92,9300;77,4759
88,3040;0,7599;93,1300;0,6617;79,1862;93,1300;79,1862
88,5980;0,7540;93,4400;0,6589;78,3310;93,4400;78,3310
89,0300;0,7475;93,4200;0,6561;78,1655;93,4200;78,1655
89,2680;0,7434;93,3500;0,6550;78,9172;93,3500;78,9172
89,6520;0,7340;93,2800;0,6564;79,1034;93,2800;79,1034
89,6340;0,7333;93,8400;0,6500;78,7517;93,8400;78,7517
89,9480;0,7262;93,8700;0,6507;78,3655;93,8700;78,3655
90,2160;0,7178;93,7700;0,6511;79,0345;93,7700;79,0345
90,3620;0,7184;93,5900;0,6498;79,3379;93,5900;79,3379
90,1200;0,7192;93,8900;0,6490;79,2276;93,8900;79,2276
90,4880;0,7171;93,8200;0,6473;79,3862;93,8200;79,3862
90,3360;0,7185;93,7600;0,6474;79,4276;93,7600;79,4276
84,0780;0,8575;87,0600;0,8089;69,2414;87,0600;69,2414
83,1860;0,8762;88,1900;0,7690;74,4069;88,1900;74,4069
83,4040;0,8720;87,5600;0,7907;70,9931;87,5600;70,9931
83,7380;0,8658;89,1100;0,7506;71,0621;89,1100;71,0621
83,7960;0,8644;88,7900;0,7627;71,6966;88,7900;71,6966
83,7620;0,8627;87,2300;0,8178;69,5103;87,2300;69,5103
84,1000;0,8549;89,6400;0,7500;72,9241;89,6400;72,9241
84,2760;0,8542;89,9300;0,7391;72,1241;89,9300;72,1241
84,4460;0,8492;90,5900;0,7245;72,9931;90,5900;72,9931
84,5780;0,8413;90,2300;0,7235;73,4690;90,2300;73,4690
84,9240;0,8404;89,0400;0,7566;72,8138;89,0400;72,8138
84,9280;0,8355;90,5100;0,7240;78,0966;90,5100;78,0966
85,3080;0,8322;91,0900;0,7164;72,2828;91,0900;72,2828
85,4960;0,8272;89,2600;0,7600;72,6897;89,2600;72,6897
85,4240;0,8244;91,4700;0,7031;75,2621;91,4700;75,2621
85,5380;0,8232;90,2300;0,7324;73,3793;90,2300;73,3793
85,6440;0,8185;91,2700;0,7022;75,8621;91,2700;75,8621
85,7560;0,8164;90,9500;0,7124;74,9862;90,9500;74,9862
85,8920;0,8138;90,6300;0,7151;74,9172;90,6300;74,9172
86,0460;0,8115;91,1100;0,7158;74,1586;91,1100;74,1586
86,1220;0,8095;90,8500;0,7184;73,2483;90,8500;73,2483
86,4320;0,8045;91,0900;0,7191;72,3793;91,0900;72,3793
86,6300;0,7999;90,9500;0,7102;76,8207;90,9500;76,8207
86,6240;0,7985;91,3100;0,7151;76,1241;91,3100;76,1241
86,6920;0,7972;91,3500;0,7105;74,1034;91,3500;74,1034
87,0560;0,7898;90,3600;0,7249;73,4069;90,3600;73,4069
86,8620;0,7931;91,4200;0,7078;77,3103;91,4200;77,3103
87,2800;0,7847;91,0900;0,7231;73,9655;91,0900;73,9655
87,3100;0,7863;92,3300;0,6788;75,9172;92,3300;75,9172
87,5080;0,7782;92,2700;0,6922;76,8897;92,2700;76,8897
87,5440;0,7780;91,7300;0,6952;73,5103;91,7300;73,5103
87,6900;0,7734;91,7600;0,6985;75,4759;91,7600;75,4759
87,9180;0,7681;92,3000;0,6875;75,7655;92,3000;75,7655
88,0740;0,7675;92,2400;0,6977;74,8414;92,2400;74,8414
88,2920;0,7631;92,2200;0,6912;77,0690;92,2200;77,0690
88,3280;0,7625;92,6400;0,6850;76,6759;92,6400;76,6759
88,5760;0,7561;92,6300;0,6801;75,3241;92,6300;75,3241
88,5180;0,7543;92,8600;0,6719;77,7862;92,8600;77,7862
88,7720;0,7516;92,6200;0,6787;77,8138;92,6200;77,8138
88,7660;0,7501;93,2300;0,6625;78,8069;93,2300;78,8069
89,2920;0,7402;93,2600;0,6670;78,1862;93,2600;78,1862
89,3820;0,7373;93,7300;0,6570;79,1931;93,7300;79,1931
89,3220;0,7384;93,2200;0,6613;79,0828;93,2200;79,0828
89,3240;0,7362;93,7000;0,6589;77,3655;93,7000;77,3655
89,8480;0,7292;93,1600;0,6666;77,9793;93,1600;77,9793
89,9200;0,7249;93,7000;0,6597;76,8897;93,7000;76,8897
90,0220;0,7238;93,5800;0,6618;79,0897;93,5800;79,0897
90,4960;0,7157;93,8200;0,6588;78,2690;93,8200;78,2690
90,4520;0,7155;94,1400;0,6508;79,5862;94,1400;79,5862
90,5500;0,7115;93,2200;0,6677;75,3379;93,2200;75,3379
90,6280;0,7100;94,0900;0,6463;79,5793;94,0900;79,5793
90,9780;0,7035;93,6900;0,6598;78,9793;93,6900;78,9793
90,8420;0,7041;94,2600;0,6460;78,9310;94,2600;78,9310
91,1980;0,6989;94,3000;0,6448;80,0138;94,3000;80,0138
91,1640;0,6968;94,0100;0,6534;80,2207;94,0100;80,2207
91,2180;0,6958;94,3700;0,6487;78,6621;94,3700;78,6621
91,3500;0,6919;94,5000;0,6450;77,5034;94,5000;77,5034
91,6700;0,6865;94,5600;0,6405;78,5034;94,5600;78,5034
91,6680;0,6866;94,2700;0,6438;79,8414;94,2700;79,8414
91,9120;0,6813;94,5100;0,6371;80,4138;94,5100;80,4138
91,8920;0,6797;94,4800;0,6403;81,8138;94,4800;81,8138
92,0960;0,6793;94,5300;0,6414;81,1793;94,5300;81,1793
92,4080;0,6721;94,6500;0,6386;80,8069;94,6500;80,8069
92,2080;0,6743;94,8100;0,6374;80,4414;94,8100;80,4414
92,3260;0,6731;94,8000;0,6360;80,0966;94,8000;80,0966
92,3760;0,6705;94,6300;0,6331;80,8552;94,6300;80,8552
92,6500;0,6650;95,0200;0,6322;81,1034;95,0200;81,1034
92,6140;0,6655;94,8400;0,6328;80,3379;94,8400;80,3379
