;config_463_avg;config_463_std;config_463_run_0;config_463_run_1;config_463_run_2;config_463_run_3;config_463_run_4
Standard_Acc;96,1800;0,1524;95,9000;96,3100;96,3000;96,1400;96,2500
RMSCE;0,0487;0,0030;0,0529;0,0498;0,0502;0,0459;0,0448
gaussian_noise;86,3000;0,7183;85,7000;87,3000;86,0000;85,5000;87,0000
shot_noise;87,2600;0,7031;87,1000;87,8000;88,0000;86,0000;87,4000
impulse_noise;85,1400;2,0771;82,5000;87,6000;83,5000;84,6000;87,5000
defocus_blur;93,6600;0,4409;93,9000;94,3000;93,4000;93,7000;93,0000
glass_blur;88,2200;0,5231;87,8000;88,2000;88,8000;87,5000;88,8000
motion_blur;92,2800;0,4915;92,5000;92,3000;93,0000;91,5000;92,1000
zoom_blur;92,8400;1,1271;91,0000;93,2000;94,2000;93,6000;92,2000
snow;91,2600;0,2577;91,5000;91,5000;90,8000;91,3000;91,2000
frost;93,5800;0,4261;93,3000;93,6000;93,3000;93,3000;94,4000
fog;93,4200;0,2482;93,3000;93,9000;93,4000;93,3000;93,2000
brightness;95,3800;0,5344;95,4000;95,2000;94,5000;95,7000;96,1000
contrast;93,6400;0,6946;92,6000;94,7000;94,0000;93,4000;93,5000
elastic_transform;91,3000;0,6633;90,8000;92,1000;91,2000;90,4000;92,0000
pixelate;90,1000;0,5367;89,2000;90,6000;90,6000;89,8000;90,3000
jpeg_compression;85,8600;1,1758;84,8000;84,8000;86,4000;85,4000;87,9000
speckle_noise;89,2600;0,6020;88,6000;89,5000;90,0000;88,5000;89,7000
gaussian_blur;91,1400;1,0385;90,3000;92,9000;91,7000;90,1000;90,7000
spatter;92,7000;0,5933;93,2000;92,1000;92,2000;93,6000;92,4000
saturate;94,9200;0,4874;94,2000;95,0000;95,0000;94,7000;95,7000
blue_noise;87,6800;0,6112;88,0000;88,4000;88,1000;87,0000;86,9000
brownish_noise;76,3600;1,7304;78,5000;76,8000;74,5000;74,2000;77,8000
checkerboard_cutout;87,0000;1,1866;86,7000;85,1000;87,1000;87,3000;88,8000
circular_motion_blur;91,7600;0,7710;91,0000;91,7000;93,2000;91,2000;91,7000
inverse_sparkles;75,5800;1,6437;74,4000;76,3000;77,8000;76,3000;73,1000
lines;80,0400;0,7552;79,6000;81,3000;80,4000;79,8000;79,1000
pinch_and_twirl;93,6800;0,1470;93,8000;93,9000;93,6000;93,6000;93,5000
ripple;86,5000;0,7874;87,1000;87,3000;87,0000;85,4000;85,7000
sparkles;87,2600;1,2737;85,5000;89,1000;88,1000;87,3000;86,3000
transverse_chromatic_abberation;84,0800;0,9745;82,6000;84,5000;83,3000;84,8000;85,2000
Acc_C-all-19;90,9611;0,3877;90,4053;91,4000;91,0526;90,6263;91,3211
Acc_C-original-15;90,6827;0,4151;90,0933;91,1400;90,7400;90,3333;91,1067
Acc_C-bar-10;84,9940;0,3163;84,7200;85,4400;85,3100;84,6900;84,8100
Acc_all-ex-pixelwise-noise-24;89,2733;0,2704;88,8750;89,6000;89,4792;89,0500;89,3625
RMSCE_C;0,0648;0,0022;0,0671;0,0678;0,0633;0,0627;0,0633
Combined_Noise;89,4980;0,4022;88,9500;89,4900;90,1400;89,2400;89,6700
