;config_525_avg;config_525_std;config_525_run_0;config_525_run_1;config_525_run_2
Standard_Acc;95,8867;0,1678;95,8700;96,1000;95,6900
RMSCE;0,0553;0,0020;0,0540;0,0538;0,0580
gaussian_noise;34,3980;0,4223;34,2540;34,9720;33,9680
shot_noise;47,4313;0,4947;47,1940;48,1200;46,9800
impulse_noise;46,6907;0,8522;45,9600;46,2260;47,8860
defocus_blur;82,3667;0,5361;82,6500;81,6160;82,8340
glass_blur;54,2607;1,5350;56,3640;53,6740;52,7440
motion_blur;79,9633;0,4095;80,5020;79,5100;79,8780
zoom_blur;77,9013;0,6561;77,5060;77,3720;78,8260
snow;84,5340;0,5721;85,2520;84,4980;83,8520
frost;78,6600;0,7024;79,4080;78,8520;77,7200
fog;88,3927;0,4555;88,7960;87,7560;88,6260
brightness;94,6047;0,0799;94,6540;94,6680;94,4920
contrast;74,5247;1,2804;75,8560;72,7960;74,9220
elastic_transform;86,1100;0,3550;86,3660;85,6080;86,3560
pixelate;76,1220;1,8064;76,7700;77,9380;73,6580
jpeg_compression;80,1987;0,7859;81,3100;79,6520;79,6340
speckle_noise;52,0347;0,7967;52,1760;52,9320;50,9960
gaussian_blur;72,3340;0,4312;72,8200;71,7720;72,4100
spatter;89,1873;0,4543;89,6500;89,3420;88,5700
saturate;92,8933;0,1694;93,1240;92,8340;92,7220
blue_noise;86,8627;1,6954;89,1340;85,0620;86,3920
brownish_noise;71,9433;1,3452;73,8040;70,6700;71,3560
checkerboard_cutout;80,4567;0,8320;80,3520;81,5240;79,4940
circular_motion_blur;90,8973;0,4172;91,2540;91,1260;90,3120
inverse_sparkles;59,0880;1,6742;61,4540;57,9820;57,8280
lines;76,5513;0,5813;75,7360;76,8680;77,0500
pinch_and_twirl;91,1900;0,2553;91,4200;91,3160;90,8340
ripple;82,3400;0,8514;82,9540;82,9300;81,1360
sparkles;84,1633;0,8495;85,3520;83,4180;83,7200
transverse_chromatic_abberation;53,6660;1,6993;52,2700;52,6700;56,0580
Acc_C-all-19;73,2952;0,3051;73,7164;73,1652;73,0039
Acc_C-original-15;72,4106;0,3160;72,8561;72,2172;72,1584
Acc_C-bar-10;77,7159;0,4653;78,3730;77,3566;77,4180
Acc_all-ex-pixelwise-noise-24;79,2646;0,3918;79,8177;79,0163;78,9597
RMSCE_C;0,1022;0,0024;0,1002;0,1007;0,1055
Combined_Noise;71,1267;0,4797;71,1900;71,6800;70,5100
