train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
51,0340;1,5491;58,6600;1,5513;45,6690;58,6600;45,6690
75,9940;1,0624;70,3000;1,2922;50,8414;70,3000;50,8414
84,2100;0,8900;74,6800;1,1297;52,4483;74,6800;52,4483
87,6160;0,8113;79,4500;1,0329;52,2000;79,4500;52,2000
89,4680;0,7630;82,5900;0,9601;57,9586;82,5900;57,9586
91,1020;0,7277;83,7000;0,9072;59,4828;83,7000;59,4828
92,3960;0,6967;80,4500;1,0472;54,6276;80,4500;54,6276
92,8900;0,6819;83,2700;0,9388;54,1310;83,2700;54,1310
93,8040;0,6603;86,0800;0,8542;58,4897;86,0800;58,4897
94,4540;0,6441;86,6600;0,8540;61,7931;86,6600;61,7931
94,8500;0,6345;84,2600;0,9255;57,4552;84,2600;57,4552
95,2860;0,6229;88,9400;0,7813;62,2690;88,9400;62,2690
95,7220;0,6122;89,6400;0,7608;65,8000;89,6400;65,8000
96,2360;0,6015;90,5700;0,7623;64,0069;90,5700;64,0069
96,6060;0,5915;90,6100;0,7487;61,4966;90,6100;61,4966
96,9200;0,5847;90,8500;0,7413;63,1586;90,8500;63,1586
97,1620;0,5793;90,8200;0,7361;63,9172;90,8200;63,9172
97,4280;0,5721;91,2700;0,7270;63,6759;91,2700;63,6759
97,4900;0,5705;91,5800;0,7118;65,1310;91,5800;65,1310
97,5300;0,5696;91,6500;0,7166;65,0552;91,6500;65,0552
93,6300;0,6592;86,0200;0,8604;60,5310;86,0200;60,5310
94,1140;0,6520;87,0100;0,8472;60,5724;87,0100;60,5724
94,3620;0,6430;83,5800;0,9056;53,8483;83,5800;53,8483
94,7260;0,6352;88,0200;0,8272;61,8414;88,0200;61,8414
94,8680;0,6319;88,0500;0,8000;59,4483;88,0500;59,4483
95,2600;0,6222;87,4500;0,8178;60,7793;87,4500;60,7793
95,4660;0,6170;87,4200;0,8103;57,8621;87,4200;57,8621
95,5860;0,6130;88,8400;0,7752;60,5103;88,8400;60,5103
95,7640;0,6098;90,1600;0,7574;62,1034;90,1600;62,1034
95,9520;0,6036;88,6200;0,7898;60,4552;88,6200;60,4552
96,1460;0,5998;88,9700;0,7789;60,1379;88,9700;60,1379
96,1700;0,5998;90,3900;0,7374;65,2069;90,3900;65,2069
96,5020;0,5923;89,1200;0,7651;60,7931;89,1200;60,7931
96,4940;0,5911;89,8400;0,7525;63,7724;89,8400;63,7724
96,7560;0,5856;90,4300;0,7385;62,9448;90,4300;62,9448
96,7040;0,5849;90,8700;0,7385;62,8966;90,8700;62,8966
96,9560;0,5788;90,8200;0,7286;63,2621;90,8200;63,2621
97,1660;0,5754;90,8000;0,7404;64,3379;90,8000;64,3379
97,2020;0,5727;90,6600;0,7391;65,8759;90,6600;65,8759
97,2220;0,5716;91,2500;0,7124;64,2552;91,2500;64,2552
97,5740;0,5654;92,0500;0,7006;64,7862;92,0500;64,7862
97,6660;0,5632;91,6100;0,7021;65,5172;91,6100;65,5172
97,8100;0,5587;91,4900;0,7082;63,3793;91,4900;63,3793
97,8620;0,5553;91,9900;0,7026;65,8966;91,9900;65,8966
97,9700;0,5538;92,4000;0,6937;67,0483;92,4000;67,0483
98,1020;0,5517;92,1600;0,6955;65,9586;92,1600;65,9586
98,2940;0,5466;92,4800;0,6861;63,9517;92,4800;63,9517
98,3840;0,5451;93,2300;0,6624;68,0828;93,2300;68,0828
98,4680;0,5421;93,2500;0,6621;67,0000;93,2500;67,0000
98,5880;0,5390;92,9400;0,6768;67,2828;92,9400;67,2828
98,7060;0,5356;93,5400;0,6627;67,1655;93,5400;67,1655
98,6860;0,5362;93,6200;0,6613;66,9103;93,6200;66,9103
98,7820;0,5339;93,6500;0,6581;68,8345;93,6500;68,8345
98,8980;0,5319;94,0400;0,6571;68,7241;94,0400;68,7241
98,9700;0,5303;94,0100;0,6544;68,7586;94,0100;68,7586
98,9700;0,5302;94,1200;0,6484;68,3172;94,1200;68,3172
99,0360;0,5287;94,0700;0,6531;68,0690;94,0700;68,0690
99,1240;0,5274;94,1600;0,6510;68,5655;94,1600;68,5655
99,0560;0,5278;94,1700;0,6534;69,1034;94,1700;69,1034
99,0720;0,5278;94,0500;0,6521;68,1793;94,0500;68,1793
95,9360;0,6023;87,3600;0,8267;58,1586;87,3600;58,1586
95,8900;0,6031;89,5700;0,7659;65,1379;89,5700;65,1379
95,9720;0,6003;89,8300;0,7498;61,2621;89,8300;61,2621
96,2600;0,5950;89,9000;0,7569;64,2207;89,9000;64,2207
96,2200;0,5948;89,6500;0,7606;58,8414;89,6500;58,8414
96,4180;0,5915;89,4900;0,7614;62,2483;89,4900;62,2483
96,3140;0,5917;89,0600;0,7721;63,6138;89,0600;63,6138
96,3860;0,5888;89,3500;0,7589;63,3448;89,3500;63,3448
96,5960;0,5861;90,8800;0,7200;65,1172;90,8800;65,1172
