time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
33,9784;36,6700;1,8683;57,4800;1,4672;44,9103;57,4800;44,9103
68,4991;55,1540;1,5047;60,4900;1,5239;49,0552;60,4900;49,0552
103,0549;63,1340;1,3424;72,8000;1,2183;60,5034;72,8000;60,5034
136,6726;67,4480;1,2444;74,0600;1,1333;58,7931;74,0600;58,7931
170,7482;70,1920;1,1866;78,6000;1,0549;66,3448;78,6000;66,3448
204,8729;72,3600;1,1412;81,9400;0,9638;68,7172;81,9400;68,7172
238,2640;74,0380;1,1012;80,9200;0,9862;67,1172;80,9200;67,1172
271,5633;75,8280;1,0622;82,8300;0,9319;69,6345;82,8300;69,6345
305,2527;76,7340;1,0369;84,2900;0,9162;70,4483;84,2900;70,4483
339,2213;78,0400;1,0125;85,3700;0,8872;73,6414;85,3700;73,6414
372,7235;79,0480;0,9885;85,7600;0,8626;73,2276;85,7600;73,2276
406,2855;80,1940;0,9638;87,6200;0,8422;73,9103;87,6200;73,9103
439,9748;80,6340;0,9469;88,2300;0,8089;75,2690;88,2300;75,2690
473,2423;81,3640;0,9333;89,1100;0,7897;77,3034;89,1100;77,3034
507,6613;82,4500;0,9078;89,2700;0,7838;77,4690;89,2700;77,4690
541,2204;82,7520;0,9000;89,6800;0,7696;77,1655;89,6800;77,1655
574,6550;83,6040;0,8823;90,2700;0,7558;78,9034;90,2700;78,9034
608,3442;84,1140;0,8701;90,6600;0,7505;79,6069;90,6600;79,6069
641,8164;84,5060;0,8591;90,6900;0,7488;79,4690;90,6900;79,4690
675,3300;84,8340;0,8579;90,6900;0,7509;79,5103;90,6900;79,5103
709,5934;78,3260;1,0020;83,9200;0,9092;69,6069;83,9200;69,6069
743,3296;78,1620;1,0020;85,8100;0,8874;73,1310;85,8100;73,1310
776,7063;79,0500;0,9853;86,1700;0,8609;73,4345;86,1700;73,4345
810,5944;79,1480;0,9810;87,7700;0,8297;74,6345;87,7700;74,6345
844,4294;80,2300;0,9605;86,0400;0,8579;73,1655;86,0400;73,1655
878,4134;80,2580;0,9541;87,9000;0,8376;76,5517;87,9000;76,5517
912,2872;80,8180;0,9453;87,4800;0,8415;74,3172;87,4800;74,3172
946,1745;81,1260;0,9368;87,7300;0,8319;74,6414;87,7300;74,6414
979,8504;81,5160;0,9237;88,9900;0,7928;77,0138;88,9900;77,0138
1014,2593;81,8720;0,9214;89,3600;0,7781;76,4000;89,3600;76,4000
1048,1922;82,6020;0,9045;87,6500;0,8137;72,1241;87,6500;72,1241
1082,0666;82,6540;0,9026;89,4300;0,7772;77,3241;89,4300;77,3241
