;config_433_avg;config_433_std;config_433_run_0;config_433_run_1;config_433_run_2
Standard_Acc;96,4967;0,0785;96,6000;96,4100;96,4800
RMSCE;0,0578;0,0038;0,0632;0,0548;0,0555
gaussian_noise;85,9260;0,1857;86,0240;85,6660;86,0880
shot_noise;88,5633;0,2959;88,6840;88,1560;88,8500
impulse_noise;88,4600;0,2814;88,4360;88,8160;88,1280
defocus_blur;93,9900;0,0608;93,9460;94,0760;93,9480
glass_blur;87,1580;0,2470;87,0980;86,8900;87,4860
motion_blur;91,2640;0,3420;91,4280;91,5760;90,7880
zoom_blur;92,6787;0,2180;92,7620;92,8940;92,3800
snow;91,6020;0,2111;91,4380;91,4680;91,9000
frost;92,1927;0,3350;91,9980;91,9160;92,6640
fog;94,0300;0,0796;94,1060;94,0640;93,9200
brightness;95,9907;0,0431;96,0480;95,9800;95,9440
contrast;94,1913;0,1359;94,3280;94,0060;94,2400
elastic_transform;90,6720;0,0402;90,7240;90,6260;90,6660
pixelate;86,9400;0,5502;86,5020;86,6020;87,7160
jpeg_compression;84,4433;0,6100;84,0140;84,0100;85,3060
speckle_noise;88,8260;0,2278;88,8540;88,5340;89,0900
gaussian_blur;93,0140;0,1112;92,9800;93,1640;92,8980
spatter;92,8833;0,1119;92,7460;92,8840;93,0200
saturate;95,0893;0,0433;95,1440;95,0860;95,0380
blue_noise;86,7447;0,5508;86,2540;87,5140;86,4660
brownish_noise;79,9647;0,8123;79,7880;79,0700;81,0360
checkerboard_cutout;87,3440;0,2944;86,9720;87,3680;87,6920
circular_motion_blur;92,4033;0,3241;92,8380;92,3120;92,0600
inverse_sparkles;75,4300;0,5840;75,7160;74,6160;75,9580
lines;79,8880;0,6974;80,8740;79,4160;79,3740
pinch_and_twirl;93,0493;0,1754;93,0820;92,8200;93,2460
ripple;85,7700;0,5373;85,1340;85,7280;86,4480
sparkles;87,1807;0,4134;86,8560;86,9220;87,7640
transverse_chromatic_abberation;83,3327;0,9276;83,7180;84,2260;82,0540
Acc_C-all-19;90,9429;0,0822;90,9084;90,8639;91,0563
Acc_C-original-15;90,5401;0,0931;90,5024;90,4497;90,6683
Acc_C-bar-10;85,1107;0,0864;85,1232;84,9992;85,2098
Acc_all-ex-pixelwise-noise-24;89,1876;0,0994;89,1767;89,0717;89,3144
RMSCE_C;0,0509;0,0013;0,0524;0,0493;0,0508
Combined_Noise;90,1533;0,0591;90,0700;90,2000;90,1900
