time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
50,3712;6,7820;4,2482;11,4800;3,9574;9,6207;11,4800;9,6207
99,0870;13,5560;3,8877;18,8100;3,5838;14,2552;18,8100;14,2552
143,6257;19,8780;3,5913;27,3200;3,2988;21,2552;27,3200;21,2552
192,0090;25,6600;3,3405;35,0800;2,9372;27,2000;35,0800;27,2000
237,4477;29,7880;3,1751;40,1400;2,7486;31,4069;40,1400;31,4069
286,1889;33,5700;3,0265;41,8100;2,7282;30,3172;41,8100;30,3172
336,4443;36,1520;2,9234;43,0100;2,6880;33,3793;43,0100;33,3793
386,1586;38,6180;2,8232;49,6200;2,4057;37,1103;49,6200;37,1103
435,8312;41,2380;2,7374;52,9300;2,2897;40,9793;52,9300;40,9793
485,2837;43,2420;2,6590;53,4800;2,2683;41,6759;53,4800;41,6759
536,9783;45,1920;2,5936;56,1700;2,1675;43,6207;56,1700;43,6207
586,0438;47,0500;2,5308;57,5200;2,1310;45,1655;57,5200;45,1655
634,8839;48,7740;2,4727;59,2200;2,0763;44,7310;59,2200;44,7310
685,1401;50,2600;2,4228;60,8700;2,0260;46,2621;60,8700;46,2621
731,8371;51,6040;2,3721;62,1200;1,9854;48,5655;62,1200;48,5655
776,8018;52,7960;2,3336;63,8100;1,9364;49,4000;63,8100;49,4000
821,6936;54,0360;2,2978;64,4500;1,9153;49,7034;64,4500;49,7034
870,8822;54,8080;2,2672;64,9100;1,8922;50,5034;64,9100;50,5034
920,0662;55,6180;2,2486;65,3000;1,8835;50,8828;65,3000;50,8828
968,8495;55,6540;2,2412;65,3300;1,8795;50,6897;65,3300;50,6897
1020,0705;45,3820;2,5856;51,2800;2,3782;37,5655;51,2800;37,5655
1069,4580;45,5440;2,5745;51,4200;2,3818;37,8207;51,4200;37,8207
1118,1786;46,4340;2,5519;55,1600;2,2516;40,4690;55,1600;40,4690
1164,7824;47,8960;2,4980;54,3400;2,2387;42,2138;54,3400;42,2138
1213,8977;48,4120;2,4651;56,0100;2,1946;42,6000;56,0100;42,6000
1259,7248;49,8180;2,4335;58,1600;2,1055;43,2828;58,1600;43,2828
1308,6177;50,6220;2,4039;59,5300;2,0486;45,2759;59,5300;45,2759
1357,3145;51,4020;2,3669;60,0100;2,0403;44,6345;60,0100;44,6345
1407,5337;52,2500;2,3385;60,1800;2,0431;46,6345;60,1800;46,6345
1456,1626;53,5740;2,2975;62,1400;1,9715;48,1724;62,1400;48,1724
1506,7735;54,3160;2,2698;62,3100;1,9692;47,6966;62,3100;47,6966
1554,4769;55,1460;2,2479;64,4500;1,9155;48,2207;64,4500;48,2207
1602,4492;56,1100;2,2167;63,5100;1,9149;49,2414;63,5100;49,2414
1647,4158;56,5460;2,1973;65,5700;1,8703;50,4828;65,5700;50,4828
1694,2713;57,5000;2,1634;64,9800;1,8815;50,0000;64,9800;50,0000
1742,9995;58,4500;2,1353;65,6700;1,8571;51,5931;65,6700;51,5931
1791,2521;59,4900;2,1028;66,9500;1,8273;50,6414;66,9500;50,6414
1841,1912;60,2560;2,0759;67,9600;1,7869;51,8621;67,9600;51,8621
1890,8538;60,5380;2,0637;68,4300;1,7759;52,5655;68,4300;52,5655
1938,8336;61,3200;2,0395;67,9000;1,7743;52,4897;67,9000;52,4897
1988,2327;62,4020;2,0009;69,2000;1,7574;53,8552;69,2000;53,8552
2035,1113;63,1440;1,9829;69,0100;1,7469;54,8759;69,0100;54,8759
2081,4914;63,8720;1,9574;69,9100;1,7298;53,4345;69,9100;53,4345
2124,2786;64,4580;1,9373;69,9400;1,7061;54,6552;69,9400;54,6552
2169,5986;65,2940;1,9057;71,1300;1,6865;55,3655;71,1300;55,3655
2218,8186;65,8960;1,8875;71,8600;1,6660;55,8552;71,8600;55,8552
2268,2625;66,9180;1,8619;71,6800;1,6669;55,7793;71,6800;55,7793
2317,3515;67,3000;1,8442;72,2700;1,6543;56,5586;72,2700;56,5586
2366,9431;68,3660;1,8196;72,9300;1,6354;56,3103;72,9300;56,3103
2414,6602;69,1200;1,7931;73,4900;1,6226;57,3448;73,4900;57,3448
2462,6137;69,6100;1,7856;73,0500;1,6280;57,8828;73,0500;57,8828
2511,2567;70,0040;1,7695;73,2200;1,6143;57,9724;73,2200;57,9724
2560,0881;70,7440;1,7480;73,8200;1,5969;58,3310;73,8200;58,3310
2608,0716;71,0960;1,7353;74,2600;1,5918;58,8966;74,2600;58,8966
2658,0663;71,3740;1,7319;73,8900;1,5909;58,9931;73,8900;58,9931
2707,3666;71,6340;1,7168;74,0400;1,5886;58,9103;74,0400;58,9103
2753,4509;71,9760;1,7105;74,2900;1,5845;59,2483;74,2900;59,2483
2798,0732;71,9060;1,7112;74,3900;1,5842;59,3172;74,3900;59,3172
2847,4483;72,0460;1,7131;74,2500;1,5838;59,2759;74,2500;59,2759
2898,7219;72,3500;1,6979;74,1900;1,5834;59,3931;74,1900;59,3931
2949,0082;60,6820;2,0591;66,6500;1,8451;49,9862;66,6500;49,9862
2999,1691;59,0560;2,1042;61,2700;2,0204;46,6345;61,2700;46,6345
3043,4504;59,5100;2,0978;64,6100;1,9108;50,0000;64,6100;50,0000
3087,0546;59,3920;2,0987;62,2800;2,0136;47,4690;62,2800;47,4690
3131,7943;59,7100;2,0876;66,0100;1,8432;50,9172;66,0100;50,9172
3176,9735;59,9180;2,0798;64,6300;1,9156;47,3310;64,6300;47,3310
3223,0652;60,0720;2,0669;64,7900;1,9044;50,6414;64,7900;50,6414
3271,3788;60,3260;2,0639;64,2000;1,9178;49,5103;64,2000;49,5103
3316,1801;61,2020;2,0471;66,9200;1,8170;51,4966;66,9200;51,4966
3357,4100;61,2820;2,0373;67,0000;1,8101;51,1931;67,0000;51,1931
3401,1050;61,8080;2,0226;67,2100;1,8093;51,3655;67,2100;51,3655
3445,4182;62,2460;2,0066;66,5300;1,8187;51,6207;66,5300;51,6207
3489,8174;62,6760;1,9923;67,1100;1,8336;51,9724;67,1100;51,9724
3538,9828;62,4940;1,9869;66,2500;1,8685;50,3241;66,2500;50,3241
3587,1698;63,2000;1,9796;68,7600;1,7779;52,1034;68,7600;52,1034
3631,2190;63,3140;1,9657;67,8900;1,7982;52,0138;67,8900;52,0138
3674,3808;63,9440;1,9559;69,1800;1,7598;53,4966;69,1800;53,4966
3717,7464;64,1980;1,9440;68,0900;1,8049;51,0552;68,0900;51,0552
3764,3098;64,6500;1,9253;67,7200;1,7780;52,7103;67,7200;52,7103
3812,6434;64,9060;1,9134;69,2300;1,7526;54,4414;69,2300;54,4414
3863,6239;65,0880;1,9100;70,0200;1,7234;54,2207;70,0200;54,2207
3910,1141;65,6960;1,8948;68,9100;1,7458;53,7172;68,9100;53,7172
3951,6998;65,8240;1,8929;68,9000;1,7645;54,6690;68,9000;54,6690
3994,7281;66,3300;1,8733;69,9200;1,7392;53,5655;69,9200;53,5655
4039,2487;66,5480;1,8648;69,7900;1,7291;55,0414;69,7900;55,0414
4086,1356;67,1640;1,8494;69,6000;1,7297;56,4552;69,6000;56,4552
4133,2702;67,3300;1,8414;70,9200;1,6895;55,3586;70,9200;55,3586
4183,9739;67,5980;1,8317;70,9300;1,6928;56,2759;70,9300;56,2759
4235,4786;68,1500;1,8169;71,1200;1,6974;54,5241;71,1200;54,5241
4286,4100;68,5000;1,8047;71,5800;1,6693;56,2345;71,5800;56,2345
4333,8748;68,6860;1,7973;71,8100;1,6540;55,4621;71,8100;55,4621
4383,2993;69,1860;1,7831;72,3300;1,6620;55,9586;72,3300;55,9586
4432,9892;69,4720;1,7740;71,8700;1,6804;55,5034;71,8700;55,5034
4486,6219;69,8400;1,7607;72,9900;1,6382;56,8138;72,9900;56,8138
4536,3517;69,7680;1,7604;71,9300;1,6671;55,8207;71,9300;55,8207
4587,0004;70,5780;1,7356;72,4100;1,6396;56,4966;72,4100;56,4966
4635,6061;70,8720;1,7306;73,0600;1,6335;56,7586;73,0600;56,7586
4682,3638;71,2400;1,7164;72,6800;1,6575;57,7655;72,6800;57,7655
4731,4368;71,7820;1,7019;73,2000;1,6200;58,1448;73,2000;58,1448
4777,1488;72,2700;1,6898;73,4900;1,6119;58,1655;73,4900;58,1655
4826,2827;72,5520;1,6852;73,7200;1,6229;58,3172;73,7200;58,3172
4875,3398;72,7660;1,6717;73,6900;1,6193;58,7172;73,6900;58,7172
4925,5392;73,2460;1,6598;74,0700;1,6084;58,2414;74,0700;58,2414
4972,0798;73,4620;1,6538;74,0300;1,6028;58,8690;74,0300;58,8690
5021,7025;74,1140;1,6366;74,4300;1,6001;59,1724;74,4300;59,1724
5071,3101;74,2080;1,6277;74,7500;1,5711;59,6207;74,7500;59,6207
5114,1479;74,7080;1,6117;75,3300;1,5804;58,4897;75,3300;58,4897
5156,5695;75,0500;1,6019;74,6600;1,5976;58,9241;74,6600;58,9241
5201,8073;75,3280;1,5941;74,9100;1,5855;59,1379;74,9100;59,1379
5246,7933;75,8740;1,5796;75,4100;1,5731;60,2690;75,4100;60,2690
5293,7481;76,3200;1,5657;75,4300;1,5713;60,1724;75,4300;60,1724
5336,3753;76,5880;1,5599;75,5900;1,5664;60,3034;75,5900;60,3034
5379,9771;76,9600;1,5497;75,5700;1,5496;60,5517;75,5700;60,5517
5423,1087;77,3680;1,5372;75,4900;1,5573;60,3724;75,4900;60,3724
5470,8983;77,6300;1,5274;75,6500;1,5541;60,2552;75,6500;60,2552
5518,8812;77,8800;1,5186;76,5100;1,5290;60,8690;76,5100;60,8690
5563,5813;78,2760;1,5075;76,2100;1,5336;61,6069;76,2100;61,6069
5609,1739;78,4920;1,5045;77,0300;1,5201;61,1241;77,0300;61,1241
5653,7960;79,0420;1,4858;76,5700;1,5288;61,3517;76,5700;61,3517
5700,9242;79,2580;1,4780;76,4700;1,5251;61,0621;76,4700;61,0621
5751,5530;79,2540;1,4769;77,0200;1,5158;61,5172;77,0200;61,5172
5797,4977;79,8220;1,4648;76,9300;1,5244;61,4621;76,9300;61,4621
5843,0938;79,6560;1,4611;76,9600;1,5093;61,7655;76,9600;61,7655
5889,1239;80,0620;1,4516;77,4100;1,5024;62,0000;77,4100;62,0000
5933,1015;80,3740;1,4453;77,2700;1,5034;62,2276;77,2700;62,2276
5978,6176;80,6360;1,4368;77,4200;1,4976;62,6552;77,4200;62,6552
6025,8575;80,7780;1,4302;77,4000;1,5096;62,2345;77,4000;62,2345
6068,6609;80,9780;1,4265;77,6500;1,4969;62,1241;77,6500;62,1241
6110,9467;81,3600;1,4166;77,5900;1,4977;62,3724;77,5900;62,3724
6154,7732;81,2920;1,4176;77,7900;1,4929;62,2414;77,7900;62,2414
6200,7842;81,8120;1,3997;77,7400;1,4947;62,3241;77,7400;62,3241
6247,3714;81,6280;1,4088;77,8700;1,4924;62,2000;77,8700;62,2000
6290,2985;81,6620;1,4070;77,5100;1,4927;62,3034;77,5100;62,3034
6334,3766;81,5100;1,4060;77,7200;1,4886;62,4690;77,7200;62,4690
6380,0537;81,9100;1,3988;77,8300;1,4903;62,2966;77,8300;62,2966
6428,4496;81,7640;1,3997;77,7900;1,4884;62,4966;77,7900;62,4966
6473,4306;81,8960;1,3969;77,7300;1,4866;62,4069;77,7300;62,4069
6519,0501;82,0680;1,3924;77,7200;1,4877;62,4552;77,7200;62,4552
6562,1653;81,9860;1,3953;77,6800;1,4882;62,4069;77,6800;62,4069
6604,6942;81,9580;1,3968;77,6900;1,4899;62,3862;77,6900;62,3862
6650,8196;69,4720;1,7698;69,0700;1,7804;53,6966;69,0700;53,6966
6698,5510;66,7600;1,8570;67,6300;1,8237;51,8207;67,6300;51,8207
6742,4960;66,1720;1,8678;68,2500;1,8003;51,9379;68,2500;51,9379
6785,5873;66,1520;1,8662;68,9700;1,7507;52,5172;68,9700;52,5172
6829,0750;65,8500;1,8746;67,3400;1,8213;50,9724;67,3400;50,9724
6872,4779;66,4480;1,8726;68,5000;1,7821;52,2414;68,5000;52,2414
6918,6354;66,5080;1,8670;69,3700;1,7438;53,2138;69,3700;53,2138
6967,1603;66,6060;1,8595;69,5800;1,7574;53,1448;69,5800;53,1448
7012,7203;66,5700;1,8591;68,6500;1,7860;52,5172;68,6500;52,5172
7055,3835;66,3960;1,8638;67,8200;1,7937;52,4621;67,8200;52,4621
7100,2000;66,8460;1,8512;66,3600;1,8502;51,7448;66,3600;51,7448
7145,5446;66,8540;1,8501;68,7600;1,7774;52,8621;68,7600;52,8621
7191,2896;67,2720;1,8416;68,4500;1,7867;52,8966;68,4500;52,8966
7240,4643;67,0820;1,8415;69,8800;1,7466;54,8828;69,8800;54,8828
7284,3537;67,1660;1,8408;69,8200;1,7342;54,7793;69,8200;54,7793
7327,4403;67,3960;1,8340;70,9100;1,7302;53,8069;70,9100;53,8069
7374,5469;67,3560;1,8273;69,7000;1,7629;53,8759;69,7000;53,8759
7421,4412;67,7240;1,8260;70,2900;1,7310;54,6621;70,2900;54,6621
7466,7705;68,0920;1,8195;68,8300;1,7680;52,3103;68,8300;52,3103
7511,1809;67,8160;1,8162;68,6500;1,7641;52,4621;68,6500;52,4621
7556,5562;68,1080;1,8112;70,8800;1,6953;54,5103;70,8800;54,5103
7599,3867;68,0480;1,8143;70,0300;1,7414;54,3724;70,0300;54,3724
7647,7103;68,0560;1,8077;71,2100;1,6909;55,5793;71,2100;55,5793
7694,8114;68,4840;1,7920;71,1200;1,7052;55,6897;71,1200;55,6897
7739,9155;68,5440;1,7978;67,8400;1,8152;51,2552;67,8400;51,2552
7784,4982;68,7080;1,7902;69,5200;1,7406;54,4966;69,5200;54,4966
7827,3292;68,7580;1,7833;70,7900;1,7152;55,6414;70,7900;55,6414
7871,1070;69,1680;1,7783;70,0700;1,7372;54,3241;70,0700;54,3241
7919,3687;69,4060;1,7732;70,8200;1,7031;55,3172;70,8200;55,3172
7967,2607;69,3280;1,7749;71,0500;1,7070;55,8345;71,0500;55,8345
8011,6272;69,6540;1,7646;71,2800;1,7124;54,7103;71,2800;54,7103
8053,6645;69,3540;1,7652;70,5200;1,7303;54,5241;70,5200;54,5241
8102,5392;69,5600;1,7617;70,4400;1,7286;53,9931;70,4400;53,9931
8153,4211;69,8500;1,7579;71,5100;1,6872;55,7793;71,5100;55,7793
8206,6986;70,0540;1,7496;70,1100;1,7288;54,7793;70,1100;54,7793
8258,4611;70,4320;1,7436;70,3600;1,7191;54,6345;70,3600;54,6345
8308,0183;70,0800;1,7472;72,3100;1,6616;55,7793;72,3100;55,7793
8358,5298;70,0460;1,7415;72,8300;1,6426;56,6000;72,8300;56,6000
8409,4336;70,6620;1,7310;70,8000;1,6909;54,8207;70,8000;54,8207
8458,5467;70,7700;1,7295;71,6700;1,6750;55,7379;71,6700;55,7379
8504,7409;70,8640;1,7253;72,2800;1,6428;57,4966;72,2800;57,4966
8549,2468;70,8280;1,7291;71,8700;1,6527;56,4966;71,8700;56,4966
8592,6458;70,9760;1,7180;72,8100;1,6478;57,6276;72,8100;57,6276
8639,3142;71,2120;1,7167;71,1800;1,7088;56,0345;71,1800;56,0345
8686,0244;71,3820;1,7076;72,3500;1,6683;56,9034;72,3500;56,9034
8735,8274;71,6640;1,7028;71,8300;1,6826;57,2414;71,8300;57,2414
8779,3526;71,5060;1,6982;72,9200;1,6593;57,8828;72,9200;57,8828
8821,4326;71,7040;1,6998;72,1300;1,6812;55,7862;72,1300;55,7862
8866,3857;71,7760;1,6964;71,0800;1,6958;56,2483;71,0800;56,2483
8908,5799;72,2700;1,6830;71,7600;1,6877;56,2897;71,7600;56,2897
8953,9756;72,0620;1,6862;71,5900;1,6757;57,2759;71,5900;57,2759
9000,5420;72,4920;1,6770;73,5400;1,6376;57,3586;73,5400;57,3586
9049,0117;72,4440;1,6728;72,5000;1,6614;56,2759;72,5000;56,2759
9091,6326;72,7660;1,6668;71,9200;1,6807;56,4207;71,9200;56,4207
9134,3357;72,6100;1,6713;73,3500;1,6429;57,2690;73,3500;57,2690
9180,5085;73,1200;1,6578;72,8900;1,6396;56,7655;72,8900;56,7655
9225,8601;72,9460;1,6582;72,8100;1,6390;57,9448;72,8100;57,9448
9272,6005;73,3920;1,6468;72,8800;1,6378;56,4621;72,8800;56,4621
9315,3742;73,4460;1,6417;73,3700;1,6366;57,8000;73,3700;57,8000
9359,4030;73,8120;1,6354;73,7600;1,6267;58,3724;73,7600;58,3724
9408,5285;73,7020;1,6345;73,4500;1,6162;58,1793;73,4500;58,1793
9456,5879;73,9920;1,6288;73,2800;1,6407;56,7034;73,2800;56,7034
9501,3868;74,2320;1,6237;73,5900;1,6214;57,8897;73,5900;57,8897
9544,0812;74,2720;1,6156;74,0700;1,5856;58,9655;74,0700;58,9655
9586,5231;74,4480;1,6165;73,6200;1,6162;58,2138;73,6200;58,2138
9633,3617;74,6380;1,6099;74,1200;1,6188;58,8690;74,1200;58,8690
9683,8688;74,6280;1,6072;73,1900;1,6260;56,9172;73,1900;56,9172
9730,5365;74,8160;1,5977;73,6700;1,6182;58,6966;73,6700;58,6966
9772,6331;75,1460;1,5943;74,5600;1,5904;59,3448;74,5600;59,3448
9816,5066;75,0640;1,5933;74,2200;1,6091;58,0552;74,2200;58,0552
9861,9518;75,2560;1,5850;74,3800;1,6041;57,2069;74,3800;57,2069
9906,5362;75,7020;1,5797;73,7800;1,6092;57,5586;73,7800;57,5586
9955,9728;75,8260;1,5734;73,8400;1,6075;58,2207;73,8400;58,2207
10001,4412;75,9060;1,5651;73,6600;1,6303;57,6690;73,6600;57,6690
10043,4831;76,0820;1,5655;74,4500;1,6050;58,7172;74,4500;58,7172
10089,3457;76,0840;1,5620;74,5500;1,5916;58,9448;74,5500;58,9448
10135,6936;76,4340;1,5518;74,1400;1,6030;58,6483;74,1400;58,6483
10181,4466;76,7660;1,5431;74,4300;1,6120;59,0966;74,4300;59,0966
10226,4908;76,6060;1,5456;75,1000;1,5936;58,6069;75,1000;58,6069
10268,4203;76,7940;1,5394;74,7400;1,5956;59,3034;74,7400;59,3034
10311,3567;77,0240;1,5307;74,7200;1,5682;59,3586;74,7200;59,3586
10360,3242;77,3620;1,5251;75,4000;1,5626;60,1586;75,4000;60,1586
10406,1210;77,5820;1,5225;74,2500;1,6138;59,8207;74,2500;59,8207
10450,8455;77,6580;1,5144;75,2400;1,5698;60,3310;75,2400;60,3310
10495,2450;77,8680;1,5135;75,8300;1,5563;59,7379;75,8300;59,7379
10538,3152;77,8520;1,5038;75,7900;1,5477;60,1517;75,7900;60,1517
10585,4468;77,8180;1,5051;75,4300;1,5641;60,5379;75,4300;60,5379
10633,4960;78,3320;1,4930;75,4900;1,5691;60,2759;75,4900;60,2759
10677,8617;78,4760;1,4904;75,7500;1,5659;60,9586;75,7500;60,9586
10723,2036;78,8680;1,4784;75,7000;1,5557;60,1034;75,7000;60,1034
10768,1996;79,0140;1,4784;75,5500;1,5679;59,6207;75,5500;59,6207
10815,2306;79,0380;1,4740;76,3900;1,5444;61,7448;76,3900;61,7448
10862,5838;79,4140;1,4612;75,9600;1,5372;60,2138;75,9600;60,2138
10910,2284;79,2360;1,4655;76,4300;1,5284;61,1103;76,4300;61,1103
10952,5584;79,7500;1,4522;76,1000;1,5459;61,1172;76,1000;61,1172
10995,2810;79,8880;1,4462;76,4300;1,5275;61,1655;76,4300;61,1655
11044,9454;79,9400;1,4467;76,2000;1,5400;61,2414;76,2000;61,2414
11089,7391;80,1400;1,4389;76,0500;1,5431;61,4414;76,0500;61,4414
11137,8189;80,5680;1,4296;76,6600;1,5251;61,6207;76,6600;61,6207
11182,8906;80,8940;1,4166;76,5600;1,5255;62,1034;76,5600;62,1034
11225,6402;80,7640;1,4219;76,9400;1,5248;62,0276;76,9400;62,0276
11274,1074;80,8380;1,4160;76,9200;1,5044;61,9379;76,9200;61,9379
11322,1131;81,0020;1,4083;76,8500;1,5192;61,9241;76,8500;61,9241
11368,2709;81,0660;1,4069;76,7600;1,5130;61,1724;76,7600;61,1724
11411,3416;81,3440;1,3965;77,1400;1,5238;61,9517;77,1400;61,9517
11456,3380;81,5380;1,3914;76,6000;1,5354;61,7655;76,6000;61,7655
11499,3631;81,6080;1,3906;77,4000;1,5078;63,0207;77,4000;63,0207
11547,4085;81,9340;1,3822;77,5700;1,5048;62,4414;77,5700;62,4414
11594,7125;82,1240;1,3768;78,1100;1,4961;62,9172;78,1100;62,9172
11638,9420;82,1580;1,3758;76,9900;1,5072;62,3793;76,9900;62,3793
11683,9413;82,2280;1,3750;77,5900;1,5005;61,4483;77,5900;61,4483
11726,5946;82,5800;1,3639;77,5800;1,5082;62,6000;77,5800;62,6000
11772,2574;82,6940;1,3619;77,7500;1,4984;62,2345;77,7500;62,2345
11819,2360;82,9140;1,3514;77,5300;1,4993;62,7655;77,5300;62,7655
11866,8141;82,9660;1,3538;78,4400;1,4814;63,4897;78,4400;63,4897
11909,4661;83,1600;1,3461;78,0600;1,4868;62,7379;78,0600;62,7379
11951,9171;83,2220;1,3410;78,2500;1,4843;63,0276;78,2500;63,0276
11997,3228;83,4600;1,3355;78,1500;1,4874;63,0345;78,1500;63,0345
12042,5845;83,4060;1,3359;78,0800;1,4734;63,0207;78,0800;63,0207
12086,7766;84,1160;1,3164;78,1800;1,4764;63,2621;78,1800;63,2621
12128,9583;83,8740;1,3212;78,5300;1,4712;63,3103;78,5300;63,3103
12172,4372;83,9140;1,3198;78,7700;1,4669;63,7931;78,7700;63,7931
12220,6104;84,1460;1,3141;78,7000;1,4588;63,4966;78,7000;63,4966
12267,7459;84,4260;1,3020;78,7600;1,4685;63,9379;78,7600;63,9379
12312,0402;84,3320;1,3080;78,8400;1,4729;63,5862;78,8400;63,5862
12357,1674;84,5440;1,3016;78,9500;1,4561;63,5379;78,9500;63,5379
12399,3844;84,8880;1,2921;79,1500;1,4528;64,4621;79,1500;64,4621
12444,8554;84,7240;1,2950;79,0000;1,4573;64,0828;79,0000;64,0828
12493,8013;84,8980;1,2876;79,0100;1,4661;64,0621;79,0100;64,0621
12540,9291;85,2220;1,2814;78,7100;1,4575;64,0138;78,7100;64,0138
12588,9332;85,3380;1,2742;79,2200;1,4512;64,6138;79,2200;64,6138
12636,9224;84,8580;1,2869;79,1400;1,4564;64,1448;79,4700;64,3448
12687,9266;84,7400;1,2917;78,9000;1,4626;63,7103;79,1600;64,0759
12739,7373;84,5200;1,3017;78,6800;1,4780;63,4759;78,5900;63,4138
12788,8769;84,0240;1,3142;78,1900;1,4811;62,9379;78,1100;62,5517
12836,6835;83,9640;1,3203;78,1600;1,4908;62,7655;78,1500;62,2621
12888,5502;83,4020;1,3333;77,8200;1,4942;62,9586;77,0600;61,6690
12939,8825;83,6540;1,3258;77,6200;1,4992;62,4690;77,8700;62,8828
12992,8262;83,3380;1,3381;77,7100;1,5009;63,2138;77,8100;62,7655
13040,5142;83,4240;1,3322;77,5400;1,5090;62,4966;77,1700;62,1448
13090,8719;83,3560;1,3377;77,8800;1,4833;62,8897;77,4500;62,2414
