;config_22_avg;config_22_std;config_22_run_0;config_22_run_1;config_22_run_2
Standard_Acc;79,9767;0,2294;80,2700;79,7100;79,9500
RMSCE;0,0359;0,0021;0,0348;0,0389;0,0341
gaussian_noise;68,6460;0,5051;69,2480;68,0120;68,6780
shot_noise;71,8193;0,3667;72,1660;71,3120;71,9800
impulse_noise;78,6460;0,2795;79,0400;78,4220;78,4760
defocus_blur;73,5733;0,1513;73,4220;73,5180;73,7800
glass_blur;57,1413;0,2321;57,3600;57,2440;56,8200
motion_blur;67,7380;0,4800;67,2300;67,6020;68,3820
zoom_blur;70,8147;0,2531;70,5660;70,7160;71,1620
snow;67,9113;0,2580;67,5500;68,1360;68,0480
frost;62,5380;0,2854;62,1560;62,8420;62,6160
fog;70,4147;0,1511;70,3920;70,2420;70,6100
brightness;77,9727;0,2219;78,2860;77,8000;77,8320
contrast;74,2620;0,1558;74,0820;74,2420;74,4620
elastic_transform;69,8287;0,0985;69,6900;69,8860;69,9100
pixelate;61,4853;0,9932;62,2400;60,0820;62,1340
jpeg_compression;60,8167;0,2225;60,5540;60,7980;61,0980
speckle_noise;72,5407;0,3385;72,7840;72,0620;72,7760
gaussian_blur;70,5327;0,3813;70,0660;70,5320;71,0000
spatter;74,3413;0,1999;74,2300;74,1720;74,6220
saturate;72,6180;0,1943;72,6840;72,3540;72,8160
blue_noise;76,1240;0,6635;77,0240;75,4440;75,9040
brownish_noise;41,1407;0,5423;41,9000;40,8540;40,6680
checkerboard_cutout;68,7153;1,0704;67,8540;68,0680;70,2240
circular_motion_blur;73,3140;0,0531;73,3880;73,2880;73,2660
inverse_sparkles;36,8800;0,6823;36,8420;37,7340;36,0640
lines;56,3267;0,2700;56,3520;56,6440;55,9840
pinch_and_twirl;75,4073;0,1227;75,5020;75,4860;75,2340
ripple;61,1873;0,6253;61,4620;60,3220;61,7780
sparkles;65,0880;0,2705;64,8800;64,9140;65,4700
transverse_chromatic_abberation;40,9067;0,3787;40,5620;40,7240;41,4340
Acc_C-all-19;69,6653;0,1554;69,6708;69,4723;69,8527
Acc_C-original-15;68,9072;0,1408;68,9321;68,7236;69,0659
Acc_C-bar-10;59,5090;0,1145;59,5766;59,3478;59,6026
Acc_all-ex-pixelwise-noise-24;64,6231;0,1326;64,5521;64,5083;64,8089
RMSCE_C;0,0704;0,0028;0,0724;0,0725;0,0665
Combined_Noise;74,7267;0,6412;75,5000;74,7500;73,9300
