time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
61,4948;11,7240;3,9810;17,9100;3,7265;13,8897;17,9100;13,8897
125,9855;26,6860;3,2691;29,8300;3,2670;20,3034;29,8300;20,3034
189,8576;37,7400;2,8277;37,0400;2,9352;24,3517;37,0400;24,3517
253,4497;46,1380;2,5358;42,0100;2,7887;25,5034;42,0100;25,5034
319,2804;51,9740;2,3396;45,8700;2,6464;28,7310;45,8700;28,7310
384,8723;56,7160;2,1873;52,5900;2,3588;32,3172;52,5900;32,3172
449,3634;60,8120;2,0558;54,9400;2,2916;33,3241;54,9400;33,3241
513,1889;64,3860;1,9496;57,0800;2,2476;34,6138;57,0800;34,6138
573,3431;67,9960;1,8464;56,9500;2,2817;33,0897;56,9500;33,0897
635,1873;71,0840;1,7559;60,4500;2,1472;35,3931;60,4500;35,3931
697,5027;74,2380;1,6689;62,4000;2,0507;37,1586;62,4000;37,1586
758,9362;77,0080;1,5876;64,8800;1,9862;38,0621;64,8800;38,0621
819,9252;79,9500;1,5142;64,7300;1,9917;37,3034;64,7300;37,3034
879,6957;82,9020;1,4441;66,4500;1,9442;38,6483;66,4500;38,6483
945,8990;84,9320;1,3854;67,3300;1,9309;39,4759;67,3300;39,4759
1010,2917;87,1020;1,3335;68,2400;1,8818;40,2621;68,2400;40,2621
1074,3936;88,9240;1,2881;68,9800;1,8646;40,2483;68,9800;40,2483
1139,5668;90,3420;1,2565;69,8000;1,8383;40,8828;69,8000;40,8828
1206,0063;91,1860;1,2328;70,0200;1,8318;40,6483;70,0200;40,6483
1271,3088;91,8960;1,2224;70,0700;1,8284;41,1241;70,0700;41,1241
1337,6603;74,7340;1,6402;58,3500;2,2820;32,8345;58,3500;32,8345
1399,5053;74,8020;1,6385;55,9200;2,4178;31,5655;55,9200;31,5655
1460,4563;76,3560;1,5936;60,1400;2,1631;34,4414;60,1400;34,4414
1522,2404;78,2920;1,5444;61,2900;2,1423;33,6897;61,2900;33,6897
1584,4062;79,9680;1,4949;61,7000;2,1375;35,1379;61,7000;35,1379
1644,4689;81,3780;1,4545;62,5800;2,0984;34,9034;62,5800;34,9034
1710,4779;83,1480;1,4085;65,0500;2,0093;36,4483;65,0500;36,4483
1776,4078;84,8820;1,3634;62,9500;2,1162;34,3172;62,9500;34,3172
1841,1673;86,4100;1,3259;63,1000;2,0732;35,3172;63,1000;35,3172
1907,4218;87,6340;1,2862;63,8800;2,0594;35,9379;63,8800;35,9379
1974,6923;89,3080;1,2486;65,6700;2,0153;37,4897;65,6700;37,4897
2040,2485;90,6460;1,2116;65,8400;2,0201;36,0897;65,8400;36,0897
2107,3010;92,0140;1,1753;62,2000;2,1307;33,1034;62,2000;33,1034
2171,4923;92,9540;1,1482;66,0300;2,0109;36,4828;66,0300;36,4828
2234,1594;94,1820;1,1152;67,6100;1,9889;37,5172;67,6100;37,5172
2295,6249;95,3800;1,0825;66,9800;1,9863;38,0966;66,9800;38,0966
2356,4174;96,3240;1,0575;68,4400;1,9351;38,6483;68,4400;38,6483
