;config_5_avg;config_5_std;config_5_run_0;config_5_run_1;config_5_run_2
Standard_Acc;77,3433;0,1391;77,1800;77,3300;77,5200
RMSCE;0,1831;0,0041;0,1825;0,1784;0,1883
gaussian_noise;11,8780;0,4140;12,1340;12,2060;11,2940
shot_noise;19,2720;0,3834;19,1380;19,7940;18,8840
impulse_noise;25,9080;0,6602;26,6980;25,9440;25,0820
defocus_blur;58,6033;0,1101;58,4940;58,5620;58,7540
glass_blur;22,0220;0,9052;20,7620;22,4560;22,8480
motion_blur;52,4633;0,1688;52,3480;52,7020;52,3400
zoom_blur;53,3813;0,2371;53,5160;53,0480;53,5800
snow;54,4800;0,5123;53,7740;54,6920;54,9740
frost;47,1500;0,6434;46,2460;47,5120;47,6920
fog;62,1240;0,0801;62,0280;62,1200;62,2240
brightness;71,1500;0,0664;71,1200;71,0880;71,2420
contrast;49,5233;0,1717;49,6980;49,5820;49,2900
elastic_transform;60,2267;0,0913;60,0980;60,3000;60,2820
pixelate;50,0660;0,4057;49,8940;49,6780;50,6260
jpeg_compression;47,6440;0,3427;47,2740;48,1000;47,5580
speckle_noise;20,9327;0,3748;20,9280;21,3940;20,4760
gaussian_blur;49,1707;0,2711;49,1760;48,8360;49,5000
spatter;63,7080;0,0864;63,7480;63,5880;63,7880
saturate;59,0493;0,3042;58,6380;59,3640;59,1460
blue_noise;25,5813;1,1906;26,2560;26,5800;23,9080
brownish_noise;23,9533;0,2945;23,5380;24,1880;24,1340
checkerboard_cutout;55,5627;0,5450;56,2700;55,4740;54,9440
circular_motion_blur;70,8440;0,2146;71,1400;70,7540;70,6380
inverse_sparkles;34,4540;0,6523;33,5440;35,0400;34,7780
lines;47,5233;0,3344;47,7080;47,0540;47,8080
pinch_and_twirl;69,9180;0,3578;69,5240;69,8400;70,3900
ripple;49,7480;0,4385;50,1020;50,0120;49,1300
sparkles;56,8520;0,0559;56,9300;56,8020;56,8240
transverse_chromatic_abberation;27,6280;0,4502;26,9940;27,9960;27,8940
Acc_C-all-19;46,2501;0,1170;46,0901;46,3666;46,2937
Acc_C-original-15;45,7261;0,1295;45,5481;45,8523;45,7780
Acc_C-bar-10;46,2065;0,1345;46,2006;46,3740;46,0448
Acc_all-ex-pixelwise-noise-24;51,5519;0,1406;51,3568;51,6162;51,6827
RMSCE_C;0,1305;0,0009;0,1318;0,1300;0,1297
Combined_Noise;41,5433;0,3719;41,7600;41,8500;41,0200
