;config_5_avg;config_5_std;config_5_run_0;config_5_run_1;config_5_run_2
Standard_Acc;77,2200;0,1393;77,0800;77,1700;77,4100
RMSCE;0,1816;0,0050;0,1760;0,1807;0,1882
gaussian_noise;11,0193;0,5618;11,7040;10,3280;11,0260
shot_noise;18,1940;0,4390;18,7600;17,6900;18,1320
impulse_noise;27,0080;0,6076;26,1820;27,2160;27,6260
defocus_blur;58,9707;0,0844;58,9140;58,9080;59,0900
glass_blur;22,0780;0,5751;22,7700;21,3620;22,1020
motion_blur;53,0407;0,2290;53,2840;52,7340;53,1040
zoom_blur;53,9933;0,2110;53,9620;53,7520;54,2660
snow;54,1333;0,3359;54,2740;53,6700;54,4560
frost;46,9227;0,2891;47,2800;46,9160;46,5720
fog;61,9380;0,2132;62,1780;61,9760;61,6600
brightness;71,1753;0,0932;71,2920;71,0640;71,1700
contrast;49,1347;0,0544;49,1680;49,1780;49,0580
elastic_transform;60,3040;0,1671;60,4500;60,0700;60,3920
pixelate;50,4693;0,0997;50,6000;50,4500;50,3580
jpeg_compression;48,0100;0,3790;47,7360;47,7480;48,5460
speckle_noise;20,2647;0,2920;20,6480;19,9400;20,2060
gaussian_blur;49,7847;0,2953;49,5900;49,5620;50,2020
spatter;63,9593;0,2653;63,6760;63,8880;64,3140
saturate;58,9567;0,1173;58,9820;58,8020;59,0860
blue_noise;27,1420;0,9614;25,9460;27,1800;28,3000
brownish_noise;24,3287;0,5140;25,0500;23,8900;24,0460
checkerboard_cutout;55,9013;0,2539;55,9960;56,1540;55,5540
circular_motion_blur;71,0307;0,2696;70,6720;71,3220;71,0980
inverse_sparkles;34,7347;0,1733;34,7240;34,5280;34,9520
lines;47,6033;0,5408;48,3680;47,2340;47,2080
pinch_and_twirl;70,0100;0,1784;69,9140;69,8560;70,2600
ripple;49,9033;0,3987;50,2880;50,0680;49,3540
sparkles;57,1787;0,3954;57,7100;57,0640;56,7620
transverse_chromatic_abberation;27,4287;0,4836;27,8720;26,7560;27,6580
Acc_C-all-19;46,2819;0,1527;46,3921;46,0660;46,3877
Acc_C-original-15;45,7594;0,1593;45,9036;45,5375;45,8372
Acc_C-bar-10;46,5261;0,1017;46,6540;46,4052;46,5192
Acc_all-ex-pixelwise-noise-24;51,7079;0,1329;51,8646;51,5397;51,7195
RMSCE_C;0,1342;0,0045;0,1286;0,1344;0,1396
Combined_Noise;41,2733;0,1228;41,2600;41,4300;41,1300
