train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
7,5580;4,2026;10,8400;4,0808;10,4552
14,2940;3,8472;20,4000;3,5852;17,2414
21,2100;3,5286;28,3900;3,2007;22,5448
25,9120;3,3221;32,5800;3,0460;26,1793
30,3320;3,1469;38,8800;2,8434;28,6621
34,0540;3,0025;42,7500;2,7438;29,1310
37,4780;2,8824;44,8700;2,6829;27,6207
40,1760;2,7820;48,1300;2,5219;32,0414
42,7380;2,6955;50,7800;2,4573;34,4552
44,7720;2,6123;53,7500;2,3352;35,8897
47,1440;2,5322;56,7200;2,2675;36,9103
48,9460;2,4734;57,0900;2,2450;36,7103
50,8300;2,4169;59,0500;2,2139;39,6138
52,4760;2,3567;60,5300;2,1615;38,9862
53,8520;2,3075;62,3700;2,0870;40,9862
55,4480;2,2632;62,9400;2,0799;39,2690
56,4640;2,2270;64,7100;2,0474;42,0207
57,1620;2,2033;64,0900;2,0431;41,1034
57,8560;2,1780;64,6200;2,0301;41,0759
58,5400;2,1608;64,6600;2,0235;41,1448
48,0320;2,5096;53,5900;2,3374;33,6759
48,3620;2,4926;56,7600;2,2929;39,1172
49,6040;2,4505;56,4800;2,2986;34,9862
50,8680;2,4099;57,9400;2,2610;34,8276
51,8660;2,3737;60,4100;2,1821;37,9724
53,1460;2,3367;60,8300;2,1806;42,2828
53,9760;2,3023;60,9300;2,1793;40,0000
55,1260;2,2623;60,9500;2,1268;40,3379
56,0880;2,2385;62,5200;2,1072;41,4138
56,8520;2,2103;62,8300;2,1170;41,7724
57,9960;2,1731;66,1400;2,0023;44,3310
58,6380;2,1440;65,9600;2,0582;44,2552
59,3860;2,1170;64,9900;2,0269;41,8207
60,3240;2,0949;66,6900;1,9873;43,6621
61,0480;2,0661;67,2400;1,9545;41,8621
61,9560;2,0411;69,6800;1,9120;46,4345
62,8180;2,0152;67,3400;2,0079;42,6276
63,6960;1,9869;67,6300;1,9525;41,2621
64,4360;1,9644;69,4600;1,9099;48,8828
65,0500;1,9380;69,9600;1,9495;45,4897
66,1460;1,9098;70,2900;1,8998;45,4690
66,7680;1,8936;70,9400;1,8766;48,9517
67,8840;1,8640;71,2800;1,8515;46,8207
68,3400;1,8367;71,5000;1,8429;47,2345
69,2040;1,8183;72,7800;1,8363;47,0000
69,7820;1,7977;73,3300;1,8063;49,4138
70,7280;1,7751;73,4800;1,8194;49,8552
71,5740;1,7528;73,5700;1,8057;49,3103
72,0040;1,7304;74,4700;1,7900;49,2690
72,4520;1,7142;75,1700;1,7650;51,2483
73,0660;1,6978;73,9700;1,7755;49,9310
73,7400;1,6806;74,8300;1,7617;49,4552
74,2920;1,6676;75,0300;1,7429;50,5793
74,4120;1,6600;75,2900;1,7549;50,3862
74,9840;1,6421;75,5700;1,7296;51,7724
75,4000;1,6306;76,1100;1,7186;51,8621
75,6540;1,6254;75,6800;1,7246;51,6345
76,0380;1,6171;76,0600;1,7202;52,1448
76,2760;1,6114;75,9500;1,7210;51,9586
76,3780;1,6083;75,8800;1,7232;51,4414
63,8680;1,9783;68,1500;1,9370;46,0414
63,0080;2,0088;66,5200;2,0066;41,7586
62,9560;2,0035;68,1800;1,9126;42,8483
63,2040;1,9991;68,6900;1,9075;44,4966
63,7380;1,9848;67,5900;1,9431;44,7310
63,9480;1,9685;69,9100;1,9084;43,9655
64,3960;1,9618;69,2200;1,8935;47,7448
64,9280;1,9436;70,2200;1,8672;46,9931
65,1380;1,9347;68,8900;1,9184;47,4414
65,6160;1,9192;68,9400;1,8808;44,2414
65,8040;1,9085;69,9000;1,8748;45,8207
66,2140;1,9031;71,3300;1,8167;47,2690
66,5760;1,8877;70,8400;1,8477;46,3862
67,1380;1,8749;70,6500;1,8391;48,4552
67,4320;1,8677;71,4200;1,8279;44,6414
67,5800;1,8591;71,4100;1,8522;45,3655
67,9580;1,8485;71,6300;1,8424;46,6276
68,8020;1,8276;72,4300;1,7946;49,8552
68,6780;1,8203;72,0300;1,8051;46,8759
69,0840;1,8108;72,1700;1,8328;47,6345
69,6720;1,7957;71,3300;1,8273;48,0138
70,0400;1,7787;72,6600;1,8033;45,1448
70,3960;1,7734;72,1700;1,7867;46,3724
70,6220;1,7647;72,9500;1,7576;46,2828
71,0140;1,7556;72,3300;1,7950;46,8414
71,4120;1,7465;72,8800;1,7679;49,3379
72,0540;1,7199;72,1900;1,7927;50,1034
