train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
6,6100;4,2961;11,6400;3,9785;6,5724;11,6400;6,5724
13,5200;3,8925;20,3200;3,5592;17,6000;20,3200;17,6000
20,8460;3,5380;28,1100;3,2551;21,5517;28,1100;21,5517
27,2300;3,2721;35,6200;2,9390;30,2759;35,6200;30,2759
32,3360;3,0694;37,8900;2,8260;29,4276;37,8900;29,4276
37,1880;2,9066;44,2700;2,6631;29,2966;44,2700;29,2966
40,7380;2,7766;47,9100;2,5349;31,1034;47,9100;31,1034
43,9800;2,6643;50,0500;2,4577;35,8138;50,0500;35,8138
46,2420;2,5771;52,2300;2,4218;34,2276;52,2300;34,2276
48,9780;2,4904;54,4500;2,3384;35,2621;54,4500;35,2621
51,3220;2,4114;58,3100;2,1957;39,8828;58,3100;39,8828
53,4640;2,3412;58,9400;2,1558;40,3862;58,9400;40,3862
55,3040;2,2867;62,9500;2,0353;42,6345;62,9500;42,6345
57,1240;2,2274;64,1100;1,9907;45,0759;64,1100;45,0759
58,6840;2,1791;64,4000;1,9896;45,7793;64,4000;45,7793
60,3940;2,1355;66,3100;1,9170;46,7379;66,3100;46,7379
61,2620;2,0978;67,0000;1,9010;45,9172;67,0000;45,9172
62,0360;2,0752;67,7100;1,8713;46,8414;67,7100;46,8414
62,9800;2,0514;67,9400;1,8642;46,6966;67,9400;46,6966
63,5640;2,0369;68,1800;1,8599;46,8069;68,1800;46,8069
52,3340;2,3799;52,7700;2,3529;32,9655;52,7700;32,9655
52,2500;2,3734;54,9800;2,2732;36,1931;54,9800;36,1931
53,5560;2,3314;57,8100;2,2077;36,8621;57,8100;36,8621
54,7100;2,2935;58,6800;2,2010;36,1172;58,6800;36,1172
55,7160;2,2546;58,7700;2,1735;36,5103;58,7700;36,5103
57,2880;2,2068;60,8700;2,1067;40,9103;60,8700;40,9103
58,2080;2,1778;60,7200;2,1930;41,7172;60,7200;41,7172
59,4780;2,1385;61,3700;2,0528;43,1586;61,3700;43,1586
