time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
250,5566;69,3600;1,8469;81,6400;1,3537;61,7862;81,6400;61,7862
526,5983;82,2460;1,3613;83,3200;1,2905;63,1862;83,3200;63,1862
783,9064;84,6760;1,2700;83,9700;1,2531;66,4207;83,9700;66,4207
1039,7355;85,7720;1,2353;84,7300;1,2230;64,0552;84,7300;64,0552
1300,3677;86,8620;1,1886;84,5300;1,2291;61,9724;84,5300;61,9724
1540,0486;87,7700;1,1626;85,8300;1,1990;66,1862;85,8300;66,1862
1797,0913;88,3920;1,1377;86,1600;1,1806;67,8690;86,1600;67,8690
2045,7130;89,2320;1,1172;86,4800;1,1689;66,3310;86,4800;66,3310
2292,3050;89,9920;1,0936;86,5600;1,1706;67,0276;86,5600;67,0276
2532,4982;90,3480;1,0759;86,5200;1,1665;65,5931;86,5200;65,5931
2801,0970;90,7120;1,0642;87,2700;1,1537;66,9379;87,2700;66,9379
3041,2120;91,2740;1,0465;87,5300;1,1472;65,6966;87,5300;65,6966
3326,1120;91,9200;1,0312;87,7400;1,1470;66,0966;87,7400;66,0966
3574,4771;92,4080;1,0130;88,0100;1,1398;67,1241;88,0100;67,1241
3912,3612;92,8940;0,9981;88,3900;1,1354;67,0414;88,3900;67,0414
4162,3592;93,0160;0,9915;88,8500;1,1251;67,9931;88,8500;67,9931
4418,3087;93,5920;0,9765;88,4400;1,1392;68,9586;88,4400;68,9586
4716,3398;93,8980;0,9657;88,8500;1,1167;68,1931;88,8500;68,1931
5108,8128;94,4100;0,9530;89,1600;1,1117;69,4345;89,1600;69,4345
5455,9281;94,5740;0,9451;89,1300;1,1098;67,4345;89,1300;67,4345
5890,4906;94,8920;0,9373;89,2700;1,1114;67,9931;89,2700;67,9931
6508,0175;95,2800;0,9245;89,2700;1,1030;68,2828;89,2700;68,2828
7142,4135;95,3400;0,9203;89,5400;1,1058;68,5172;89,5200;68,9586
7408,1477;95,3660;0,9205;89,4300;1,1001;67,1655;89,8600;68,8897
8340,7680;95,4920;0,9180;89,2500;1,1094;68,0414;89,8900;69,0483
9088,4644;95,5680;0,9147;89,6300;1,0983;69,1655;89,8600;69,5379
9503,8905;95,5200;0,9131;89,7700;1,1002;70,6069;89,9200;69,8276
9854,8040;95,7880;0,9093;89,5100;1,1010;68,7586;89,9200;69,8759
10256,7989;95,7940;0,9070;89,5000;1,1043;69,2966;90,0100;69,8069
10625,4314;95,8620;0,9056;89,7900;1,1007;70,3586;90,0800;70,0276
