;config_196_avg
Standard_Acc;89,7600
RMSCE;0,0686
gaussian_noise;69,3840
shot_noise;73,9440
impulse_noise;72,4800
defocus_blur;82,7940
glass_blur;55,9360
motion_blur;79,9060
zoom_blur;80,9600
snow;82,5060
frost;81,8400
fog;83,7140
brightness;88,7360
contrast;87,6500
elastic_transform;78,9980
pixelate;81,7080
jpeg_compression;68,8460
speckle_noise;74,4320
gaussian_blur;79,8880
spatter;83,7200
saturate;85,5160
blue_noise;70,1000
brownish_noise;55,2320
checkerboard_cutout;78,7860
circular_motion_blur;85,5400
inverse_sparkles;55,2980
lines;73,5100
pinch_and_twirl;84,2620
ripple;78,4420
sparkles;80,4080
transverse_chromatic_abberation;52,5660
Acc_C-all-19;78,5767
Acc_C-original-15;77,9601
Acc_C-bar-10;71,4144
Acc_all-ex-pixelwise-noise-24;76,9484
RMSCE_C;0,0722
Combined_Noise;89,0400
