train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
6,7860;4,2701;12,0200;3,9322;11,5759;12,0200;11,5759
13,6460;3,9238;18,4800;3,8271;17,9345;18,4800;17,9345
21,0320;3,5905;25,9900;3,3950;26,1655;25,9900;26,1655
28,5420;3,2964;32,3600;3,1430;32,9552;32,3600;32,9552
34,3560;3,0783;37,2600;3,0255;35,6069;37,2600;35,6069
38,7140;2,9204;39,0500;2,9214;32,3897;39,0500;32,3897
42,7220;2,7860;46,7500;2,6624;40,0414;46,7500;40,0414
45,1120;2,6927;47,7100;2,6902;41,3241;47,7100;41,3241
46,9340;2,6224;51,2100;2,4814;42,5517;51,2100;42,5517
49,5100;2,5411;53,8300;2,3937;44,8207;53,8300;44,8207
51,2440;2,4799;54,9900;2,3441;43,9172;54,9900;43,9172
52,3340;2,4406;54,8600;2,3921;44,4172;54,8600;44,4172
53,9300;2,3937;56,5400;2,3595;49,4069;56,5400;49,4069
55,2400;2,3401;57,4400;2,2953;46,9793;57,4400;46,9793
56,6360;2,2898;59,3200;2,2182;48,0690;59,3200;48,0690
57,2600;2,2614;61,0300;2,1734;49,6966;61,0300;49,6966
57,9600;2,2379;60,7700;2,2159;50,8000;60,7700;50,8000
60,0460;2,1732;62,4300;2,1004;52,3276;62,4300;52,3276
60,3380;2,1643;62,5000;2,1428;51,2310;62,5000;51,2310
60,9880;2,1363;63,6400;2,0867;53,3414;63,6400;53,3414
61,7740;2,1048;64,3600;2,0611;53,1586;64,3600;53,1586
63,1460;2,0701;64,8400;2,0200;54,1241;64,8400;54,1241
64,1160;2,0322;65,2100;2,0289;53,0897;65,2100;53,0897
64,2140;2,0259;66,2500;1,9993;53,8655;66,2500;53,8655
64,7820;2,0111;66,6600;1,9499;54,6828;66,6600;54,6828
65,0600;1,9986;66,9700;1,9534;54,6690;66,9700;54,6690
65,5400;1,9801;67,0300;1,9439;55,2310;67,0300;55,2310
65,7240;1,9768;67,3700;1,9323;54,8966;67,3700;54,8966
65,7420;1,9700;67,4400;1,9318;55,4138;67,4400;55,4138
66,0960;1,9647;67,5400;1,9259;55,3828;67,5400;55,3828
58,1360;2,2360;60,1400;2,2145;52,2586;60,1400;52,2586
57,5120;2,2622;59,1300;2,2960;48,7276;59,1300;48,7276
58,2680;2,2315;59,6200;2,2403;48,4552;59,6200;48,4552
58,2600;2,2271;61,6400;2,1433;49,3586;61,6400;49,3586
59,4080;2,1926;60,0200;2,1783;49,1207;60,0200;49,1207
59,3740;2,1810;60,1600;2,1507;49,2276;60,1600;49,2276
60,8000;2,1414;62,5600;2,1413;51,1759;62,5600;51,1759
60,9180;2,1284;63,9300;2,0689;52,5793;63,9300;52,5793
61,2520;2,1243;62,7500;2,0932;51,4414;62,7500;51,4414
61,7460;2,1032;64,1600;2,0737;50,5759;64,1600;50,5759
62,1280;2,0916;64,6000;2,0458;52,0379;64,6000;52,0379
62,8320;2,0645;64,6800;2,0206;51,9310;64,6800;51,9310
63,3860;2,0466;64,9700;2,0642;51,7655;64,9700;51,7655
63,5900;2,0382;65,2400;1,9824;53,9069;65,2400;53,9069
64,0440;2,0268;66,3600;1,9585;55,3138;66,3600;55,3138
64,6880;1,9944;65,9300;1,9713;52,1586;65,9300;52,1586
64,6380;1,9978;66,9000;1,9274;52,2966;66,9000;52,2966
65,3140;1,9789;67,8100;1,9266;53,9931;67,8100;53,9931
66,0420;1,9552;67,8300;1,9243;55,0069;67,8300;55,0069
66,1060;1,9503;68,2600;1,9103;54,1207;68,2600;54,1207
66,0660;1,9436;68,2100;1,8877;56,1586;68,2100;56,1586
66,8500;1,9215;69,1100;1,8835;55,3586;69,1100;55,3586
67,4080;1,9118;69,9500;1,8601;57,1310;69,9500;57,1310
67,9760;1,8887;68,7100;1,8986;57,2828;68,7100;57,2828
68,0640;1,8839;70,0400;1,8463;56,9448;70,0400;56,9448
68,1280;1,8752;70,4400;1,8286;56,3138;70,4400;56,3138
68,2640;1,8687;70,0200;1,8726;55,8966;70,0200;55,8966
69,3660;1,8400;70,6300;1,8322;57,6103;70,6300;57,6103
69,4220;1,8341;71,5000;1,7959;58,8862;71,5000;58,8862
69,9520;1,8159;70,8900;1,7984;58,2448;70,8900;58,2448
69,9020;1,8126;71,9800;1,7695;60,0724;71,9800;60,0724
70,4200;1,7938;71,7600;1,7877;59,3966;71,7600;59,3966
70,6560;1,7915;72,1300;1,7704;58,9483;72,1300;58,9483
