time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
21,6184;5,3720;4,3073;8,3400;4,0660;7,6759;8,3400;7,6759
43,8206;9,1060;4,0972;13,4600;3,8549;12,6966;13,4600;12,6966
66,3499;12,0260;3,9563;18,8900;3,6200;15,3862;18,8900;15,3862
88,6360;15,9500;3,7788;20,5900;3,6212;19,3310;20,5900;19,3310
110,1150;19,2480;3,6260;23,5400;3,4003;24,3517;23,5400;24,3517
131,9470;22,5000;3,4860;31,1000;3,1207;26,1655;31,1000;26,1655
153,7777;25,6420;3,3510;31,6300;3,1567;24,4897;31,6300;24,4897
176,1947;28,3100;3,2423;33,4900;3,0596;24,8345;33,4900;24,8345
197,8492;30,7980;3,1402;36,8600;2,9721;26,2552;36,8600;26,2552
219,5239;33,2120;3,0428;37,3300;2,9784;29,5655;37,3300;29,5655
241,0708;35,6620;2,9600;40,8500;2,7688;29,7724;40,8500;29,7724
262,8437;37,3400;2,8933;44,0900;2,6774;31,3310;44,0900;31,3310
284,5167;38,9680;2,8329;46,5800;2,6000;33,9241;46,5800;33,9241
306,7557;40,5580;2,7705;41,9100;2,7541;33,2000;41,9100;33,2000
328,7225;41,7820;2,7295;46,3800;2,5688;33,3517;46,3800;33,3517
350,3104;42,6760;2,6889;47,0000;2,5742;33,1310;47,0000;33,1310
372,3381;44,0840;2,6522;47,5600;2,5768;35,2345;47,5600;35,2345
394,1831;44,0960;2,6376;47,6300;2,5512;35,6828;47,6300;35,6828
416,2339;44,9940;2,6193;46,5400;2,6105;34,5034;46,5400;34,5034
438,1147;45,3720;2,6001;47,4700;2,5732;35,6069;47,4700;35,6069
459,9075;39,1440;2,8233;45,6400;2,6697;34,2483;45,6400;34,2483
481,8395;40,1600;2,7864;44,8500;2,6797;36,6000;44,8500;36,6000
503,7897;41,1160;2,7555;49,6500;2,4979;38,3862;49,6500;38,3862
525,2931;42,6620;2,7012;48,5200;2,5862;33,3103;48,5200;33,3103
547,0219;43,8880;2,6591;49,8400;2,5367;37,7517;49,8400;37,7517
568,9218;45,2480;2,6058;53,8400;2,4084;39,8621;53,8400;39,8621
590,9764;46,2420;2,5639;53,5600;2,3550;44,0552;53,5600;44,0552
613,1166;47,3980;2,5363;54,6500;2,4055;37,6414;54,6500;37,6414
