train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
6,7020;4,2420;11,8700;3,9618;11,0138;11,8700;11,0138
13,2040;3,9101;19,2200;3,6941;16,0345;19,2200;16,0345
18,6900;3,6394;26,9400;3,4051;23,7862;26,9400;23,7862
23,3200;3,4390;31,6200;3,1252;26,6414;31,6200;26,6414
27,5400;3,2803;37,2200;2,9481;30,5517;37,2200;30,5517
30,2720;3,1527;39,8900;2,8536;28,3586;39,8900;28,3586
33,3240;3,0469;42,9400;2,7994;34,4759;42,9400;34,4759
35,6020;2,9538;44,6600;2,7014;33,5034;44,6600;33,5034
38,1100;2,8736;46,1900;2,6376;39,5310;46,1900;39,5310
39,9800;2,7991;51,8100;2,4269;39,5310;51,8100;39,5310
41,9020;2,7305;51,7900;2,3765;36,5586;51,7900;36,5586
43,3520;2,6762;54,2800;2,3508;43,4207;54,2800;43,4207
45,0920;2,6193;57,0300;2,2620;44,2759;57,0300;44,2759
46,3840;2,5679;56,3600;2,2518;42,7517;56,3600;42,7517
47,6680;2,5250;58,7900;2,1882;44,4207;58,7900;44,4207
48,8760;2,4849;60,2500;2,1379;46,1034;60,2500;46,1034
50,1000;2,4467;61,4900;2,0977;48,0690;61,4900;48,0690
50,6500;2,4272;61,0000;2,1089;47,0690;61,0000;47,0690
51,2100;2,4076;61,4800;2,0828;47,6069;61,4800;47,6069
51,8800;2,3847;61,6400;2,0810;48,1103;61,6400;48,1103
42,3800;2,7046;53,4000;2,4037;42,7241;53,4000;42,7241
42,6600;2,6971;53,8300;2,3726;46,6000;53,8300;46,6000
43,3960;2,6636;57,0200;2,2628;40,7586;57,0200;40,7586
44,9420;2,6180;57,0200;2,2268;42,0207;57,0200;42,0207
46,2740;2,5823;57,5000;2,3311;46,9034;57,5000;46,9034
47,2180;2,5418;59,8000;2,1807;47,5172;59,8000;47,5172
47,9520;2,5098;58,4400;2,2344;48,2000;58,4400;48,2000
48,9720;2,4831;59,9600;2,1943;43,9724;59,9600;43,9724
50,1000;2,4494;61,7100;2,1140;48,1586;61,7100;48,1586
50,7260;2,4178;62,4600;2,1160;47,8276;62,4600;47,8276
51,5300;2,3941;62,4000;2,1566;45,4276;62,4000;45,4276
52,4180;2,3628;64,2200;2,0123;47,0483;64,2200;47,0483
53,2500;2,3399;63,3200;2,0988;46,3172;63,3200;46,3172
53,7580;2,3119;64,2700;2,0724;47,6828;64,2700;47,6828
54,6960;2,2859;65,6700;2,0262;48,5517;65,6700;48,5517
55,8940;2,2616;66,9000;1,9578;47,0138;66,9000;47,0138
56,3340;2,2355;66,6600;1,9915;48,4897;66,6600;48,4897
57,0340;2,2101;67,4900;1,9637;50,6207;67,4900;50,6207
57,6020;2,1911;67,5100;1,9650;49,6207;67,5100;49,6207
58,3380;2,1600;68,9400;1,9266;53,4414;68,9400;53,4414
59,2980;2,1348;68,5800;1,9569;54,4345;68,5800;54,4345
59,9040;2,1103;69,5000;1,9077;51,1862;69,5000;51,1862
60,6800;2,0867;70,1600;1,9072;50,6897;70,1600;50,6897
61,1820;2,0688;70,1500;1,8993;52,7379;70,1500;52,7379
62,1220;2,0395;71,2300;1,8474;53,3241;71,2300;53,3241
62,5340;2,0237;72,1800;1,8283;53,4690;72,1800;53,4690
63,2280;2,0052;72,1200;1,8252;54,0345;72,1200;54,0345
63,8460;1,9826;72,7100;1,8146;53,4621;72,7100;53,4621
64,8220;1,9580;73,0700;1,7796;55,4552;73,0700;55,4552
65,4900;1,9385;73,5800;1,7819;55,2483;73,5800;55,2483
65,9900;1,9206;73,0800;1,7843;55,5379;73,0800;55,5379
66,2420;1,9160;74,2000;1,7487;56,7862;74,2000;56,7862
66,6540;1,8959;74,0900;1,7842;56,2276;74,0900;56,2276
67,1440;1,8823;74,0900;1,7742;56,0414;74,0900;56,0414
67,4740;1,8733;74,4200;1,7496;57,2345;74,4200;57,2345
67,7660;1,8639;74,8800;1,7390;57,6000;74,8800;57,6000
67,9760;1,8563;74,9600;1,7291;57,9793;74,9600;57,9793
68,4680;1,8482;75,0100;1,7383;57,6828;75,0100;57,6828
68,4560;1,8438;74,8900;1,7421;57,8138;74,8900;57,8138
68,4300;1,8450;74,8600;1,7451;57,0966;74,8600;57,0966
57,1560;2,1983;66,0900;1,9778;46,3655;66,0900;46,3655
56,7080;2,2238;66,4800;1,9721;49,7172;66,4800;49,7172
56,3680;2,2186;67,7400;1,9544;49,1448;67,7400;49,1448
56,7380;2,2141;67,5400;1,9601;50,8621;67,5400;50,8621
57,0680;2,2052;66,8200;2,0123;49,6069;66,8200;49,6069
57,4860;2,1899;67,4300;1,9489;51,1793;67,4300;51,1793
57,6660;2,1798;69,0900;1,8999;53,3172;69,0900;53,3172
58,1460;2,1691;68,6600;1,9786;49,2207;68,6600;49,2207
58,4840;2,1592;68,7300;1,9346;51,0759;68,7300;51,0759
58,6280;2,1492;68,6000;1,9393;51,7448;68,6000;51,7448
59,3520;2,1289;68,6600;1,9220;52,1793;68,6600;52,1793
59,5480;2,1194;67,4600;1,9815;52,3586;67,4600;52,3586
60,1660;2,1060;69,0800;1,8857;51,5517;69,0800;51,5517
60,3500;2,0964;69,1600;1,9078;51,3379;69,1600;51,3379
