;config_176_avg
Standard_Acc;80,9600
RMSCE;0,0455
gaussian_noise;50,4380
shot_noise;55,0620
impulse_noise;31,9120
defocus_blur;71,2680
glass_blur;56,7320
motion_blur;67,1160
zoom_blur;67,2380
snow;68,0580
frost;69,5820
fog;71,6600
brightness;78,0560
contrast;62,9280
elastic_transform;69,3600
pixelate;68,8440
jpeg_compression;60,4220
speckle_noise;53,9760
gaussian_blur;65,2400
spatter;70,7280
saturate;71,8200
blue_noise;47,2140
brownish_noise;36,6960
checkerboard_cutout;61,0200
circular_motion_blur;72,2120
inverse_sparkles;46,1280
lines;54,9560
pinch_and_twirl;73,7320
ripple;64,2800
sparkles;63,6460
transverse_chromatic_abberation;49,7080
Acc_C-all-19;63,7074
Acc_C-original-15;63,2451
Acc_C-bar-10;56,9592
Acc_all-ex-pixelwise-noise-24;64,2263
RMSCE_C;0,1242
Combined_Noise;58,3000
