time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
110,7035;5,1380;4,4333;8,5700;4,1285;6,8759;8,5700;6,8759
196,3281;9,6700;4,2554;14,5200;3,9167;12,0552;14,5200;12,0552
318,9822;14,0360;4,1024;24,1900;3,4098;19,5448;24,1900;19,5448
429,1766;17,9480;3,9687;24,6100;3,4247;19,1793;24,6100;19,1793
546,6408;21,0420;3,8747;32,7800;3,0150;23,8690;32,7800;23,8690
618,1175;25,7640;3,7314;35,6600;2,9137;28,0897;35,6600;28,0897
722,6960;26,5600;3,7347;35,9600;2,9537;27,9172;35,9600;27,9172
836,6902;28,8120;3,6432;40,1300;2,7677;31,0276;40,1300;31,0276
952,1077;31,9340;3,5707;44,1300;2,6093;33,7655;44,1300;33,7655
1060,6200;33,9140;3,4987;45,8900;2,5555;35,0276;45,8900;35,0276
1128,2282;34,8040;3,4645;48,9800;2,4474;38,5586;48,9800;38,5586
1235,7475;37,7400;3,3984;48,3100;2,4824;36,4966;48,3100;36,4966
1355,9197;39,0580;3,3422;48,0800;2,5230;37,0069;48,0800;37,0069
1447,7008;38,8160;3,3539;52,6800;2,3498;39,7241;52,6800;39,7241
1514,2784;40,1540;3,3164;52,8400;2,3302;39,5724;52,8400;39,5724
1634,4598;41,4620;3,2750;53,7200;2,3001;41,3241;53,7200;41,3241
1756,4215;41,4880;3,2494;55,5000;2,2317;43,4000;55,5000;43,4000
1877,0272;41,5820;3,2740;55,8500;2,2237;43,2621;55,8500;43,2621
1946,8449;41,8800;3,2724;55,6400;2,2226;42,8414;55,6400;42,8414
2042,7608;42,4520;3,2498;56,1500;2,2030;43,4897;56,1500;43,4897
2153,2910;35,7680;3,4506;50,0200;2,4494;38,9862;50,0200;38,9862
2274,5356;36,9400;3,4092;47,5200;2,5522;37,3172;47,5200;37,3172
2380,1510;37,8160;3,4068;49,4100;2,4444;37,3172;49,4100;37,3172
2456,7372;38,4620;3,3417;52,4700;2,3568;40,0966;52,4700;40,0966
2563,1944;39,4780;3,3255;54,2000;2,3262;40,3517;54,2000;40,3517
2681,5268;39,0660;3,3645;53,1500;2,3168;41,3862;53,1500;41,3862
2785,9497;40,2760;3,3278;55,7200;2,2994;41,6690;55,7200;41,6690
2894,7072;41,9440;3,2516;53,6600;2,2999;41,4621;53,6600;41,4621
2970,6656;42,2340;3,2544;56,7200;2,2168;42,1793;56,7200;42,1793
3080,4269;43,3780;3,2295;59,7200;2,1006;45,3862;59,7200;45,3862
3190,8345;43,1700;3,2140;58,2100;2,1684;44,5586;58,2100;44,5586
3308,1697;43,3960;3,2242;59,3400;2,1529;46,6759;59,3400;46,6759
3411,0403;46,4600;3,1041;57,6000;2,2079;45,1586;57,6000;45,1586
3515,3844;44,7400;3,1824;59,0700;2,1217;44,8414;59,0700;44,8414
3637,2990;44,2080;3,1898;61,1500;2,0666;47,2207;61,1500;47,2207
3758,9121;45,4920;3,1388;60,0100;2,0836;47,4345;60,0100;47,4345
3848,9903;45,0040;3,1677;62,2800;2,0221;47,5310;62,2800;47,5310
3954,9642;47,0040;3,1140;63,1900;1,9996;48,2069;63,1900;48,2069
4067,8162;48,1620;3,0695;63,5700;1,9913;49,2345;63,5700;49,2345
4186,3556;46,2060;3,1304;64,0100;1,9661;49,0345;64,0100;49,0345
4291,4515;48,5060;3,0399;63,1200;1,9971;47,6897;63,1200;47,6897
4374,9622;47,9540;3,1163;64,6800;1,9459;50,6966;64,6800;50,6966
4494,1665;49,0120;3,0529;64,8300;1,9314;50,6414;64,8300;50,6414
4615,6803;50,0160;2,9939;65,1100;1,9095;51,0897;65,1100;51,0897
4700,4884;49,9760;2,9916;66,4800;1,8639;52,2828;66,4800;52,2828
4806,0525;50,9980;2,9880;66,7600;1,8580;52,2276;66,7600;52,2276
4907,4723;51,4420;2,9544;67,2900;1,8552;52,4276;67,2900;52,4276
5026,1168;51,8780;2,9422;67,4900;1,8402;53,6207;67,4900;53,6207
5135,4359;50,4520;2,9784;68,0600;1,8184;53,7034;68,0600;53,7034
5199,4484;51,9860;2,9628;67,2500;1,8305;53,3862;67,2500;53,3862
5292,7352;52,0620;2,9398;68,2600;1,8171;54,5724;68,2600;54,5724
5401,3310;53,9620;2,8830;68,8500;1,7987;54,3034;68,8500;54,3034
5518,8134;54,0500;2,9059;68,7600;1,7938;54,1586;68,7600;54,1586
5628,1890;53,7620;2,8820;69,5400;1,7744;55,2897;69,5400;55,2897
5710,0567;55,2340;2,8553;69,4700;1,7774;54,7241;69,4700;54,7241
5824,7012;53,3600;2,8984;69,5500;1,7718;54,9241;69,5500;54,9241
5941,2489;53,0800;2,9035;69,6800;1,7703;55,9310;69,6800;55,9310
6026,1148;55,4580;2,8026;69,6400;1,7668;55,6552;69,6400;55,6552
6120,2316;52,9660;2,9026;69,8200;1,7625;55,5931;69,8200;55,5931
6237,9090;53,7820;2,9077;69,6300;1,7677;55,5034;69,6300;55,5034
6354,8838;47,1840;3,1082;59,9800;2,1006;45,6207;59,9800;45,6207
6471,6057;46,8700;3,0487;61,6300;2,0483;47,2759;61,6300;47,2759
