;config_543_avg;config_543_std;config_543_run_0;config_543_run_1;config_543_run_2
Standard_Acc;81,7367;0,1960;82,0100;81,6400;81,5600
RMSCE;0,0144;0,0004;0,0138;0,0146;0,0148
gaussian_noise;69,6600;0,9280;70,4660;68,3600;70,1540
shot_noise;72,4860;0,5121;72,9380;71,7700;72,7500
impulse_noise;79,7787;0,2671;80,0340;79,4100;79,8920
defocus_blur;76,4553;0,1981;76,5600;76,1780;76,6280
glass_blur;64,8433;0,3878;64,8440;64,3680;65,3180
motion_blur;71,7120;0,2909;71,7280;71,3480;72,0600
zoom_blur;74,0327;0,4311;74,1620;73,4520;74,4840
snow;71,7793;0,6898;72,7540;71,2560;71,3280
frost;72,4267;0,5333;73,0720;71,7660;72,4420
fog;75,2353;0,3581;75,3160;74,7620;75,6280
brightness;80,1400;0,3249;80,3060;79,6860;80,4280
contrast;75,6133;0,1485;75,5420;75,4780;75,8200
elastic_transform;72,4880;0,5372;72,7180;71,7460;73,0000
pixelate;68,8773;0,4153;68,2900;69,1640;69,1780
jpeg_compression;61,9807;0,4312;62,1700;61,3840;62,3880
speckle_noise;73,0667;0,5474;73,4940;72,2940;73,4120
gaussian_blur;74,0033;0,3875;74,1240;73,4800;74,4060
spatter;75,0333;0,3727;75,5220;74,9600;74,6180
saturate;75,5700;0,3001;75,7420;75,1480;75,8200
blue_noise;66,5947;1,7150;67,4040;68,1700;64,2100
brownish_noise;44,9413;0,9172;45,1080;43,7440;45,9720
checkerboard_cutout;68,1867;0,2346;68,0060;68,5180;68,0360
circular_motion_blur;75,4207;0,1753;75,5660;75,5220;75,1740
inverse_sparkles;46,5500;0,9409;47,5700;45,3000;46,7800
lines;57,3447;0,4676;57,5680;56,6940;57,7720
pinch_and_twirl;75,6420;0,5022;76,0960;74,9420;75,8880
ripple;65,1280;0,7666;64,0440;65,6820;65,6580
sparkles;68,9787;0,3580;69,1520;68,4800;69,3040
transverse_chromatic_abberation;51,5773;0,6939;52,5580;51,0560;51,1180
Acc_C-all-19;72,9043;0,3413;73,1464;72,4216;73,1449
Acc_C-original-15;72,5006;0,3483;72,7267;72,0085;72,7665
Acc_C-bar-10;62,0364;0,2052;62,3072;61,8108;61,9912
Acc_all-ex-pixelwise-noise-24;68,4983;0,2904;68,6882;68,0881;68,7187
RMSCE_C;0,0407;0,0058;0,0325;0,0459;0,0436
Combined_Noise;76,1167;0,5165;76,7800;75,5200;76,0500
