time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
58,4373;5,7420;4,3103;9,8500;4,0326;8,6552;9,8500;8,6552
117,8732;11,7200;4,0030;17,9700;3,7216;14,4621;17,9700;14,4621
174,6708;18,5580;3,7038;24,6500;3,4975;19,2690;24,6500;19,2690
231,6531;24,1220;3,4607;28,9300;3,2907;22,2069;28,9300;22,2069
283,6839;29,1080;3,2778;28,6400;3,5208;20,8276;28,6400;20,8276
338,1105;33,5820;3,1127;38,7800;2,9924;28,9241;38,7800;28,9241
391,0320;36,5220;3,0194;40,0900;2,9312;30,1655;40,0900;30,1655
440,2692;39,5960;2,9061;44,3500;2,7902;34,4552;44,3500;34,4552
493,8822;41,0600;2,8393;44,1800;2,7653;34,2483;44,1800;34,2483
546,9544;43,7320;2,7518;50,1600;2,5372;37,7586;50,1600;37,7586
598,8335;45,8660;2,6868;51,4700;2,4713;37,3517;51,4700;37,3517
652,6852;46,9300;2,6394;50,6000;2,5769;36,6690;50,6000;36,6690
707,0743;48,2940;2,5881;54,7300;2,3924;41,4000;54,7300;41,4000
757,9185;50,0660;2,5346;55,0300;2,3786;42,1241;55,0300;42,1241
815,7646;50,5600;2,5140;54,7100;2,3558;41,7241;54,7100;41,7241
867,6495;51,0640;2,4899;57,9800;2,2734;44,7517;57,9800;44,7517
919,9039;53,0240;2,4197;58,6900;2,2502;44,2621;58,6900;44,2621
972,0627;53,0780;2,4218;58,7500;2,2277;44,9310;58,7500;44,9310
1023,5539;53,6720;2,4017;58,7500;2,2444;44,6690;58,7500;44,6690
1078,7332;53,4080;2,4043;59,1600;2,2317;44,8828;59,1600;44,8828
1131,3650;45,5700;2,6885;50,9200;2,5214;38,4000;50,9200;38,4000
1186,3990;46,1840;2,6675;47,7200;2,6755;34,3448;47,7200;34,3448
1240,8196;47,2160;2,6308;52,3400;2,5047;39,5310;52,3400;39,5310
1292,4683;48,3140;2,5833;53,2100;2,4115;40,8966;53,2100;40,8966
1346,9089;48,7600;2,5656;54,0300;2,4799;40,2897;54,0300;40,2897
1399,0445;49,7120;2,5375;56,0000;2,3589;41,7862;56,0000;41,7862
1450,3806;49,9480;2,5357;57,0200;2,3297;42,2207;57,0200;42,2207
1506,2124;51,9040;2,4669;57,6300;2,2976;42,7103;57,6300;42,7103
1556,3171;51,1260;2,4871;58,0600;2,3638;42,7310;58,0600;42,7310
1609,4599;52,4720;2,4344;57,8800;2,3229;42,6759;57,8800;42,6759
1662,7572;53,7080;2,3952;59,4100;2,1988;44,3241;59,4100;44,3241
1715,4140;53,3500;2,4089;59,1500;2,2391;44,2690;59,1500;44,2690
