;config_509_avg
Standard_Acc;79,1500
RMSCE;0,0226
gaussian_noise;51,0400
shot_noise;56,7280
impulse_noise;61,4020
defocus_blur;73,6800
glass_blur;52,6240
motion_blur;66,4980
zoom_blur;69,1100
snow;68,1500
frost;68,5100
fog;71,6080
brightness;77,1240
contrast;74,8540
elastic_transform;66,1340
pixelate;53,5420
jpeg_compression;59,6900
speckle_noise;57,6300
gaussian_blur;70,1960
spatter;72,8240
saturate;74,1860
blue_noise;65,8740
brownish_noise;48,7040
checkerboard_cutout;63,5840
circular_motion_blur;72,6760
inverse_sparkles;40,8220
lines;48,9180
pinch_and_twirl;69,4660
ripple;54,4960
sparkles;66,7720
transverse_chromatic_abberation;57,6820
Acc_C-all-19;65,5542
Acc_C-original-15;64,7129
Acc_C-bar-10;58,8994
Acc_all-ex-pixelwise-noise-24;64,2438
RMSCE_C;0,0763
Combined_Noise;62,9700
