train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
6,4180;4,2579;11,7700;3,9366;10,1586;11,7700;10,1586
12,2760;3,9518;18,0900;3,7506;14,4552;18,0900;14,4552
17,5260;3,6939;24,6000;3,4482;18,9586;24,6000;18,9586
22,4300;3,4894;26,8000;3,3110;22,4000;26,8000;22,4000
26,3380;3,3266;34,9400;3,0342;31,6897;34,9400;31,6897
29,2180;3,2036;37,5500;2,8993;31,2621;37,5500;31,2621
32,1660;3,0897;41,4300;2,8472;34,7862;41,4300;34,7862
34,7120;2,9953;44,2900;2,6631;34,0690;44,2900;34,0690
37,0060;2,9164;46,5400;2,5816;37,1586;46,5400;37,1586
38,8260;2,8378;48,2500;2,5562;40,6759;48,2500;40,6759
40,7300;2,7700;51,3500;2,3950;40,0828;51,3500;40,0828
42,4760;2,7135;52,5100;2,4006;42,7862;52,5100;42,7862
44,1260;2,6559;55,1200;2,3012;43,4345;55,1200;43,4345
45,3840;2,5997;54,8400;2,2838;43,2345;54,8400;43,2345
46,8140;2,5579;58,3200;2,2030;45,8345;58,3200;45,8345
48,0500;2,5151;58,8500;2,1873;46,6690;58,8500;46,6690
49,4020;2,4747;59,0500;2,1609;46,0345;59,0500;46,0345
49,7480;2,4594;59,4400;2,1605;45,6207;59,4400;45,6207
50,4860;2,4362;60,3100;2,1343;46,1724;60,3100;46,1724
50,9160;2,4183;60,2000;2,1376;46,9655;60,2000;46,9655
41,7360;2,7325;51,7400;2,4706;39,2621;51,7400;39,2621
41,9320;2,7282;51,9700;2,4739;45,3586;51,9700;45,3586
42,8140;2,6913;56,2900;2,2448;41,5310;56,2900;41,5310
44,0940;2,6503;56,3300;2,3085;41,4552;56,3300;41,4552
45,2040;2,6146;57,0800;2,3171;43,3172;57,0800;43,3172
46,3280;2,5653;58,3000;2,2275;47,1586;58,3000;47,1586
47,2020;2,5391;56,8400;2,2668;46,6966;56,8400;46,6966
48,2340;2,5081;59,0200;2,2026;42,5724;59,0200;42,5724
49,1580;2,4739;60,6900;2,1860;46,6138;60,6900;46,6138
50,1180;2,4411;61,3100;2,1743;48,7379;61,3100;48,7379
50,7400;2,4180;63,4500;2,0980;48,4276;63,4500;48,4276
51,7000;2,3897;62,0100;2,0746;47,7586;62,0100;47,7586
52,4220;2,3647;64,1700;2,0831;51,1379;64,1700;51,1379
52,9240;2,3469;64,3800;2,0456;50,7379;64,3800;50,7379
53,9300;2,3128;66,7600;2,0223;50,8966;66,7600;50,8966
54,5320;2,2831;65,2900;2,0327;50,4621;65,2900;50,4621
55,0360;2,2692;65,9300;2,0159;50,0828;65,9300;50,0828
55,7800;2,2473;67,2300;1,9624;49,1793;67,2300;49,1793
57,0480;2,2138;68,2100;1,9493;51,4966;68,2100;51,4966
57,4960;2,1907;67,8700;1,9552;53,8897;67,8700;53,8897
58,2120;2,1749;68,6400;1,9138;54,3724;68,6400;54,3724
59,1340;2,1447;68,9400;1,9420;55,1724;68,9400;55,1724
59,5320;2,1270;69,3200;1,9316;55,0690;69,3200;55,0690
60,3260;2,0989;69,9900;1,8949;53,2759;69,9900;53,2759
61,0580;2,0756;71,4500;1,8582;56,2828;71,4500;56,2828
61,8080;2,0551;70,8000;1,8632;55,2897;70,8000;55,2897
62,5440;2,0346;72,0500;1,8476;56,4414;72,0500;56,4414
62,8640;2,0219;72,4800;1,8186;57,4828;72,4800;57,4828
63,5740;2,0002;73,0400;1,8097;57,4483;73,0400;57,4483
64,3080;1,9767;72,9800;1,8215;54,8621;72,9800;54,8621
64,7860;1,9603;73,5100;1,7992;57,2690;73,5100;57,2690
65,3780;1,9413;73,8100;1,7813;57,1655;73,8100;57,1655
65,8020;1,9290;73,6600;1,7768;57,1724;73,6600;57,1724
66,3380;1,9154;73,9600;1,7663;58,3655;73,9600;58,3655
66,6180;1,9028;74,0000;1,7672;58,0621;74,0000;58,0621
66,8480;1,8979;74,4300;1,7662;58,0069;74,4300;58,0069
67,2360;1,8872;74,5500;1,7586;58,3241;74,5500;58,3241
