;config_14_avg
Standard_Acc;82,3000
RMSCE;0,0169
gaussian_noise;62,2340
shot_noise;66,0500
impulse_noise;68,1120
defocus_blur;77,2880
glass_blur;64,6780
motion_blur;71,9480
zoom_blur;74,1660
snow;72,6380
frost;72,4120
fog;75,9780
brightness;80,9260
contrast;76,4060
elastic_transform;72,4120
pixelate;67,3720
jpeg_compression;61,4280
speckle_noise;66,4980
gaussian_blur;75,1220
spatter;75,2060
saturate;76,5680
blue_noise;66,5280
brownish_noise;45,2680
checkerboard_cutout;68,3140
circular_motion_blur;76,2460
inverse_sparkles;45,7140
lines;56,3600
pinch_and_twirl;76,3500
ripple;64,9940
sparkles;69,5480
transverse_chromatic_abberation;50,5380
Acc_C-all-19;71,4443
Acc_C-original-15;70,9365
Acc_C-bar-10;61,9860
Acc_all-ex-pixelwise-noise-24;68,6617
RMSCE_C;0,0349
Combined_Noise;71,0800
