time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
49,8054;6,1600;4,3066;10,6300;3,9719;8,8345;10,6300;8,8345
99,7958;12,8940;3,9747;21,4600;3,5184;17,8552;21,4600;17,8552
35,6491;29,7260;3,2438;26,7300;3,8380;21,8690;26,7300;21,8690
35,7256;40,8740;2,8443;37,5100;3,0917;27,5586;37,5100;27,5586
42,5850;44,5000;2,7402;39,6300;3,1096;31,7655;39,6300;31,7655
84,5010;49,8760;2,5659;45,4400;2,7893;35,2966;45,4400;35,2966
127,4733;53,4880;2,4461;46,1600;2,8338;36,3517;46,1600;36,3517
170,4603;56,2020;2,3442;50,0200;2,6494;39,7172;50,0200;39,7172
213,2430;59,1280;2,2523;52,0900;2,6537;40,6414;52,0900;40,6414
255,8826;60,9940;2,1826;54,3500;2,4916;41,8069;54,3500;41,8069
298,4487;63,0100;2,1180;53,8000;2,5033;42,3793;53,8000;42,3793
48,2046;62,6560;2,1218;56,5200;2,3668;43,3310;56,5200;43,3310
96,7078;64,4980;2,0620;57,7000;2,3369;43,7241;57,7000;43,7241
145,7388;65,9740;2,0138;58,0900;2,3151;44,6000;58,0900;44,6000
194,4962;67,1640;1,9750;60,0500;2,2519;46,6897;60,0500;46,6897
44,7738;54,5875;2,3624;62,5600;2,1538;48,7310;62,5600;48,7310
89,5332;55,5135;2,3238;63,1200;2,1199;49,0552;63,1200;49,0552
48,4681;56,6434;2,2871;63,6300;2,1105;49,1379;63,6300;49,1379
35,9107;61,5278;2,1102;63,8700;2,0868;49,3862;63,8700;49,3862
71,3748;62,5820;2,0778;64,1900;2,0652;49,7379;64,1900;49,7379
107,3899;53,3705;2,3877;53,5200;2,4618;39,3379;53,5200;39,3379
38,2001;54,4900;2,3543;55,1900;2,4049;41,9862;55,1900;41,9862
77,7396;55,5280;2,3162;57,9500;2,3031;44,0759;57,9500;44,0759
117,7982;56,2860;2,2930;56,2400;2,3630;41,0483;56,2400;41,0483
156,8749;56,9240;2,2632;59,1400;2,2517;44,5103;59,1400;44,5103
196,3398;58,1120;2,2277;60,8600;2,1630;45,3103;60,8600;45,3103
235,7039;58,7360;2,2014;60,9100;2,1908;44,6552;60,9100;44,6552
274,3847;59,8320;2,1597;62,6300;2,1124;48,0552;62,6300;48,0552
313,4388;60,6960;2,1318;62,2800;2,1269;46,7172;62,2800;46,7172
351,6976;61,3920;2,1175;62,9000;2,1032;47,2069;62,9000;47,2069
391,6876;62,2500;2,0808;63,9000;2,0814;48,4207;63,9000;48,4207
429,2674;62,4460;2,0696;65,6400;1,9937;49,4897;65,6400;49,4897
466,9226;63,0040;2,0472;65,2900;2,0394;49,8690;65,2900;49,8690
505,3448;63,5340;2,0254;66,0000;2,0451;49,2276;66,0000;49,2276
