;config_6_avg
Standard_Acc;80,7300
RMSCE;0,0340
gaussian_noise;57,3020
shot_noise;62,3100
impulse_noise;66,2880
defocus_blur;74,8380
glass_blur;62,0980
motion_blur;69,2640
zoom_blur;71,6240
snow;71,1800
frost;70,2820
fog;73,8960
brightness;79,3560
contrast;74,1640
elastic_transform;69,6060
pixelate;67,6560
jpeg_compression;59,6580
speckle_noise;63,5460
gaussian_blur;72,5860
spatter;73,4840
saturate;74,4820
blue_noise;66,7040
brownish_noise;43,4380
checkerboard_cutout;66,6960
circular_motion_blur;74,4200
inverse_sparkles;43,8620
lines;53,9420
pinch_and_twirl;74,3860
ripple;65,5280
sparkles;66,7920
transverse_chromatic_abberation;48,1280
Acc_C-all-19;69,1379
Acc_C-original-15;68,6348
Acc_C-bar-10;60,3896
Acc_all-ex-pixelwise-noise-24;66,7236
RMSCE_C;0,0316
Combined_Noise;69,1200
