;config_309_avg
Standard_Acc;74,0400
RMSCE;0,0470
gaussian_noise;51,7360
shot_noise;56,8880
impulse_noise;46,2460
defocus_blur;69,5180
glass_blur;59,5620
motion_blur;66,9540
zoom_blur;67,9380
snow;65,2100
frost;66,2820
fog;69,2180
brightness;71,8920
contrast;67,2260
elastic_transform;66,0980
pixelate;67,2300
jpeg_compression;58,5960
speckle_noise;58,0680
gaussian_blur;67,3300
spatter;66,0040
saturate;68,0880
blue_noise;43,1700
brownish_noise;36,8420
checkerboard_cutout;57,7760
circular_motion_blur;66,0200
inverse_sparkles;45,4080
lines;51,7120
pinch_and_twirl;68,7740
ripple;61,9580
sparkles;60,0580
transverse_chromatic_abberation;52,1560
Acc_C-all-19;63,6886
Acc_C-original-15;63,3729
Acc_C-bar-10;54,3874
Acc_all-ex-pixelwise-noise-24;62,4104
RMSCE_C;0,1045
Combined_Noise;59,1900
