;config_321_avg;config_321_std;config_321_run_0;config_321_run_1;config_321_run_2;config_321_run_3;config_321_run_4
Standard_Acc;81,6740;0,1509;81,5400;81,4600;81,7200;81,7900;81,8600
RMSCE;0,0234;0,0034;0,0212;0,0211;0,0229;0,0217;0,0301
gaussian_noise;62,5756;1,1909;62,1680;63,5500;60,8440;64,2300;62,0860
shot_noise;66,1476;1,1866;65,4460;67,1140;64,6440;67,9040;65,6300
impulse_noise;68,0948;1,4430;67,2640;68,8720;65,6520;69,4740;69,2120
defocus_blur;76,7504;0,1016;76,7120;76,8040;76,8340;76,5680;76,8340
glass_blur;64,6692;0,3146;64,7160;64,8760;64,3480;65,1180;64,2880
motion_blur;72,9224;0,2413;72,6360;72,9880;72,6900;73,3040;72,9940
zoom_blur;74,1400;0,2809;74,0540;74,2540;74,6240;73,9500;73,8180
snow;72,4288;0,3716;72,5840;72,6460;72,0220;72,9220;71,9700
frost;72,9712;0,6040;73,0740;72,9180;72,3160;74,0480;72,5000
fog;75,5588;0,2310;75,5540;75,3340;75,2720;75,8360;75,7980
brightness;80,1160;0,1371;79,8960;80,0800;80,1860;80,1040;80,3140
contrast;76,6592;0,2604;76,7960;76,2180;76,5240;76,8060;76,9520
elastic_transform;72,1396;0,1941;71,9900;72,2580;72,0220;71,9620;72,4660
pixelate;71,7716;0,7871;71,6800;72,8100;70,6200;71,2980;72,4500
jpeg_compression;62,2032;0,4342;61,6320;62,7580;62,1080;62,6420;61,8760
speckle_noise;66,6052;1,1458;66,0080;67,3500;65,0640;68,3760;66,2280
gaussian_blur;74,5428;0,3369;74,6180;74,9340;74,8520;74,2340;74,0760
spatter;74,1708;0,1776;74,1640;73,8400;74,2460;74,3660;74,2380
saturate;75,6860;0,2090;75,5960;75,5180;75,5560;75,6680;76,0920
blue_noise;63,2180;0,4745;63,1160;62,5920;63,7940;63,7300;62,8580
brownish_noise;44,8220;0,8955;45,3560;45,9860;43,8900;43,6620;45,2160
checkerboard_cutout;66,7500;0,3927;67,1860;66,5340;66,5260;66,2600;67,2440
circular_motion_blur;75,2740;0,2088;75,6140;75,2980;75,2800;74,9600;75,2180
inverse_sparkles;46,6372;1,0116;47,1340;47,7700;45,3620;47,4340;45,4860
lines;55,2244;0,4926;55,5340;55,7020;54,3180;55,4580;55,1100
pinch_and_twirl;75,2952;0,0876;75,2440;75,4240;75,3060;75,1640;75,3380
ripple;65,9732;0,6546;66,0240;65,7500;66,1860;64,9420;66,9640
sparkles;67,8724;0,3795;67,7540;67,7780;67,8560;67,4080;68,5660
transverse_chromatic_abberation;54,7756;0,9262;54,8920;55,6340;55,6480;54,5840;53,1200
Acc_C-all-19;71,5870;0,3387;71,3994;71,8485;71,0749;72,0426;71,5696
Acc_C-original-15;71,2766;0,3627;71,0801;71,5653;70,7137;71,7444;71,2792
Acc_C-bar-10;61,5842;0,1964;61,7854;61,8468;61,4166;61,3602;61,5120
Acc_all-ex-pixelwise-noise-24;68,7231;0,1279;68,7683;68,9213;68,5247;68,6958;68,7053
RMSCE_C;0,0440;0,0041;0,0458;0,0419;0,0495;0,0374;0,0455
Combined_Noise;70,3880;0,6904;70,1800;70,2300;69,2800;71,1000;71,1500
