time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
50,9973;37,6157;1,8804;48,8889;2,1075;38,8276;48,8889;38,8276
102,1962;50,1991;1,6095;54,0556;1,8260;39,7931;54,0556;39,7931
140,8393;55,7870;1,4968;64,2222;1,6138;42,2414;64,2222;42,2414
178,2398;59,5509;1,4210;80,5926;0,9820;53,3448;80,5926;53,3448
231,1364;63,3009;1,3397;79,5000;1,1543;52,8966;79,5000;52,8966
276,2693;66,2361;1,2704;83,0185;0,9931;55,3103;83,0185;55,3103
328,1739;68,5139;1,2214;87,7778;0,8274;57,0000;87,7778;57,0000
368,3359;70,3241;1,1773;88,7963;0,8263;57,0000;88,7963;57,0000
405,4354;72,3889;1,1344;91,0185;0,7671;60,4483;91,0185;60,4483
442,6565;73,5370;1,1066;91,0741;0,7607;60,7931;91,0741;60,7931
484,3437;67,0694;1,2584;65,5556;1,7483;45,1034;65,5556;45,1034
522,7387;68,5185;1,2221;63,9259;1,6058;39,9655;63,9259;39,9655
590,1273;69,8611;1,1893;82,3704;0,9662;54,7241;82,3704;54,7241
631,7410;71,9028;1,1499;88,1852;0,8379;58,8621;88,1852;58,8621
687,4262;72,5231;1,1348;88,1296;0,8957;57,2759;88,1296;57,2759
751,0132;74,4722;1,0920;90,4630;0,8082;58,6897;90,4630;58,6897
797,9918;74,5370;1,0801;91,2037;0,8005;59,3793;91,2037;59,3793
862,9068;76,1250;1,0565;91,9630;0,7806;63,3793;91,9630;63,3793
918,8787;76,9676;1,0354;91,2593;0,7468;59,5172;91,2593;59,5172
973,5700;78,2361;1,0042;91,3148;0,7740;61,8276;91,3148;61,8276
1041,6334;78,4352;1,0000;93,3148;0,7415;64,7586;93,3148;64,7586
1095,5887;79,1620;0,9789;94,8333;0,6926;63,2069;94,8333;63,2069
1158,6294;79,8704;0,9618;94,3519;0,7127;65,1034;94,3519;65,1034
1212,0970;81,1713;0,9375;92,7593;0,7313;59,3448;92,7593;59,3448
1274,5018;81,7778;0,9188;95,4444;0,6668;66,5517;95,4444;66,5517
1332,9507;82,2037;0,9105;95,9259;0,6718;66,9310;95,9259;66,9310
1395,1432;82,7222;0,9027;95,6296;0,6643;64,9655;95,6296;64,9655
1465,2475;83,4074;0,8906;95,6852;0,6678;65,2759;95,6852;65,2759
1525,1348;83,4167;0,8828;95,5556;0,6702;65,0690;95,5556;65,0690
1572,3176;83,6481;0,8765;95,7778;0,6592;64,9310;95,7778;64,9310
1634,8769;78,3750;1,0005;92,4444;0,7398;61,6552;92,4444;61,6552
1699,3024;77,9954;1,0105;82,0185;0,9468;56,6897;82,0185;56,6897
1764,5632;78,5880;0,9953;91,0000;0,7817;61,5862;91,0000;61,5862
1827,4623;78,9537;0,9907;88,5741;0,8597;58,3103;88,5741;58,3103
1876,0585;78,6111;0,9900;94,2778;0,7103;66,4483;94,2778;66,4483
1912,8737;79,5602;0,9688;94,0185;0,6995;63,5862;94,0185;63,5862
1963,2642;79,9028;0,9642;85,8333;0,9122;56,3448;85,8333;56,3448
2029,2793;80,5417;0,9494;91,2593;0,7666;61,7241;91,2593;61,7241
2094,0219;80,7176;0,9390;95,0556;0,6908;67,0345;95,0556;67,0345
2168,1914;81,2639;0,9346;91,4074;0,7628;61,9655;91,4074;61,9655
2220,7601;80,7407;0,9346;92,3704;0,7161;69,1724;92,3704;69,1724
2262,5171;81,8611;0,9121;93,9815;0,6846;65,2414;93,9815;65,2414
2316,8824;82,1111;0,9171;94,8148;0,6753;67,0345;94,8148;67,0345
2360,9785;82,5833;0,9064;94,8704;0,6672;62,0345;94,8704;62,0345
2406,1184;82,8889;0,8944;91,7593;0,7288;60,3103;91,7593;60,3103
2458,4639;83,4491;0,8819;93,9630;0,7073;66,9655;93,9630;66,9655
2498,9540;83,6713;0,8774;92,6852;0,7303;62,2759;92,6852;62,2759
2554,3194;83,7037;0,8729;95,9815;0,6488;68,6897;95,9815;68,6897
2591,3004;84,5741;0,8590;92,3519;0,7254;61,4828;92,3519;61,4828
2630,6163;84,3287;0,8625;95,8704;0,6523;70,1034;95,8704;70,1034
2693,0710;84,7222;0,8505;96,7963;0,6127;69,6552;96,7963;69,6552
2765,3707;84,9120;0,8509;94,8333;0,6642;66,4483;94,8333;66,4483
2827,1518;85,4398;0,8381;94,5741;0,6832;65,4483;94,5741;65,4483
2877,4154;85,6435;0,8351;95,5926;0,6584;65,7241;95,5926;65,7241
2929,2056;85,6296;0,8285;95,1667;0,6569;66,9655;95,1667;66,9655
2964,6702;86,0093;0,8215;96,7037;0,6332;67,0690;96,7037;67,0690
3022,1835;86,6250;0,8092;93,9259;0,6883;66,5172;93,9259;66,5172
3081,5986;86,8750;0,8040;97,1111;0,6294;68,3793;97,1111;68,3793
3154,9775;87,3704;0,7982;97,0000;0,6190;68,1034;97,0000;68,1034
3207,5491;87,2454;0,7973;96,8704;0,6330;68,5172;96,8704;68,5172
3271,6695;87,1898;0,7927;96,0185;0,6416;66,8621;96,0185;66,8621
3312,7864;87,6435;0,7853;96,7407;0,6239;68,4828;96,7407;68,4828
3353,6691;87,7222;0,7835;97,0185;0,6163;69,2069;97,0185;69,2069
3414,3891;88,4074;0,7707;97,5185;0,6084;69,4828;97,5185;69,4828
3473,4246;88,1296;0,7723;97,5185;0,6043;70,6207;97,5185;70,6207
3530,8353;88,6852;0,7675;97,7593;0,6042;69,3793;97,7593;69,3793
3598,5693;88,3565;0,7715;97,6296;0,5975;70,7241;97,6296;70,7241
3661,5879;88,5602;0,7668;97,6852;0,5989;70,7241;97,6852;70,7241
3710,3012;88,8102;0,7614;97,6111;0,6046;69,8966;97,6111;69,8966
3769,9984;88,3889;0,7634;97,6111;0,6087;70,0690;97,6111;70,0690
3826,0690;83,6898;0,8750;94,7407;0,6933;62,7586;94,7407;62,7586
3871,0370;83,1991;0,8832;93,0741;0,7053;63,1379;93,0741;63,1379
3924,0498;83,0556;0,8935;89,1296;0,8484;54,9655;89,1296;54,9655
3989,6012;83,2917;0,8835;94,3333;0,7041;64,7241;94,3333;64,7241
4044,2119;83,2917;0,8849;94,9630;0,6634;67,4828;94,9630;67,4828
4107,3675;83,8194;0,8756;93,9630;0,6716;67,4138;93,9630;67,4138
4149,4676;84,1157;0,8653;94,4444;0,6777;67,0345;94,4444;67,0345
4197,6455;83,8704;0,8759;93,9444;0,7330;68,2759;93,9444;68,2759
4253,4251;84,3843;0,8626;92,9259;0,7122;66,7241;92,9259;66,7241
4296,4934;84,3843;0,8622;96,0741;0,6601;69,2759;96,0741;69,2759
4360,6204;84,6528;0,8551;95,9259;0,6395;67,1034;95,9259;67,1034
4431,2991;84,8333;0,8499;95,9444;0,6484;66,5172;95,9444;66,5172
4503,7976;85,1759;0,8436;95,1296;0,6768;62,9310;95,1296;62,9310
4571,0956;85,0602;0,8401;96,4259;0,6466;69,8276;96,4259;69,8276
4625,8101;85,3056;0,8415;93,8333;0,6975;63,1724;93,8333;63,1724
4687,6105;85,1296;0,8453;96,4815;0,6337;69,2414;96,4815;69,2414
4739,1710;85,4120;0,8377;93,6852;0,6930;66,0000;93,6852;66,0000
4805,5811;85,7824;0,8299;91,0926;0,7559;61,8966;91,0926;61,8966
4879,8202;85,4398;0,8373;96,2963;0,6398;67,9310;96,2963;67,9310
4953,7278;85,4444;0,8310;93,7778;0,6845;63,8966;93,7778;63,8966
5012,2669;86,4537;0,8208;95,8519;0,6427;67,3793;95,8519;67,3793
5065,3442;86,4028;0,8132;95,1481;0,6708;66,1034;95,1481;66,1034
5118,1463;86,0833;0,8235;95,5556;0,6376;64,6207;95,5556;64,6207
5171,3210;86,2176;0,8217;96,8889;0,6288;68,1379;96,8889;68,1379
5251,0137;86,6806;0,8097;96,1481;0,6325;65,3793;96,1481;65,3793
5328,1749;86,2778;0,8145;96,1852;0,6391;68,3103;96,1852;68,3103
5404,8131;86,5417;0,8128;97,2963;0,6201;65,7586;97,2963;65,7586
5469,9969;86,8935;0,8022;95,2222;0,6522;64,6897;95,2222;64,6897
5519,9167;86,9583;0,8017;95,9630;0,6350;65,9310;95,9630;65,9310
5589,5187;86,9444;0,8021;94,8333;0,6684;64,8276;94,8333;64,8276
5669,1509;87,0833;0,7981;96,1296;0,6444;64,8966;96,1296;64,8966
5729,7744;87,5139;0,7881;96,2222;0,6218;67,0000;96,2222;67,0000
5788,1355;87,5926;0,7886;96,5185;0,6277;66,9310;96,5185;66,9310
5844,5856;87,5880;0,7874;97,3704;0,6088;71,0345;97,3704;71,0345
5904,5073;87,5185;0,7857;96,7407;0,6385;70,3793;96,7407;70,3793
5974,1000;87,8935;0,7830;96,9444;0,6190;67,8276;96,9444;67,8276
6051,7235;87,7824;0,7803;97,4815;0,6196;68,4483;97,4815;68,4483
6112,7070;88,2824;0,7699;97,1852;0,6135;71,8621;97,1852;71,8621
6174,6821;88,0926;0,7763;97,2407;0,6084;67,2414;97,2407;67,2414
6234,5435;88,1389;0,7765;96,9815;0,6098;68,8621;96,9815;68,8621
6303,5036;88,2222;0,7703;96,5370;0,6185;67,0000;96,5370;67,0000
6369,1574;88,3981;0,7677;95,6296;0,6542;64,1724;95,6296;64,1724
6442,3885;88,1620;0,7728;97,0185;0,6138;68,1724;97,0185;68,1724
6518,9815;88,4120;0,7645;97,5926;0,5831;70,3103;97,5926;70,3103
6581,4891;89,0324;0,7539;97,2407;0,6070;68,4828;97,2407;68,4828
6648,5278;88,7685;0,7588;96,7778;0,6105;68,7931;96,7778;68,7931
6713,2232;89,3102;0,7483;97,8333;0,5912;69,8621;97,8333;69,8621
6772,2785;88,8472;0,7549;97,8889;0,5979;69,9655;97,8889;69,9655
6839,9233;89,7269;0,7424;96,9815;0,6135;66,5862;96,9815;66,5862
6904,9234;89,5370;0,7404;97,5370;0,5931;70,0690;97,5370;70,0690
6967,2086;89,6898;0,7390;97,1852;0,6090;67,8966;97,1852;67,8966
7029,3321;89,7870;0,7374;97,8333;0,5997;69,2069;97,8333;69,2069
7089,3364;89,5880;0,7420;98,0185;0,5943;69,3448;98,0185;69,3448
7149,5812;90,1806;0,7280;98,0741;0,5872;71,6897;98,0741;71,6897
7218,5973;90,0463;0,7277;97,3889;0,6006;68,8276;97,3889;68,8276
7287,3197;90,0602;0,7291;97,7963;0,5885;69,4483;97,7963;69,4483
7352,8762;90,1944;0,7263;97,7222;0,6037;68,2069;97,7222;68,2069
7411,6063;90,5972;0,7194;98,1111;0,5829;70,7931;98,1111;70,7931
7467,6797;90,6481;0,7172;98,0556;0,5902;70,4483;98,0556;70,4483
7531,5449;90,8333;0,7138;98,0741;0,5800;71,2069;98,0741;71,2069
7591,7029;90,8333;0,7150;98,2778;0,5964;70,2759;98,2778;70,2759
7658,1078;90,8056;0,7146;98,1111;0,5975;71,8276;98,1111;71,8276
7731,7761;90,5417;0,7132;98,0741;0,5887;71,0000;98,0741;71,0000
7792,4044;91,0139;0,7102;98,0741;0,5877;71,1724;98,0741;71,1724
7849,0876;91,3380;0,7036;98,2037;0,5873;71,0000;98,2037;71,0000
7904,3496;91,1806;0,7043;98,3519;0,5857;71,4483;98,3519;71,4483
7949,5657;91,1991;0,7041;98,1667;0,5911;70,4483;98,3889;72,3103
8023,2832;91,2870;0,7029;98,0556;0,5766;70,5517;98,2778;71,8276
8087,1194;90,8935;0,7130;98,3148;0,5809;70,3793;98,1667;71,5517
8155,0808;91,1991;0,7090;97,9444;0,5945;70,6897;98,4074;71,1034
8228,2212;90,4352;0,7151;98,2963;0,5826;71,2759;97,8333;69,7586
8292,1041;90,6667;0,7144;97,8333;0,5950;70,0690;98,0741;69,8621
8355,3492;90,4028;0,7216;97,7593;0,6069;70,8276;98,2407;69,1034
8413,1389;90,6620;0,7151;98,1852;0,5765;68,5172;98,0556;70,6897
8476,3731;90,6065;0,7130;97,7593;0,5896;68,5172;97,7037;70,8966
8551,2476;90,5972;0,7189;98,0000;0,5894;69,1034;98,1296;70,6897
8620,6225;90,4907;0,7166;97,9259;0,5834;69,7931;98,2037;70,3793
8675,1508;90,7639;0,7125;97,8148;0,5952;69,9655;98,3519;70,5862
8722,2215;90,8796;0,7108;98,1296;0,5881;70,8276;97,9444;72,3103
8792,1181;90,6759;0,7151;97,4074;0,6003;69,5172;98,2407;70,8966
