;config_581_avg
Standard_Acc;97,5741
RMSCE;0,0497
gaussian_noise;14,5370
shot_noise;15,4444
impulse_noise;18,9074
defocus_blur;55,8889
glass_blur;43,7407
motion_blur;79,0370
zoom_blur;62,0000
snow;37,5556
frost;42,4259
fog;43,2037
brightness;58,2593
contrast;29,4259
elastic_transform;87,2778
pixelate;92,9074
jpeg_compression;67,0741
speckle_noise;12,1296
gaussian_blur;44,9074
spatter;44,9259
saturate;50,1667
blue_noise;29,9074
brownish_noise;19,9444
checkerboard_cutout;58,5370
circular_motion_blur;73,0926
inverse_sparkles;39,1667
lines;47,0556
pinch_and_twirl;96,2963
ripple;82,5741
sparkles;56,5185
transverse_chromatic_abberation;54,2407
Acc_C-all-19;47,3587
Acc_C-original-15;49,8457
Acc_C-bar-10;55,7333
Acc_all-ex-pixelwise-noise-24;56,9259
RMSCE_C;0,3948
Combined_Noise;58,0185
