time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
47,3845;15,7132;3,2379;25,2098;2,8343;21,7241;25,2098;21,7241
86,3427;33,5323;2,5996;58,0364;2,0069;43,1724;58,0364;43,1724
150,8817;50,6907;2,1437;51,8765;2,1040;39,6552;51,8765;39,6552
198,5425;59,7147;1,8961;52,9850;2,5682;43,1724;52,9850;43,1724
248,1556;64,9512;1,7533;88,5115;1,1872;75,4138;88,5115;75,4138
313,4628;68,3221;1,6506;91,2985;1,0545;78,6552;91,2985;78,6552
388,0552;70,9760;1,5622;93,2462;1,0136;81,5862;93,2462;81,5862
440,1747;72,8266;1,5083;93,1037;0,9977;81,7241;93,1037;81,7241
497,5888;74,4369;1,4494;93,1433;0,9782;83,2414;93,1433;83,2414
556,9457;75,5856;1,4190;94,7902;0,9247;85,2759;94,7902;85,2759
618,7510;70,3453;1,5769;80,7759;1,3445;68,3793;80,7759;68,3793
677,4955;71,2050;1,5424;93,5075;0,9865;82,5862;93,5075;82,5862
758,2468;72,7027;1,5044;78,6461;1,3769;60,9655;78,6461;60,9655
827,4948;73,5848;1,4714;83,9272;1,2337;71,7586;83,9272;71,7586
899,6612;74,6171;1,4373;87,2842;1,1042;74,1379;87,2842;74,1379
993,6471;75,8296;1,4019;94,6556;0,9064;84,7931;94,6556;84,7931
1070,8323;76,2350;1,3813;94,4497;0,8719;85,0000;94,4497;85,0000
1165,6490;77,2372;1,3527;95,0752;0,9158;85,8621;95,0752;85,8621
1258,3573;78,0556;1,3275;93,8480;0,9509;82,7241;93,8480;82,7241
1331,0577;79,0916;1,2995;94,3943;0,9088;84,6897;94,3943;84,6897
1412,3771;79,3356;1,2901;96,5717;0,8555;88,5517;96,5717;88,5517
1508,0595;80,6381;1,2581;96,8488;0,8953;87,9655;96,8488;87,9655
1587,7921;80,9272;1,2481;96,3975;0,9112;87,7931;96,3975;87,7931
1649,9884;81,6704;1,2197;96,9438;0,8800;88,7931;96,9438;88,7931
1739,9703;82,1959;1,2004;96,9755;0,8625;88,6207;96,9755;88,6207
1835,6225;83,0631;1,1812;96,4687;0,8623;88,3793;96,4687;88,3793
1919,5389;83,0330;1,1795;97,0942;0,8437;89,5862;97,0942;89,5862
1979,5943;83,6299;1,1616;96,9121;0,8489;89,4138;96,9121;89,4138
2041,2513;83,5360;1,1601;96,8963;0,8694;89,8966;96,8963;89,8966
2145,5396;84,1329;1,1483;97,0150;0,8372;90,0345;97,0150;90,0345
2231,9013;78,9339;1,2947;94,4339;0,9042;82,9310;94,4339;82,9310
2292,0183;79,2530;1,2914;95,5028;0,8927;83,7931;95,5028;83,7931
2372,0306;78,6261;1,3041;93,7371;0,9626;83,3103;93,7371;83,3103
2464,9869;79,4707;1,2851;95,2336;0,8912;85,4483;95,2336;85,4483
2587,8834;79,8986;1,2741;95,7324;0,8994;85,8966;95,7324;85,8966
2675,6780;80,1351;1,2629;95,7641;0,8663;87,3103;95,7641;87,3103
2787,3001;80,6344;1,2563;95,8828;0,8652;87,4828;95,8828;87,4828
2923,0010;80,7470;1,2418;94,7189;0,9900;86,1034;94,7189;86,1034
3056,5021;80,7770;1,2469;95,3127;0,9062;85,8621;95,3127;85,8621
3149,2702;81,1749;1,2321;96,0333;0,8839;87,8621;96,0333;87,8621
3245,6263;81,3926;1,2302;96,2945;0,9437;88,8966;96,2945;88,8966
3357,6048;81,8731;1,2081;96,4291;0,8502;87,6552;96,4291;87,6552
3475,6324;82,0458;1,2089;96,5875;0,8664;89,2759;96,5875;89,2759
3601,6075;82,3686;1,1956;95,7086;0,9345;86,8621;95,7086;86,8621
3719,8399;82,8679;1,1807;96,3025;0,8681;88,7241;96,3025;88,7241
3804,1251;82,6914;1,1894;96,2154;0,8619;87,9310;96,2154;87,9310
3914,2239;83,4647;1,1650;96,5875;0,8665;87,8966;96,5875;87,8966
4045,0492;83,6374;1,1562;96,5321;0,8700;88,6552;96,5321;88,6552
4172,6496;83,9152;1,1468;96,5241;0,8598;86,6552;96,5241;86,6552
4266,8264;84,1329;1,1424;97,0705;0,8289;89,1724;97,0705;89,1724
4347,2804;84,7335;1,1265;97,2367;0,8498;89,8276;97,2367;89,8276
4457,6546;84,1554;1,1381;97,1021;0,8612;89,6552;97,1021;89,6552
4590,6520;84,7785;1,1197;97,4743;0,8454;89,4828;97,4743;89,4828
4715,9328;85,2027;1,1105;97,0309;0,8630;90,2759;97,0309;90,2759
4833,1906;85,2928;1,1052;97,2209;0,8640;90,5172;97,2209;90,5172
4942,4002;85,5743;1,1018;97,2447;0,8401;90,3793;97,2447;90,3793
5064,1727;86,3964;1,0769;97,8068;0,8099;91,2414;97,8068;91,2414
5201,1051;86,1637;1,0768;97,6326;0,8092;90,8621;97,6326;90,8621
5312,9465;86,3551;1,0781;97,1971;0,8602;90,2069;97,1971;90,2069
5419,0329;86,9520;1,0635;97,6089;0,8340;90,8621;97,6089;90,8621
5545,4005;86,6929;1,0665;97,3001;0,8206;90,9310;97,3001;90,9310
5680,7197;87,0908;1,0596;97,7197;0,8347;90,8966;97,7197;90,8966
5808,9020;86,9632;1,0573;97,6326;0,8189;91,0345;97,6326;91,0345
5931,4152;87,4550;1,0452;97,5059;0,8622;91,3448;97,5059;91,3448
6047,6506;87,2785;1,0516;97,6643;0,8446;91,1379;97,6643;91,1379
6167,5739;87,2635;1,0466;97,7910;0,8165;91,3448;97,7910;91,3448
6284,4270;87,2710;1,0453;97,7593;0,8210;91,4483;97,7593;91,4483
6404,7087;87,6839;1,0382;97,5297;0,8336;91,5862;97,5297;91,5862
6529,5654;87,0195;1,0513;97,8860;0,8141;91,4828;97,8860;91,4828
6659,7674;87,4925;1,0426;97,8147;0,8150;91,4138;97,8147;91,4138
6798,4906;83,7875;1,1463;96,2787;0,8392;88,5517;96,2787;88,5517
6917,1179;83,0143;1,1754;95,3523;0,9101;87,5517;95,3523;87,5517
7032,0141;82,9017;1,1805;96,4450;0,8632;88,2414;96,4450;88,2414
7148,5992;82,9692;1,1701;96,5796;0,8779;88,3448;96,5796;88,3448
7272,2923;83,4084;1,1674;95,8036;0,9269;86,9310;95,8036;86,9310
7393,4822;83,2845;1,1707;97,3159;0,8512;87,8276;97,3159;87,8276
7519,1867;83,3709;1,1699;96,0728;0,8836;88,3103;96,0728;88,3103
7644,9259;83,7650;1,1570;96,7854;0,8491;88,6897;96,7854;88,6897
7768,9264;83,6787;1,1548;96,5241;0,8724;87,3103;96,5241;87,3103
7877,8964;83,4872;1,1574;96,0491;0,8810;86,1724;96,0491;86,1724
7963,6757;83,8326;1,1496;96,3262;0,8451;87,7586;96,3262;87,7586
8088,2619;84,1817;1,1409;96,5162;0,8616;88,1724;96,5162;88,1724
8231,9677;83,8326;1,1526;96,6112;0,8728;89,3103;96,6112;89,3103
8354,8275;84,0390;1,1397;96,3025;0,8916;87,6552;96,3025;87,6552
8467,7956;84,4482;1,1353;95,1306;0,9353;85,4138;95,1306;85,4138
8582,2864;84,3281;1,1374;97,1101;0,8241;89,3448;97,1101;89,3448
8722,1702;84,3318;1,1298;96,0412;0,8616;86,6552;96,0412;86,6552
8861,6327;84,4369;1,1295;97,1338;0,8665;88,1034;97,1338;88,1034
8960,5876;84,4219;1,1301;96,7300;0,8188;89,9310;96,7300;89,9310
9075,6988;85,0638;1,1145;96,9200;0,8674;89,5172;96,9200;89,5172
9202,8264;85,1464;1,1147;97,4268;0,8195;90,7586;97,4268;90,7586
9348,0130;84,8986;1,1215;96,8171;0,8663;89,8276;96,8171;89,8276
9477,6448;85,4317;1,1030;97,0942;0,8368;89,3103;97,0942;89,3103
9593,6049;85,4767;1,1020;95,2257;0,8822;86,1724;95,2257;86,1724
9713,6667;85,0225;1,1151;96,3895;0,8865;88,5172;96,3895;88,5172
9844,4605;85,5593;1,1016;96,4450;0,8355;89,3793;96,4450;89,3793
9977,4905;85,6832;1,0955;97,0150;0,8467;90,0690;97,0150;90,0690
10089,8170;85,6156;1,0993;96,9992;0,8014;89,8966;96,9992;89,8966
10191,4644;85,9272;1,0874;96,8329;0,8243;89,2414;96,8329;89,2414
10324,0481;85,7695;1,0941;96,7300;0,8363;88,9310;96,7300;88,9310
10455,9238;85,8821;1,0871;97,4743;0,8058;91,0345;97,4743;91,0345
10555,9622;86,3326;1,0710;97,7356;0,8043;90,6552;97,7356;90,6552
10645,7808;86,5465;1,0664;97,8622;0,8132;90,8621;97,8622;90,8621
10754,8595;86,4940;1,0698;97,3001;0,8258;90,1034;97,3001;90,1034
10862,5358;86,5653;1,0669;96,7538;0,8453;88,5517;96,7538;88,5517
10976,4290;86,7342;1,0673;96,1283;0,8405;89,0690;96,1283;89,0690
11081,3177;86,5390;1,0727;96,9992;0,8233;89,4828;96,9992;89,4828
11207,3863;86,8356;1,0673;96,2549;0,8585;88,6552;96,2549;88,6552
11338,7314;87,0646;1,0500;97,0467;0,8419;90,3448;97,0467;90,3448
11470,1696;86,7568;1,0598;97,3634;0,8039;90,5172;97,3634;90,5172
11590,1383;87,0083;1,0521;97,2209;0,8303;90,1379;97,2209;90,1379
11705,6459;87,3348;1,0494;97,6643;0,8154;90,8276;97,6643;90,8276
11790,0899;87,3461;1,0452;97,8781;0,7966;90,5862;97,8781;90,5862
11891,6293;87,3949;1,0474;97,9493;0,7829;91,2069;97,9493;91,2069
12011,5616;87,9054;1,0318;97,3238;0,8166;90,8621;97,3238;90,8621
12122,8286;87,8941;1,0302;97,4188;0,8040;90,5517;97,4188;90,5517
12225,3350;87,9617;1,0315;97,7593;0,7948;91,6207;97,7593;91,6207
12338,1108;88,1081;1,0222;97,5534;0,8144;91,2759;97,5534;91,2759
12437,7299;88,1344;1,0289;97,6564;0,8127;91,1379;97,6564;91,1379
12530,4944;88,0255;1,0256;98,1789;0,7997;91,6897;98,1789;91,6897
12606,0537;87,8378;1,0289;97,6564;0,8181;91,1379;97,6564;91,1379
12722,9638;88,4572;1,0124;98,1473;0,8093;91,2414;98,1473;91,2414
12840,0569;88,2282;1,0193;97,8147;0,8036;91,4483;97,8147;91,4483
12915,5647;88,7312;1,0067;97,6880;0,8085;91,7241;97,6880;91,7241
12979,4937;88,7462;1,0059;98,2819;0,7828;91,7931;98,2819;91,7931
13067,9168;88,6599;1,0139;97,3951;0,8249;91,5172;97,3951;91,5172
13184,0025;88,9189;1,0005;97,9652;0,7959;91,7241;97,9652;91,7241
13294,8621;89,0916;0,9948;98,3848;0,7997;92,6207;98,3848;92,6207
13378,6157;88,8514;1,0007;97,9810;0,7967;91,8276;97,9810;91,8276
13469,1284;89,4032;0,9870;97,7435;0,8030;91,7586;97,7435;91,7586
13564,4799;89,3806;0,9902;98,0918;0,7926;92,5517;98,0918;92,5517
13663,9804;89,1854;0,9966;97,9018;0,8040;91,9310;97,9018;91,9310
13749,0179;89,5008;0,9804;97,4030;0,7922;91,6552;97,4030;91,6552
13861,6143;88,9565;0,9905;98,1789;0,7979;92,3103;98,1789;92,3103
13961,3638;89,8611;0,9783;98,1869;0,8099;92,2414;98,1869;92,2414
14112,4540;89,3919;0,9844;98,2581;0,7844;92,1724;98,2581;92,1724
14223,4782;89,6471;0,9750;97,9256;0,7885;92,0345;98,1552;92,2759
14300,4978;89,7110;0,9764;98,0681;0,8035;92,3793;98,3135;92,3793
14427,1701;89,3544;0,9879;97,9889;0,8045;92,4828;98,1710;92,4828
14589,7700;89,2455;0,9863;98,0681;0,7986;92,3103;97,9018;92,3103
14708,1319;89,0841;0,9963;98,1552;0,7997;91,7586;97,9177;92,2414
14799,8624;89,3769;0,9865;97,9810;0,7878;92,1034;98,1552;92,1724
14958,5467;89,1779;0,9895;98,0206;0,7883;92,3793;98,3531;92,6897
15089,0212;89,2830;0,9877;98,1314;0,8054;92,2069;98,2660;92,6897
15192,5556;89,0728;0,9942;98,1235;0,7902;92,0345;98,0839;92,7241
15329,4157;88,8626;0,9981;97,9018;0,7949;91,3448;98,1314;92,2414
15488,4196;89,5270;0,9830;98,0523;0,7998;91,7241;98,1077;92,1724
15608,2496;89,4107;0,9870;97,9335;0,8152;91,5172;97,9968;91,8966
15728,4963;89,3619;0,9882;97,5851;0,8193;90,8276;97,9335;91,8276
15880,3417;89,2980;0,9851;97,6880;0,7838;91,7586;98,2660;92,3448
