;config_577_avg
Standard_Acc;98,2660
RMSCE;0,0715
gaussian_noise;90,3009
shot_noise;96,4450
impulse_noise;97,2605
defocus_blur;97,6089
glass_blur;92,9295
motion_blur;96,6508
zoom_blur;97,3713
snow;90,7680
frost;92,4861
fog;91,2114
brightness;97,5693
contrast;97,4584
elastic_transform;96,8884
pixelate;97,4901
jpeg_compression;94,7031
speckle_noise;97,3951
gaussian_blur;97,2842
spatter;96,1520
saturate;95,7641
blue_noise;94,4181
brownish_noise;77,6485
checkerboard_cutout;84,2439
circular_motion_blur;98,1552
inverse_sparkles;76,2708
lines;81,9477
pinch_and_twirl;96,8250
ripple;96,9438
sparkles;83,2383
transverse_chromatic_abberation;94,8219
Acc_C-all-19;95,4598
Acc_C-original-15;95,1428
Acc_C-bar-10;88,4513
Acc_all-ex-pixelwise-noise-24;92,6013
RMSCE_C;0,0657
Combined_Noise;93,6105
