;config_513_avg
Standard_Acc;78,7280
RMSCE;0,2764
gaussian_noise;45,8916
shot_noise;43,9724
impulse_noise;41,6056
defocus_blur;35,3036
glass_blur;29,4768
motion_blur;39,3048
zoom_blur;40,7176
snow;39,0792
frost;45,0508
fog;56,9292
brightness;68,8568
contrast;53,1180
elastic_transform;46,1832
pixelate;44,1672
jpeg_compression;58,2636
speckle_noise;50,8076
gaussian_blur;39,0604
spatter;53,0768
saturate;67,4780
blue_noise_sample;46,6200
brownish_noise;66,0224
caustic_refraction;58,0868
checkerboard_cutout;54,7060
cocentric_sine_waves;16,7216
inverse_sparkles;29,3508
perlin_noise;65,4020
plasma_noise;41,0876
single_frequency_greyscale;24,6332
sparkles;65,6300
Acc_C-all-19;47,2812
Acc_C-original-15;45,8614
Acc_C-bar-10;46,8260
Acc_all-ex-pixelwise-noise-24;47,4044
RMSCE_C;0,1628
Combined_Noise;77,4600
