time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
1762,7126;68,2785;2,9562;79,7560;1,8026;50,2897;79,7560;50,2897
3586,8376;68,8969;2,8759;79,8840;1,7963;49,9862;79,8840;49,9862
5448,2949;69,0153;2,8529;79,5800;1,8337;49,3517;79,5800;49,3517
7281,8471;68,1654;2,8601;79,8560;1,8239;49,6276;79,8560;49,6276
9084,6122;68,9387;2,8301;79,5140;1,8414;48,2552;79,5140;48,2552
10935,7316;69,1613;2,8263;79,6280;1,8501;49,0138;79,6280;49,0138
12807,2678;68,9521;2,8315;79,4920;1,8690;48,7517;79,4920;48,7517
14655,9558;69,2380;2,8086;79,8040;1,8051;48,6207;79,8040;48,6207
16525,8795;69,4418;2,8046;79,7100;1,8032;47,9103;79,7100;47,9103
18367,4837;69,1152;2,8127;79,6100;1,8187;48,6138;79,6100;48,6138
20252,0051;69,0849;2,8193;79,4300;1,8835;48,2690;79,4300;48,2690
22117,5041;69,4129;2,7818;79,7700;1,7751;47,7862;79,7700;47,7862
23988,4273;69,3497;2,7947;79,6760;1,7657;47,7724;79,6760;47,7724
25882,7025;69,5763;2,7819;79,6620;1,8107;48,1862;79,6620;48,1862
27756,0397;69,6602;2,7809;79,6720;1,8213;48,2000;79,6720;48,2000
29634,2781;69,8398;2,7855;79,7280;1,8144;48,5586;79,7280;48,5586
31504,8748;69,8480;2,7743;79,7160;1,8064;48,2000;79,7160;48,2000
33381,2075;69,9120;2,7736;79,7360;1,8084;47,7793;79,7360;47,7793
35262,3862;69,7815;2,7614;79,7200;1,7835;48,4552;79,7200;48,4552
37147,3834;69,6174;2,7694;79,8120;1,8019;48,1793;79,8120;48,1793
39013,6242;69,9686;2,7640;79,8100;1,8042;48,3862;79,8100;48,3862
40874,7609;69,7007;2,7739;79,6740;1,7846;47,9241;79,6740;47,9241
42738,6360;69,7845;2,7599;79,8160;1,7785;48,3931;79,8160;48,3931
44609,4816;69,8154;2,7490;79,6880;1,8163;48,4621;79,6880;48,4621
46584,2867;69,8789;2,7614;79,8540;1,7666;48,5448;79,8540;48,5448
48555,6631;69,5428;2,7763;79,6500;1,8511;48,3448;79,7020;48,6966
50486,3416;69,6710;2,7644;79,7500;1,8426;48,7034;79,6720;48,3931
52472,9706;69,7822;2,7659;79,7580;1,8040;48,2138;79,5640;47,8690
54500,4269;70,2753;2,7447;79,8700;1,7724;48,4828;79,5940;47,8069
56537,8095;69,7203;2,7550;79,7340;1,7954;48,3103;79,0140;46,7241
