time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
496,9504;74,2784;0,5367;78,3417;0,5559;71,6207;78,3417;71,6207
939,1664;80,3175;0,4717;80,7007;0,4930;70,2759;80,7007;70,2759
1397,3616;82,4114;0,4467;88,2568;0,4032;78,9655;88,2568;78,9655
1797,3645;83,8338;0,4305;82,3395;0,4881;72,8276;82,3395;72,8276
2170,3698;84,7921;0,4188;86,9293;0,4161;76,5517;86,9293;76,5517
2559,3338;85,5554;0,4084;87,9364;0,4076;78,5172;87,9364;78,5172
2987,2556;86,3664;0,3983;88,3026;0,4056;78,4483;88,3026;78,4483
3401,7219;87,0327;0,3894;89,5203;0,3732;81,6552;89,5203;81,6552
3920,2403;87,7723;0,3801;87,9333;0,4081;80,0000;87,9333;80,0000
4703,8111;88,2948;0,3732;88,6444;0,3976;80,2414;88,6444;80,2414
5450,9776;85,1939;0,4139;87,6251;0,4131;79,6897;87,6251;79,6897
6156,3056;85,7442;0,4069;85,9314;0,4469;79,4138;85,9314;79,4138
6958,0037;86,0999;0,4027;89,9658;0,3638;82,4828;89,9658;82,4828
7662,0443;86,4438;0,3974;83,1238;0,4935;77,6552;83,1238;77,6552
8480,7314;86,7642;0,3943;86,5448;0,4297;80,1724;86,5448;80,1724
9313,2550;87,0378;0,3904;85,7452;0,4448;75,2759;85,7452;75,2759
10041,8214;87,2782;0,3879;87,8937;0,4145;78,5517;87,8937;78,5517
10850,7852;87,5871;0,3836;88,0524;0,3945;79,8276;88,0524;79,8276
11665,7231;87,8245;0,3797;83,7738;0,4934;74,1379;83,7738;74,1379
12443,7263;88,0781;0,3763;86,8561;0,4172;80,3103;86,8561;80,3103
13255,3429;88,2972;0,3726;88,2843;0,3977;80,2069;88,2843;80,2069
14023,9246;88,7360;0,3676;88,6902;0,3944;80,0345;88,6902;80,0345
14812,8250;89,0357;0,3632;88,8184;0,4030;79,2069;88,8184;79,2069
15634,8866;89,4104;0,3583;88,2843;0,4052;80,4138;88,2843;80,4138
16343,4460;89,7434;0,3534;88,8489;0,3909;79,0345;88,8489;79,0345
17200,5546;90,0564;0,3489;90,2069;0,3703;81,7931;90,2069;81,7931
17994,7497;90,2781;0,3450;90,2954;0,3654;81,3103;90,2954;81,3103
18771,7386;90,7223;0,3400;89,1998;0,3842;80,7586;89,1998;80,7586
19643,8912;90,6169;0,3413;89,7400;0,3793;80,8276;90,9058;82,2069
20431,6055;90,4561;0,3431;90,3534;0,3650;81,5172;88,9984;78,7931
