train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
4,9430;4,8919;10,9600;4,4357;5,9655;10,9600;5,9655
12,2080;4,3725;19,7600;3,9093;8,7862;19,7600;8,7862
17,8350;4,0616;23,0200;3,7947;10,8138;23,0200;10,8138
21,7300;3,8586;26,9600;3,6338;11,1862;26,9600;11,1862
25,0990;3,6996;29,5600;3,4692;11,4207;29,5600;11,4207
27,7010;3,5794;33,4800;3,3223;12,3931;33,4800;12,3931
30,0030;3,4768;34,7400;3,2776;14,8966;34,7400;14,8966
32,3590;3,3834;39,1700;3,0464;17,5379;39,1700;17,5379
34,0060;3,3034;41,6000;3,0006;18,9793;41,6000;18,9793
35,8530;3,2269;44,2300;2,9089;20,8483;44,2300;20,8483
37,7640;3,1444;44,7000;2,8541;20,8345;44,7000;20,8345
39,2990;3,0815;46,5300;2,7991;20,9103;46,5300;20,9103
41,0490;3,0158;47,2400;2,7832;21,6621;47,2400;21,6621
42,4060;2,9594;50,0100;2,6931;23,1793;50,0100;23,1793
43,7170;2,9042;50,6800;2,6684;23,7862;50,6800;23,7862
44,9050;2,8572;51,8200;2,6072;24,1931;51,8200;24,1931
46,1580;2,8162;52,6400;2,5813;24,6483;52,6400;24,6483
46,8690;2,7846;53,0500;2,5575;25,2897;53,0500;25,2897
47,5600;2,7600;53,3700;2,5471;25,6138;53,3700;25,6138
47,9580;2,7466;53,7200;2,5420;25,4897;53,7200;25,4897
37,3820;3,1602;42,4900;2,9674;17,0966;42,4900;17,0966
37,1610;3,1594;43,2600;2,8947;19,7862;43,2600;19,7862
38,3920;3,1149;44,4200;2,8556;17,6138;44,4200;17,6138
39,3690;3,0717;45,8400;2,8181;19,2966;45,8400;19,2966
40,2310;3,0340;47,5300;2,7880;22,8207;47,5300;22,8207
41,3340;2,9898;48,4000;2,7225;22,0345;48,4000;22,0345
42,4360;2,9533;46,0600;2,8322;21,0828;46,0600;21,0828
42,7250;2,9283;48,5900;2,7015;21,0828;48,5900;21,0828
44,1260;2,8845;50,7500;2,6331;23,9586;50,7500;23,9586
44,8890;2,8506;51,2600;2,6231;24,2552;51,2600;24,2552
45,5070;2,8247;50,1000;2,6577;25,1379;50,1000;25,1379
46,4640;2,7871;51,6000;2,6275;23,2966;51,6000;23,2966
47,4030;2,7531;51,1800;2,6075;24,8690;51,1800;24,8690
48,0370;2,7240;52,6600;2,5643;24,5310;52,6600;24,5310
49,1740;2,6851;52,9200;2,5641;24,0276;52,9200;24,0276
49,7610;2,6564;54,3000;2,5072;25,3448;54,3000;25,3448
50,6360;2,6241;55,0800;2,4782;27,2966;55,0800;27,2966
51,4250;2,5970;54,3800;2,4938;27,1379;54,3800;27,1379
52,3790;2,5596;56,0000;2,4399;27,9379;56,0000;27,9379
53,0990;2,5321;56,2100;2,4427;27,6414;56,2100;27,6414
54,1160;2,4952;57,4100;2,3962;27,5379;57,4100;27,5379
54,7120;2,4690;57,0600;2,4038;27,5862;57,0600;27,5862
55,6580;2,4356;58,1900;2,3679;29,0828;58,1900;29,0828
56,9570;2,3960;58,1200;2,3703;27,4759;58,1200;27,4759
57,6660;2,3646;58,7900;2,3480;29,4276;58,7900;29,4276
58,2390;2,3425;59,3200;2,3265;29,1448;59,3200;29,1448
59,2550;2,3050;59,6100;2,3017;30,8069;59,6100;30,8069
60,1960;2,2724;59,6000;2,3242;29,6690;59,6000;29,6690
60,9220;2,2466;60,2800;2,2926;30,3517;60,2800;30,3517
61,7270;2,2192;60,7600;2,2822;29,8621;60,7600;29,8621
62,5890;2,1956;61,1500;2,2623;30,6897;61,1500;30,6897
63,4270;2,1714;61,3500;2,2490;30,3448;61,3500;30,3448
63,8980;2,1473;61,3700;2,2485;30,1172;61,3700;30,1172
64,5140;2,1311;61,7700;2,2385;30,7724;61,7700;30,7724
65,1820;2,1104;61,7800;2,2413;30,4621;61,7800;30,4621
65,4610;2,0964;61,8300;2,2316;31,1862;61,8300;31,1862
65,9080;2,0831;61,8900;2,2300;31,1172;61,8900;31,1172
66,1320;2,0742;61,8900;2,2288;31,4483;61,8900;31,4483
66,0740;2,0752;62,1000;2,2271;31,3448;62,1000;31,3448
66,2960;2,0726;62,1400;2,2282;31,3586;62,1400;31,3586
50,6000;2,6191;50,7500;2,6516;20,8276;50,7500;20,8276
49,1950;2,6722;52,2700;2,5844;24,8000;52,2700;24,8000
49,4580;2,6632;52,6000;2,5609;25,6000;52,6000;25,6000
49,3080;2,6631;51,3900;2,6033;25,9103;51,3900;25,9103
49,7960;2,6484;50,7400;2,6741;23,2414;50,7400;23,2414
50,0980;2,6417;54,0500;2,5230;27,6552;54,0500;27,6552
50,4660;2,6275;53,1800;2,5476;25,7586;53,1800;25,7586
50,8990;2,6096;51,5500;2,6009;23,9655;51,5500;23,9655
51,1960;2,6000;54,7300;2,4941;25,2069;54,7300;25,2069
51,2680;2,5929;52,5000;2,5842;25,0483;52,5000;25,0483
51,7220;2,5767;54,6100;2,5101;25,3724;54,6100;25,3724
52,0590;2,5628;54,4000;2,4968;25,6000;54,4000;25,6000
52,2110;2,5566;54,2400;2,5144;26,0552;54,2400;26,0552
52,8080;2,5385;52,6600;2,5449;25,3724;52,6600;25,3724
53,2680;2,5212;54,3500;2,5043;26,9034;54,3500;26,9034
53,3580;2,5134;55,0400;2,4873;26,4069;55,0400;26,4069
53,5130;2,5075;56,1400;2,4426;26,0966;56,1400;26,0966
53,9910;2,4908;54,9800;2,4790;26,6552;54,9800;26,6552
54,4280;2,4780;55,7100;2,4635;26,5172;55,7100;26,5172
54,6670;2,4687;56,6400;2,4282;25,5586;56,6400;25,5586
54,9900;2,4570;55,7500;2,4552;28,3448;55,7500;28,3448
55,4510;2,4356;55,8500;2,4783;27,1241;55,8500;27,1241
55,7010;2,4273;55,5100;2,4660;25,5379;55,5100;25,5379
55,8650;2,4184;56,5800;2,4372;26,3103;56,5800;26,3103
56,3150;2,4018;57,3400;2,4234;28,6276;57,3400;28,6276
56,8840;2,3826;56,9000;2,4385;26,3931;56,9000;26,3931
57,0710;2,3756;56,3800;2,4371;27,9517;56,3800;27,9517
57,3740;2,3630;57,6600;2,3931;29,8621;57,6600;29,8621
