time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
167,4322;4,2205;4,9709;9,5500;4,5172;5,1862;9,5500;5,1862
334,0046;11,4302;4,4512;17,0800;4,0906;9,6828;17,0800;9,6828
577,7588;17,5971;4,1108;23,3100;3,8108;11,4759;23,3100;11,4759
933,7254;21,5501;3,9038;27,0300;3,6414;15,6069;27,0300;15,6069
1172,9764;25,0183;3,7412;29,6700;3,4934;13,9034;29,6700;13,9034
1393,4895;27,7571;3,6247;34,4600;3,2502;17,7103;34,4600;17,7103
1675,9546;30,0201;3,5183;36,1300;3,2454;18,2069;36,1300;18,2069
1959,9935;31,7352;3,4355;38,0900;3,0932;20,8207;38,0900;20,8207
2186,9675;33,8048;3,3479;41,1400;3,0074;22,2483;41,1400;22,2483
2378,9044;35,4908;3,2784;42,6000;2,9420;19,7310;42,6000;19,7310
2590,0081;37,2509;3,1980;44,1200;2,8972;23,6483;44,1200;23,6483
2843,3840;38,2176;3,1549;46,6300;2,7788;23,7793;46,6300;23,7793
3062,5378;39,8345;3,0910;47,7200;2,7373;24,3448;47,7200;24,3448
3332,4779;41,0847;3,0401;49,4000;2,6716;24,9172;49,4000;24,9172
3603,5032;42,4942;2,9873;50,8400;2,6250;26,9931;50,8400;26,9931
3847,3514;43,3788;2,9525;51,7300;2,5875;27,4345;51,7300;27,4345
4186,0520;44,3765;2,9128;52,8500;2,5562;28,2897;52,8500;28,2897
4451,5173;44,6110;2,8998;53,3100;2,5350;29,0552;53,3100;29,0552
4778,9892;45,1850;2,8788;53,8100;2,5212;29,0828;53,8100;29,0828
5066,6961;44,9506;2,8870;53,9200;2,5194;29,3241;53,9200;29,3241
5371,5986;36,7320;3,2204;39,9200;3,0581;19,5103;39,9200;19,5103
5688,4464;37,0446;3,2054;42,4200;2,9336;22,7793;42,4200;22,7793
6051,6558;37,7709;3,1695;43,6200;2,8696;24,4690;43,6200;24,4690
6367,2278;38,8047;3,1288;43,1700;2,9298;21,2828;43,1700;21,2828
6629,0096;39,9277;3,0921;46,0600;2,8253;26,7379;46,0600;26,7379
7016,5428;40,6580;3,0503;45,8200;2,8266;22,2828;45,8200;22,2828
7423,1212;41,3482;3,0292;46,8200;2,7715;25,9793;46,8200;25,9793
7761,5618;42,0705;2,9946;49,1400;2,6946;25,5448;49,1400;25,5448
7949,0932;42,7477;2,9607;49,8300;2,6692;27,3724;49,8300;27,3724
8175,0385;43,8686;2,9229;50,6000;2,6448;26,2069;50,6000;26,2069
8508,5957;44,2313;2,9123;50,6700;2,6348;27,1172;50,6700;27,1172
8704,9985;44,7332;2,8861;52,1900;2,5585;29,1724;52,1900;29,1724
8941,1002;45,6348;2,8537;51,9400;2,5743;27,1586;51,9400;27,1586
9122,6561;45,9834;2,8361;52,8700;2,5456;26,0552;52,8700;26,0552
9438,6850;47,1685;2,7915;54,1300;2,5007;29,5310;54,1300;29,5310
9744,1712;47,3879;2,7755;54,5800;2,4775;30,0069;54,5800;30,0069
9957,7807;47,8948;2,7582;56,6700;2,4287;31,3241;56,6700;31,3241
10188,3252;48,9446;2,7161;55,8300;2,4374;31,7862;55,8300;31,7862
10450,6342;49,2692;2,7060;55,8000;2,4225;29,8828;55,8000;29,8828
10783,0102;49,9224;2,6768;57,2200;2,4011;30,3034;57,2200;30,3034
11060,3450;50,6176;2,6538;57,2000;2,3869;31,6276;57,2000;31,6276
11274,2664;51,2327;2,6285;58,0700;2,3508;31,5310;58,0700;31,5310
11611,0024;51,5913;2,6083;59,2600;2,3047;33,4069;59,2600;33,4069
11931,4521;52,2896;2,5832;59,1900;2,2920;32,0138;59,1900;32,0138
12250,2306;52,7954;2,5721;60,0000;2,2690;34,9310;60,0000;34,9310
12586,0677;53,4616;2,5394;60,2400;2,2653;35,7103;60,2400;35,7103
12881,9696;53,9034;2,5234;61,4100;2,2176;35,8828;61,4100;35,8828
13300,1901;54,3782;2,5003;61,7600;2,2167;36,0414;61,7600;36,0414
13621,9941;55,3249;2,4686;62,4200;2,1880;36,2069;62,4200;36,2069
13859,7822;55,5744;2,4581;62,6300;2,1723;36,0000;62,6300;36,0000
14106,3187;56,2055;2,4381;63,3100;2,1611;37,2552;63,3100;37,2552
14481,2715;56,4750;2,4228;63,5100;2,1423;36,5241;63,5100;36,5241
14846,4065;57,0680;2,4041;63,9200;2,1347;37,2552;63,9200;37,2552
15253,2905;56,8787;2,3978;64,2000;2,1226;37,4552;64,2000;37,4552
15611,4318;57,3876;2,3835;64,4500;2,1090;37,5655;64,4500;37,5655
15825,2621;57,7773;2,3738;64,7000;2,1046;38,3379;64,7000;38,3379
16066,6766;57,8955;2,3632;64,9400;2,0996;38,2069;64,9400;38,2069
16293,0848;58,2190;2,3568;64,6900;2,0977;38,7172;64,6900;38,7172
16632,0287;58,3152;2,3549;64,8200;2,0978;38,6483;64,8200;38,6483
17026,8734;58,3603;2,3511;64,8500;2,0964;38,7172;64,8500;38,7172
17389,9421;48,4327;2,7353;52,2200;2,5635;25,8759;52,2200;25,8759
17649,8865;46,5083;2,8105;51,5100;2,5791;25,6069;51,5100;25,6069
17996,1917;47,0713;2,7944;52,0400;2,6052;27,0276;52,0400;27,0276
18207,1168;47,2737;2,7849;52,9900;2,5476;25,6138;52,9900;25,6138
18477,8837;47,3057;2,7823;54,8900;2,4670;28,6414;54,8900;28,6414
18742,2978;47,3618;2,7747;53,5700;2,5110;28,7034;53,5700;28,7034
18982,4541;47,8347;2,7548;54,3500;2,4894;28,1379;54,3500;28,1379
19227,5385;48,2013;2,7435;54,2700;2,4962;30,3448;54,2700;30,3448
19485,2090;48,3536;2,7382;52,9300;2,5231;27,7724;52,9300;27,7724
19775,7890;48,7553;2,7249;54,8600;2,4715;28,4621;54,8600;28,4621
20036,4852;48,8915;2,7153;55,2000;2,4656;30,5724;55,2000;30,5724
20249,4581;49,3413;2,6943;55,8000;2,4323;28,6621;55,8000;28,6621
20558,0894;49,5387;2,6964;55,1600;2,4473;29,7931;55,1600;29,7931
20806,4420;49,5617;2,6834;55,9200;2,4291;29,9931;55,9200;29,9931
21012,8446;49,7230;2,6814;53,4300;2,5296;29,5517;53,4300;29,5517
21241,5536;50,0025;2,6720;54,1200;2,4767;28,8483;54,1200;28,8483
21597,1172;50,1428;2,6650;55,4200;2,4241;28,5448;55,4200;28,5448
21840,7157;50,7949;2,6395;56,2000;2,4174;28,2966;56,2000;28,2966
22069,4288;50,5695;2,6443;56,6700;2,4002;31,2276;56,6700;31,2276
22349,7540;51,2096;2,6271;56,2400;2,4096;30,0483;56,2400;30,0483
22550,4356;51,6705;2,6062;57,8300;2,3618;33,1172;57,8300;33,1172
22795,8024;51,5442;2,6077;56,6700;2,3985;31,5379;56,6700;31,5379
23000,0400;51,8047;2,5988;57,7000;2,3712;32,0966;57,7000;32,0966
23253,4588;51,9019;2,5963;56,2200;2,4202;32,3103;56,2200;32,3103
23487,6334;52,2154;2,5859;57,8400;2,3511;31,4690;57,8400;31,4690
23737,2080;52,5320;2,5701;58,1000;2,3759;30,2069;58,1000;30,2069
24110,7545;52,7784;2,5600;58,5500;2,3112;32,8138;58,5500;32,8138
24472,0560;53,2623;2,5399;58,4300;2,3377;31,7034;58,4300;31,7034
24795,4220;53,2913;2,5411;59,1700;2,3060;34,5793;59,1700;34,5793
25126,3072;53,7572;2,5192;58,6300;2,3146;33,0483;58,6300;33,0483
25445,4291;53,8253;2,5181;59,3300;2,2806;35,0552;59,3300;35,0552
25681,1352;53,9785;2,5065;60,0100;2,2634;32,2069;60,0100;32,2069
25971,7210;54,2140;2,5017;59,8600;2,2860;32,7034;59,8600;32,7034
26327,1808;54,5686;2,4940;59,4700;2,2842;32,9724;59,4700;32,9724
26715,2490;54,7038;2,4803;61,1500;2,2210;33,5724;61,1500;33,5724
26927,3990;55,0955;2,4635;61,9700;2,1937;36,3310;61,9700;36,3310
27112,9197;55,4632;2,4528;61,9800;2,1919;35,4138;61,9800;35,4138
27367,4832;55,4431;2,4450;61,4200;2,2207;34,5448;61,4200;34,5448
27598,8533;55,8749;2,4307;61,4600;2,2100;34,1931;61,4600;34,1931
27939,0092;56,0252;2,4222;62,2800;2,1927;35,1793;62,2800;35,1793
28157,1632;56,7404;2,4024;62,7500;2,1763;36,0207;62,7500;36,0207
28398,6667;56,7164;2,4018;62,7100;2,1614;35,5172;62,7100;35,5172
28622,4056;57,3465;2,3853;63,4800;2,1409;36,9103;63,4800;36,9103
28942,5058;57,7101;2,3693;63,3400;2,1317;35,8414;63,3400;35,8414
29195,4642;57,6791;2,3666;63,2200;2,1486;36,8000;63,2200;36,8000
29441,0884;58,1870;2,3475;64,1000;2,1222;37,4276;64,1000;37,4276
29794,1116;58,5897;2,3298;64,8200;2,0820;38,0483;64,8200;38,0483
30074,9983;58,7239;2,3190;64,8100;2,0962;37,1793;64,8100;37,1793
30297,2210;59,1767;2,3062;65,4700;2,0673;39,3379;65,4700;39,3379
30574,1687;59,4142;2,2964;65,8700;2,0580;37,5517;65,8700;37,5517
30828,3231;59,7668;2,2821;66,0500;2,0585;38,5034;66,0500;38,5034
31056,0183;60,2176;2,2640;66,0000;2,0386;38,2828;66,0000;38,2828
31346,8754;60,2466;2,2626;66,7300;2,0236;38,7517;66,7300;38,7517
31900,5833;60,8166;2,2477;66,5600;2,0219;39,6828;66,5600;39,6828
32507,7787;61,1182;2,2293;67,5600;1,9984;39,9655;67,5600;39,9655
33142,0251;61,0320;2,2273;67,4600;1,9898;40,0414;67,4600;40,0414
33786,8574;61,7824;2,2044;67,3600;1,9894;40,1241;67,3600;40,1241
34252,8690;62,0869;2,1965;67,6600;1,9738;40,8000;67,6600;40,8000
34822,3856;62,4215;2,1823;67,9700;1,9642;39,9931;67,9700;39,9931
35336,9520;62,6359;2,1766;67,9100;1,9748;40,8138;67,9100;40,8138
35844,8825;63,0386;2,1587;68,4000;1,9586;41,0069;68,4000;41,0069
36269,6383;63,2590;2,1505;68,5900;1,9421;41,5724;68,5900;41,5724
