;config_538_avg;config_538_std;config_538_run_0;config_538_run_1;config_538_run_2
Standard_Acc;74,4233;0,4302;75,0300;74,0800;74,1600
RMSCE;0,0296;0,0012;0,0314;0,0285;0,0290
gaussian_noise;38,3433;0,6425;38,2420;39,1760;37,6120
shot_noise;42,8573;0,7608;42,4720;43,9200;42,1800
impulse_noise;44,0787;0,4216;44,5640;44,1360;43,5360
defocus_blur;47,3593;0,4809;48,0380;46,9820;47,0580
glass_blur;38,1780;0,6645;38,3000;37,3100;38,9240
motion_blur;55,2633;0,2691;55,1340;55,6380;55,0180
zoom_blur;51,0260;0,8552;52,1700;50,7940;50,1140
snow;50,1307;0,3597;49,7560;50,0200;50,6160
frost;53,9527;0,3322;53,4840;54,1580;54,2160
fog;56,3533;0,1504;56,3140;56,1920;56,5540
brightness;62,3067;0,3829;62,2580;61,8640;62,7980
contrast;43,1920;0,7836;43,7320;42,0840;43,7600
elastic_transform;58,6567;0,3211;58,8200;58,2080;58,9420
pixelate;58,0747;0,6395;57,9920;58,8960;57,3360
jpeg_compression;59,7447;0,1032;59,8000;59,8340;59,6000
speckle_noise;37,5627;1,1347;36,9460;39,1540;36,5880
gaussian_blur;50,0540;0,4363;50,6000;49,5320;50,0300
spatter;52,9413;0,1281;52,8180;52,8880;53,1180
saturate;58,6400;0,1703;58,8800;58,5380;58,5020
blue_noise_sample;54,6613;0,8271;55,8180;53,9320;54,2340
brownish_noise;56,9013;0,3150;57,3240;56,8120;56,5680
caustic_refraction;40,1800;0,3389;40,5160;39,7160;40,3080
checkerboard_cutout;48,7547;0,2859;49,0800;48,8000;48,3840
cocentric_sine_waves;31,1880;0,5900;31,5820;30,3540;31,6280
inverse_sparkles;26,3340;0,5769;27,1480;25,9740;25,8800
perlin_noise;63,7480;0,2515;64,0280;63,4180;63,7980
plasma_noise;31,2580;0,2180;31,5240;30,9900;31,2600
single_frequency_greyscale;27,4433;0,3063;27,8740;27,2680;27,1880
sparkles;66,7420;0,1029;66,8860;66,6520;66,6880
Acc_C-all-19;50,4587;0,0851;50,5432;50,4907;50,3422
Acc_C-original-15;50,6345;0,0779;50,7384;50,6141;50,5509
Acc_C-bar-10;44,7211;0,3335;45,1780;44,3916;44,5936
Acc_all-ex-pixelwise-noise-24;49,5176;0,1895;49,7524;49,2884;49,5120
RMSCE_C;0,0771;0,0024;0,0800;0,0770;0,0741
Combined_Noise;68,6633;0,4681;69,1200;68,8500;68,0200
