train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,1540;4,8936;9,4500;4,5079;4,3724;9,4500;4,3724
12,6980;4,3286;17,0100;4,1117;7,5793;17,0100;7,5793
19,0120;3,9821;24,7700;3,7263;9,9379;24,7700;9,9379
24,4060;3,7338;29,4300;3,5425;11,9379;29,4300;11,9379
29,0070;3,5454;33,4400;3,3893;15,5793;33,4400;15,5793
32,1460;3,3930;34,4100;3,4117;13,7517;34,4100;13,7517
35,2870;3,2659;39,5800;3,1661;16,7793;39,5800;16,7793
38,0610;3,1540;42,0800;3,0197;18,4621;42,0800;18,4621
40,6780;3,0549;42,5900;3,0076;19,3793;42,5900;19,3793
42,9500;2,9628;46,8600;2,8571;20,6069;46,8600;20,6069
45,2090;2,8739;48,8500;2,7802;21,2138;48,8500;21,2138
47,1900;2,7983;49,2200;2,7626;23,4276;49,2200;23,4276
49,1820;2,7241;51,3200;2,6977;23,0276;51,3200;23,0276
51,1050;2,6582;52,8000;2,6390;23,8966;52,8000;23,8966
52,8420;2,5954;53,9400;2,5804;24,6345;53,9400;24,6345
54,6070;2,5438;55,0400;2,5416;25,9241;55,0400;25,9241
55,6490;2,5012;56,4400;2,4972;25,4828;56,4400;25,4828
56,6890;2,4620;56,7300;2,4737;26,5379;56,7300;26,5379
57,2470;2,4406;57,1900;2,4653;26,5862;57,1900;26,5862
57,7440;2,4266;57,2200;2,4614;26,7034;57,2200;26,7034
45,2200;2,8668;41,6600;3,0540;18,9103;41,6600;18,9103
45,6620;2,8512;46,8300;2,8471;22,3724;46,8300;22,3724
46,9890;2,8074;48,8700;2,7777;22,8690;48,8700;22,8690
48,2170;2,7575;49,4700;2,7340;23,5310;49,4700;23,5310
49,4020;2,7085;49,0800;2,7478;23,2414;49,0800;23,2414
50,7150;2,6587;48,2100;2,8039;22,7172;48,2100;22,7172
51,9080;2,6127;51,5600;2,6887;23,7655;51,5600;23,7655
53,0070;2,5712;51,2600;2,6909;23,6966;51,2600;23,6966
54,1200;2,5280;52,7700;2,6183;24,9655;52,7700;24,9655
55,2240;2,4917;51,6100;2,7144;21,8897;51,6100;21,8897
56,3960;2,4474;53,2400;2,6003;24,2621;53,2400;24,2621
57,3740;2,4154;53,2800;2,6089;24,7103;53,2800;24,7103
58,5960;2,3711;54,1200;2,5572;23,1931;54,1200;23,1931
59,7290;2,3308;55,4200;2,5376;26,5241;55,4200;26,5241
60,9470;2,2916;56,1600;2,5397;25,5103;56,1600;25,5103
62,0420;2,2497;56,1100;2,5232;25,3103;56,1100;25,3103
63,2870;2,2104;57,7800;2,4711;27,7517;57,7800;27,7517
64,3650;2,1720;58,3700;2,4632;27,1931;58,3700;27,1931
65,4940;2,1365;59,3300;2,4205;28,8483;59,3300;28,8483
66,8330;2,0968;59,0600;2,4156;28,1586;59,0600;28,1586
68,1320;2,0545;59,8000;2,3840;28,0828;59,8000;28,0828
69,4530;2,0099;60,9400;2,3507;28,7241;60,9400;28,7241
70,6320;1,9749;60,0100;2,3936;28,6069;60,0100;28,6069
71,8250;1,9375;61,5700;2,3313;30,4759;61,5700;30,4759
73,3800;1,8914;61,7100;2,3181;30,0414;61,7100;30,0414
74,4370;1,8635;61,7900;2,3246;30,1793;61,7900;30,1793
75,5210;1,8217;62,6500;2,2943;30,8276;62,6500;30,8276
76,7240;1,7895;62,9700;2,2874;31,0690;62,9700;31,0690
77,7210;1,7561;62,6200;2,2819;30,3310;62,6200;30,3310
79,0180;1,7222;62,8700;2,2763;31,1517;62,8700;31,1517
79,8770;1,6965;63,4800;2,2662;30,9379;63,4800;30,9379
80,7540;1,6686;63,6400;2,2592;31,4621;63,6400;31,4621
81,5880;1,6478;64,0800;2,2491;31,4483;64,0800;31,4483
82,3510;1,6245;63,7600;2,2467;31,4207;63,7600;31,4207
82,7230;1,6107;63,9500;2,2377;31,6207;63,9500;31,6207
83,3220;1,5957;64,3700;2,2318;31,9172;64,3700;31,9172
83,7000;1,5801;64,2000;2,2300;31,9586;64,2000;31,9586
83,8710;1,5756;64,3200;2,2288;31,9862;64,3200;31,9862
84,1340;1,5701;64,3700;2,2281;32,0828;64,3700;32,0828
84,0890;1,5705;64,2900;2,2274;31,9793;64,2900;31,9793
64,2020;2,1589;53,0600;2,7015;22,6138;53,0600;22,6138
62,3670;2,2295;53,1800;2,6359;23,8690;53,1800;23,8690
62,1100;2,2271;55,5800;2,5853;25,5379;55,5800;25,5379
62,4960;2,2186;52,0700;2,6757;21,9517;52,0700;21,9517
63,0710;2,2036;54,5400;2,6014;26,3034;54,5400;26,3034
63,3590;2,1942;55,8400;2,5753;25,9517;55,8400;25,9517
64,0880;2,1766;53,8600;2,6204;24,4345;53,8600;24,4345
64,4270;2,1598;53,2300;2,6409;25,3793;53,2300;25,3793
64,8390;2,1449;54,6500;2,6248;25,3862;54,6500;25,3862
65,4390;2,1291;54,9800;2,5982;24,4690;54,9800;24,4690
65,8390;2,1128;55,1500;2,5694;25,9034;55,1500;25,9034
66,4530;2,0950;55,9400;2,5465;27,6621;55,9400;27,6621
66,7740;2,0824;55,2700;2,5579;27,2690;55,2700;27,2690
67,3740;2,0652;56,0200;2,5463;25,3655;56,0200;25,3655
67,8150;2,0509;56,1000;2,5304;24,0207;56,1000;24,0207
