time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
240,2461;8,9258;4,5961;13,0400;4,3481;7,0621;13,0400;7,0621
535,0221;22,3886;3,7853;22,1600;3,8176;9,0000;22,1600;9,0000
648,1879;31,3825;3,3901;27,6300;3,6095;11,0759;27,6300;11,0759
1001,7853;37,4222;3,1477;33,4700;3,3852;12,9241;33,4700;12,9241
1127,9116;41,7559;2,9704;34,2800;3,3537;14,2621;34,2800;14,2621
1364,0369;45,5166;2,8282;38,5500;3,1809;12,3931;38,5500;12,3931
1752,3658;48,1112;2,7269;39,9900;3,1316;13,0207;39,9900;13,0207
1883,4586;51,0654;2,6264;44,2400;2,8966;15,1103;44,2400;15,1103
2143,9224;53,4356;2,5417;45,4500;2,9056;17,0483;45,4500;17,0483
2308,4083;55,7637;2,4558;46,7700;2,8122;16,9586;46,7700;16,9586
2532,6573;57,2413;2,3972;50,5900;2,7173;18,1103;50,5900;18,1103
2755,7832;59,0265;2,3382;52,4800;2,6159;18,6069;52,4800;18,6069
2978,1455;61,0941;2,2726;54,1500;2,5496;20,3931;54,1500;20,3931
3309,9959;62,3093;2,2261;56,0800;2,4868;21,2414;56,0800;21,2414
3626,5215;63,6927;2,1783;57,4200;2,4405;20,2000;57,4200;20,2000
3962,7510;64,8678;2,1426;57,8300;2,4114;20,5103;57,8300;20,5103
4101,0065;65,9047;2,1023;59,0500;2,3832;21,5310;59,0500;21,5310
4374,6853;66,5879;2,0780;59,9400;2,3446;21,9172;59,9400;21,9172
4538,2987;67,1479;2,0648;60,7100;2,3294;22,5655;60,7100;22,5655
4782,9724;67,5956;2,0544;60,8600;2,3264;22,3310;60,8600;22,3310
5127,0740;57,1271;2,3980;42,5900;2,9879;13,7724;42,5900;13,7724
5434,4916;57,5689;2,3846;47,2700;2,8001;16,9586;47,2700;16,9586
5544,8564;58,3142;2,3539;47,4500;2,8420;17,4069;47,4500;17,4069
5912,1607;59,2950;2,3220;49,3200;2,7483;17,2207;49,3200;17,2207
6168,4591;60,0793;2,2882;51,1300;2,6551;19,1103;51,1300;19,1103
6354,4377;61,5019;2,2435;52,3700;2,6480;19,8897;52,3700;19,8897
6723,0644;62,0719;2,2221;51,7300;2,6012;17,7241;51,7300;17,7241
6852,0824;63,1267;2,1811;53,3000;2,5793;20,5724;53,3000;20,5724
7117,1515;64,1005;2,1524;52,6300;2,6242;17,3586;52,6300;17,3586
7559,1745;64,1686;2,1463;52,5500;2,6142;18,0483;52,5500;18,0483
7981,5426;65,3467;2,1070;54,3500;2,5413;21,2483;54,3500;21,2483
8181,2041;65,9928;2,0828;56,6900;2,4333;20,2138;56,6900;20,2138
