;config_541_avg;config_541_std;config_541_run_0;config_541_run_1;config_541_run_2
Standard_Acc;76,5100;0,0455;76,4600;76,5000;76,5700
RMSCE;0,0358;0,0008;0,0360;0,0366;0,0347
gaussian_noise;26,7100;0,4804;26,1340;27,3100;26,6860
shot_noise;33,6627;0,2380;33,5480;33,9940;33,4460
impulse_noise;29,6620;0,5699;28,8580;30,1120;30,0160
defocus_blur;42,3047;2,1442;45,2400;40,1780;41,4960
glass_blur;34,5453;1,0404;35,8860;33,3500;34,4000
motion_blur;51,7820;1,1885;53,4520;50,7820;51,1120
zoom_blur;49,6740;1,7795;52,0900;47,8560;49,0760
snow;49,9393;0,2630;50,1440;49,5680;50,1060
frost;54,3160;0,0247;54,3400;54,2820;54,3260
fog;55,4513;0,5181;56,1100;54,8440;55,4000
brightness;62,3980;0,4818;62,8100;61,7220;62,6620
contrast;41,6853;0,2577;42,0460;41,4600;41,5500
elastic_transform;57,6880;0,7012;58,6740;57,1040;57,2860
pixelate;56,5107;0,2080;56,8000;56,4120;56,3200
jpeg_compression;58,4393;0,4003;58,8040;58,6320;57,8820
speckle_noise;25,1207;0,4297;25,1020;25,6560;24,6040
gaussian_blur;44,9893;2,5464;48,4740;42,4600;44,0340
spatter;51,4987;0,4148;51,8800;50,9220;51,6940
saturate;58,3853;0,3118;58,8260;58,1500;58,1800
blue_noise_sample;50,8107;0,8955;49,8760;52,0180;50,5380
brownish_noise;55,9593;0,2804;56,3460;55,8420;55,6900
caustic_refraction;38,4273;0,4123;38,2360;39,0000;38,0460
checkerboard_cutout;47,0773;0,1106;47,0200;46,9800;47,2320
cocentric_sine_waves;30,8693;0,1554;30,6620;31,0360;30,9100
inverse_sparkles;31,0833;0,4793;31,7060;30,5400;31,0040
perlin_noise;65,1733;0,0972;65,2460;65,2380;65,0360
plasma_noise;28,9920;0,6483;29,7620;28,1760;29,0380
single_frequency_greyscale;26,0080;0,3211;25,5540;26,2300;26,2400
sparkles;67,7087;0,1307;67,8440;67,5320;67,7500
Acc_C-all-19;46,5665;0,5507;47,3273;46,0418;46,3303
Acc_C-original-15;46,9846;0,4925;47,6624;46,5071;46,7843
Acc_C-bar-10;44,2109;0,0463;44,2252;44,2592;44,1484
Acc_all-ex-pixelwise-noise-24;48,3711;0,5211;49,0813;47,8457;48,1863
RMSCE_C;0,0788;0,0007;0,0788;0,0780;0,0797
Combined_Noise;70,4067;0,2265;70,6400;70,4800;70,1000
