;config_192_avg
Standard_Acc;88,4600
RMSCE;0,0723
gaussian_noise;48,8220
shot_noise;53,9660
impulse_noise;49,6360
defocus_blur;60,5460
glass_blur;42,3460
motion_blur;67,9220
zoom_blur;61,3440
snow;67,0560
frost;69,3040
fog;66,3300
brightness;75,6520
contrast;58,0060
elastic_transform;65,9960
pixelate;71,7980
jpeg_compression;70,9760
speckle_noise;46,5500
gaussian_blur;63,1860
spatter;67,5640
saturate;70,7400
blue_noise_sample;69,9480
brownish_noise;71,3760
caustic_refraction;50,1460
checkerboard_cutout;61,1960
cocentric_sine_waves;42,8300
inverse_sparkles;36,3700
perlin_noise;81,1100
plasma_noise;40,4120
single_frequency_greyscale;59,0740
sparkles;81,4540
Acc_C-all-19;61,9863
Acc_C-original-15;61,9800
Acc_C-bar-10;59,3916
Acc_all-ex-pixelwise-noise-24;62,6139
RMSCE_C;0,1046
Combined_Noise;85,8400
