;config_111_avg;config_111_std;config_111_run_0;config_111_run_1;config_111_run_2
Standard_Acc;72,4767;0,2569;72,3000;72,2900;72,8400
RMSCE;0,0518;0,0036;0,0519;0,0562;0,0475
gaussian_noise;22,9127;0,4644;22,3280;22,9460;23,4640
shot_noise;27,9693;0,9906;26,7080;28,0720;29,1280
impulse_noise;27,4840;0,5322;26,7600;27,6680;28,0240
defocus_blur;22,6073;1,0519;23,7160;21,1940;22,9120
glass_blur;19,3133;0,1487;19,4980;19,1340;19,3080
motion_blur;31,2473;0,8668;32,1760;30,0900;31,4760
zoom_blur;26,9353;1,2779;28,5340;25,4060;26,8660
snow;35,8800;1,3024;34,5160;35,4900;37,6340
frost;39,8720;1,4847;37,9020;40,2280;41,4860
fog;37,2567;0,1215;37,1820;37,4280;37,1600
brightness;52,6360;0,7431;51,6580;52,7920;53,4580
contrast;15,4167;0,2342;15,3080;15,7420;15,2000
elastic_transform;38,3527;0,5416;38,6280;37,5960;38,8340
pixelate;49,2000;0,1994;49,4180;49,2460;48,9360
jpeg_compression;47,4620;0,7162;46,7200;47,2360;48,4300
speckle_noise;21,9253;0,7268;20,9580;22,1080;22,7100
gaussian_blur;23,8227;1,1225;25,0620;22,3440;24,0620
spatter;42,8540;0,9547;42,1660;42,1920;44,2040
saturate;45,8540;0,7059;44,8680;46,2120;46,4820
blue_noise_sample;42,7767;1,8382;44,2940;40,1900;43,8460
brownish_noise;52,0880;0,8996;50,8380;52,9180;52,5080
caustic_refraction;29,6047;1,0770;28,7520;28,9380;31,1240
checkerboard_cutout;43,2833;0,4924;43,2920;42,6760;43,8820
cocentric_sine_waves;25,1653;0,5596;25,7760;24,4240;25,2960
inverse_sparkles;29,6420;0,8801;30,3720;28,4040;30,1500
perlin_noise;52,2027;0,9463;51,5760;51,4920;53,5400
plasma_noise;26,5560;1,1423;25,1660;27,9640;26,5380
single_frequency_greyscale;22,6373;0,2877;22,4460;22,4220;23,0440
sparkles;63,5240;0,3326;63,0840;63,6000;63,8880
Acc_C-all-19;33,1053;0,4015;32,8477;32,7960;33,6723
Acc_C-original-15;32,9697;0,3669;32,7368;32,6845;33,4877
Acc_C-bar-10;38,7480;0,4601;38,5596;38,3028;39,3816
Acc_all-ex-pixelwise-noise-24;36,3922;0,3877;36,1939;36,0487;36,9341
RMSCE_C;0,2363;0,0051;0,2301;0,2426;0,2363
Combined_Noise;45,8333;0,2398;45,7800;46,1500;45,5700
