;config_274_avg
Standard_Acc;73,3600
RMSCE;0,0362
gaussian_noise;28,5560
shot_noise;33,4720
impulse_noise;32,9260
defocus_blur;26,5960
glass_blur;23,5380
motion_blur;34,3900
zoom_blur;30,5880
snow;41,5780
frost;44,5720
fog;40,5960
brightness;54,2040
contrast;18,6400
elastic_transform;41,2000
pixelate;54,3140
jpeg_compression;50,0020
speckle_noise;25,7880
gaussian_blur;27,8140
spatter;48,7780
saturate;48,1760
blue_noise_sample;49,5940
brownish_noise;54,5060
caustic_refraction;33,3680
checkerboard_cutout;46,4560
cocentric_sine_waves;29,4440
inverse_sparkles;30,8980
perlin_noise;58,1540
plasma_noise;28,6700
single_frequency_greyscale;26,0840
sparkles;65,0620
Acc_C-all-19;37,1436
Acc_C-original-15;37,0115
Acc_C-bar-10;42,2236
Acc_all-ex-pixelwise-noise-24;39,9012
RMSCE_C;0,1824
Combined_Noise;54,0900
