time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
91,0167;3,7862;4,9971;7,0100;4,6409;5,1724;7,0100;5,1724
174,7217;9,1512;4,5963;13,4950;4,2871;8,4138;13,4950;8,4138
264,7973;13,6188;4,3320;18,3850;4,0762;11,0000;18,3850;11,0000
346,4381;17,2162;4,1450;22,7750;3,8865;14,2759;22,7750;14,2759
430,0203;20,0888;4,0045;25,1550;3,8149;15,3793;25,1550;15,3793
520,0277;22,8788;3,8697;28,8550;3,7123;15,6897;28,8550;15,6897
623,0850;25,1913;3,7566;30,2200;3,6328;17,6897;30,2200;17,6897
704,7894;26,8800;3,6680;35,2000;3,3165;21,0000;35,2000;21,0000
789,8451;28,8412;3,5857;35,1350;3,3226;20,9310;35,1350;20,9310
871,7330;30,5050;3,5113;38,0400;3,2361;22,5172;38,0400;22,5172
977,3127;32,4625;3,4395;40,4150;3,1182;25,1724;40,4150;25,1724
1066,3394;33,5850;3,3739;42,0300;3,0974;25,1379;42,0300;25,1379
1169,2539;35,1763;3,3084;43,3200;3,0383;26,7241;43,3200;26,7241
1254,5015;36,3600;3,2631;43,8300;3,0356;27,0000;43,8300;27,0000
1341,7830;37,4513;3,2193;46,1400;2,9643;28,3103;46,1400;28,3103
1423,0780;38,1200;3,1904;46,3900;2,9509;27,5172;46,3900;27,5172
1528,0036;39,2625;3,1513;47,1350;2,9263;28,0690;47,1350;28,0690
1615,9876;39,8100;3,1171;47,9350;2,8809;29,0000;47,9350;29,0000
1701,7953;40,4400;3,0970;48,4150;2,8650;29,1034;48,4150;29,1034
1786,3513;40,5775;3,0857;48,2750;2,8729;29,2414;48,2750;29,2414
1870,8654;32,4288;3,4323;39,1350;3,2009;23,3448;39,1350;23,3448
1950,8818;32,9075;3,4133;39,0900;3,1988;23,1034;39,0900;23,1034
2082,6618;33,8750;3,3762;41,3350;3,1185;24,5172;41,3350;24,5172
2163,3257;34,6487;3,3381;42,3800;3,0536;25,0000;42,3800;25,0000
2258,9996;36,0675;3,2907;42,2100;3,0724;24,7241;42,2100;24,7241
2340,3220;36,4625;3,2616;43,2100;3,0716;25,8276;43,2100;25,8276
2459,7134;37,3800;3,2268;43,8100;3,0003;26,6207;43,8100;26,6207
2551,9180;37,9213;3,1964;44,4600;2,9853;26,5862;44,4600;26,5862
2639,6751;38,7662;3,1669;45,5150;2,9674;26,5517;45,5150;26,5517
2729,0507;39,4338;3,1372;47,2100;2,8932;28,2069;47,2100;28,2069
2816,6300;40,2125;3,1108;48,6850;2,8294;29,4828;48,6850;29,4828
2897,8254;40,9150;3,0791;48,7000;2,8332;29,5172;48,7000;29,5172
2997,5093;41,5288;3,0572;48,8950;2,8171;30,7241;48,8950;30,7241
3156,2092;42,0425;3,0266;49,2400;2,8018;29,1379;49,2400;29,1379
3238,5391;42,5700;3,0084;51,2700;2,7562;30,8621;51,2700;30,8621
3321,3780;43,4038;2,9704;50,6850;2,7437;30,6897;50,6850;30,6897
3403,6148;43,9025;2,9487;52,5600;2,6754;32,7586;52,5600;32,7586
3485,8054;44,6300;2,9251;52,9600;2,6475;33,2759;52,9600;33,2759
3571,7855;45,1725;2,9010;51,8250;2,7090;32,2069;51,8250;32,2069
3686,5467;45,5763;2,8758;52,8650;2,6552;33,3103;52,8650;33,3103
3770,0863;46,4975;2,8453;53,6900;2,6263;33,6897;53,6900;33,6897
3871,1044;46,7638;2,8339;54,0750;2,6155;34,1379;54,0750;34,1379
3959,8551;47,7088;2,8024;56,4200;2,5324;36,1034;56,4200;36,1034
4051,9603;48,3338;2,7829;55,5950;2,5655;35,2759;55,5950;35,2759
4132,0352;48,6325;2,7692;56,6650;2,5087;35,1034;56,6650;35,1034
4212,9633;49,3438;2,7402;57,0000;2,5014;36,6207;57,0000;36,6207
4295,3994;49,7638;2,7257;57,4800;2,4947;35,9655;57,4800;35,9655
4383,3848;50,2575;2,7009;57,6400;2,4856;36,2759;57,6400;36,2759
4467,8868;50,7537;2,6772;58,5850;2,4712;37,7241;58,5850;37,7241
4563,3891;51,4937;2,6580;57,9500;2,4792;35,4483;57,9500;35,4483
4645,6085;52,0225;2,6347;58,8650;2,4461;37,5862;58,8650;37,5862
4727,4526;52,2350;2,6247;59,5200;2,4191;38,1724;59,5200;38,1724
4812,7126;52,6238;2,6082;60,3100;2,3894;38,1724;60,3100;38,1724
4901,8148;52,9663;2,6000;59,8600;2,3988;37,6207;59,8600;37,6207
4983,9063;53,1000;2,5892;60,3450;2,3920;38,6897;60,3450;38,6897
5062,9064;53,0950;2,5864;60,2900;2,3719;38,5517;60,2900;38,5517
5144,8176;53,5063;2,5701;60,4200;2,3695;38,2414;60,4200;38,2414
5226,6073;53,7313;2,5666;60,4400;2,3649;38,8276;60,4400;38,8276
5308,9701;54,1613;2,5505;60,8250;2,3612;39,4483;60,8250;39,4483
5392,9464;53,6900;2,5602;60,8800;2,3652;38,8966;60,8800;38,8966
5488,1583;44,0712;2,9474;50,3950;2,7562;29,6552;50,3950;29,6552
5569,7659;43,2100;2,9838;49,2400;2,8083;30,4138;49,2400;30,4138
5652,5913;43,5425;2,9645;51,1050;2,7101;31,7931;51,1050;31,7931
5737,1138;44,1763;2,9451;50,5750;2,7673;30,5172;50,5750;30,5172
5824,4109;44,1313;2,9459;51,3800;2,6924;31,8966;51,3800;31,8966
5916,2646;44,2650;2,9323;50,6600;2,7132;30,4483;50,6600;30,4483
6008,6000;44,8713;2,9212;53,2800;2,6635;32,3448;53,2800;32,3448
6093,6207;44,7475;2,9212;52,3850;2,6980;31,7931;52,3850;31,7931
6177,1337;45,1512;2,8996;52,3300;2,6718;32,6207;52,3300;32,6207
6263,0263;45,5500;2,8841;52,4500;2,6526;32,6552;52,4500;32,6552
6345,0942;45,8650;2,8682;52,9550;2,6510;32,6897;52,9550;32,6897
6425,0415;45,9637;2,8693;53,6850;2,6389;34,4828;53,6850;34,4828
6507,5396;46,2825;2,8516;53,7150;2,6513;31,8276;53,7150;31,8276
