;config_398_avg;config_398_std;config_398_run_0;config_398_run_1;config_398_run_2;config_398_run_3;config_398_run_4
Standard_Acc;71,7010;0,2764;71,4300;71,5600;71,5100;72,1900;71,8150
RMSCE;0,0232;0,0018;0,0255;0,0238;0,0228;0,0201;0,0240
gaussian_noise;50,3600;1,1110;51,9000;49,5000;51,4000;49,0000;50,0000
shot_noise;54,1000;1,1507;52,5000;54,6000;55,5000;53,0000;54,9000
impulse_noise;51,5200;0,4956;51,8000;51,5000;50,7000;52,2000;51,4000
defocus_blur;54,0600;0,8040;53,8000;52,6000;54,8000;54,6000;54,5000
glass_blur;32,6800;1,1720;30,8000;31,8000;33,5000;33,6000;33,7000
motion_blur;57,0400;2,5664;53,3000;57,9000;61,2000;56,6000;56,2000
zoom_blur;47,9800;2,1141;45,0000;48,7000;46,2000;50,9000;49,1000
snow;61,4400;3,1639;59,6000;59,3000;57,9000;66,0000;64,4000
frost;62,2600;1,3455;61,5000;61,4000;62,7000;64,7000;61,0000
fog;64,0800;1,6786;61,9000;62,7000;64,8000;64,3000;66,7000
brightness;64,9000;1,7053;63,3000;64,3000;66,1000;63,2000;67,6000
contrast;54,0400;1,0837;52,8000;54,2000;52,8000;55,0000;55,4000
elastic_transform;60,0400;1,0442;60,8000;59,8000;58,1000;60,9000;60,6000
pixelate;62,1400;1,8650;64,9000;60,2000;63,8000;61,2000;60,6000
jpeg_compression;64,6200;1,0572;64,8000;64,6000;62,7000;65,9000;65,1000
speckle_noise;50,1200;1,0186;48,1000;50,4000;50,8000;50,7000;50,6000
gaussian_blur;48,0800;2,4012;43,8000;48,6000;47,8000;51,1000;49,1000
spatter;59,5800;0,9108;59,8000;58,5000;59,7000;61,1000;58,8000
saturate;60,2400;0,9541;61,5000;61,3000;59,5000;59,3000;59,6000
blue_noise_sample;52,4400;1,7477;52,5000;50,5000;55,5000;51,0000;52,7000
brownish_noise;54,2800;1,1496;53,0000;52,8000;55,4000;54,8000;55,4000
caustic_refraction;37,3000;2,6169;33,5000;35,8000;38,0000;41,4000;37,8000
checkerboard_cutout;45,7600;1,1307;43,9000;47,1000;46,4000;45,1000;46,3000
cocentric_sine_waves;30,0400;1,3662;28,2000;29,7000;31,8000;31,4000;29,1000
inverse_sparkles;27,6200;1,5302;27,5000;29,3000;27,3000;25,0000;29,0000
perlin_noise;60,6600;0,8139;59,1000;60,9000;60,9000;60,9000;61,5000
plasma_noise;30,2800;1,4797;29,7000;28,0000;30,0000;32,3000;31,4000
single_frequency_greyscale;29,1600;1,0613;28,1000;29,9000;29,7000;30,4000;27,7000
sparkles;62,6000;1,4738;62,7000;61,4000;63,6000;64,7000;60,6000
Acc_C-all-19;55,7516;0,6019;54,8368;55,3632;55,7895;56,4895;56,2789
Acc_C-original-15;56,0840;0,6116;55,2467;55,5400;56,1467;56,7400;56,7467
Acc_C-bar-10;43,0140;0,7557;41,8200;42,5400;43,8600;43,7000;43,1500
Acc_all-ex-pixelwise-noise-24;51,2867;0,7304;50,1375;50,8667;51,4458;52,2667;51,7167
RMSCE_C;0,1037;0,0053;0,1124;0,1052;0,0965;0,1005;0,1038
Combined_Noise;65,2850;0,4207;64,8800;64,9200;65,1700;66,0300;65,4250
