;config_521_avg;config_521_std;config_521_run_0;config_521_run_1;config_521_run_2
Standard_Acc;62,4700;0,1485;62,6800;62,3700;62,3600
RMSCE;0,0619;0,0073;0,0691;0,0647;0,0520
gaussian_noise;26,5213;1,3599;24,8160;26,6040;28,1440
shot_noise;31,1787;1,4347;29,3860;31,2520;32,8980
impulse_noise;29,9493;1,0582;28,9240;29,5180;31,4060
defocus_blur;34,6980;0,4351;35,1160;34,0980;34,8800
glass_blur;28,7080;0,5218;27,9700;29,0760;29,0780
motion_blur;41,5227;0,3581;41,8920;41,0380;41,6380
zoom_blur;37,5500;0,7975;38,2940;36,4440;37,9120
snow;35,6013;0,1221;35,5140;35,7740;35,5160
frost;36,5267;0,8450;35,5840;36,3620;37,6340
fog;34,3593;0,5166;34,2800;33,7700;35,0280
brightness;43,2300;0,6955;43,2720;42,3580;44,0600
contrast;14,3973;0,5020;14,7780;13,6880;14,7260
elastic_transform;42,6073;0,6266;43,1100;41,7240;42,9880
pixelate;47,7800;0,5914;48,5980;47,5220;47,2200
jpeg_compression;48,5347;0,4787;48,9500;47,8640;48,7900
speckle_noise;26,7087;1,7565;24,6500;26,5340;28,9420
gaussian_blur;36,3860;0,3840;36,6860;35,8440;36,6280
spatter;40,0893;0,2112;40,1780;40,2920;39,7980
saturate;37,1887;0,5465;37,2660;36,4840;37,8160
blue_noise_sample;40,6367;0,7295;41,6680;40,1460;40,0960
brownish_noise;40,2447;0,7456;39,5460;41,2780;39,9100
caustic_refraction;29,0680;0,5279;28,9700;29,7580;28,4760
checkerboard_cutout;37,8407;0,3758;38,3720;37,5840;37,5660
cocentric_sine_waves;27,2847;0,4175;26,8820;27,8600;27,1120
inverse_sparkles;24,4060;0,3053;24,2980;24,8220;24,0980
perlin_noise;46,2820;0,2855;45,8840;46,4220;46,5400
plasma_noise;20,1100;0,7412;19,1300;20,9220;20,2780
single_frequency_greyscale;21,9680;0,2746;22,0220;22,2740;21,6080
sparkles;54,2727;0,1747;54,1980;54,5140;54,1060
Acc_C-all-19;35,4493;0,4353;35,2244;35,0656;36,0580
Acc_C-original-15;35,5443;0,4228;35,3656;35,1395;36,1279
Acc_C-bar-10;34,2113;0,2498;34,0970;34,5580;33,9790
Acc_all-ex-pixelwise-noise-24;35,8607;0,0959;35,8663;35,7405;35,9752
RMSCE_C;0,1975;0,0076;0,2065;0,1982;0,1879
Combined_Noise;56,9867;0,0450;57,0500;56,9600;56,9500
