train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,1607;4,8647;10,2900;4,4368;6,2897;10,2900;6,2897
11,7995;4,3910;15,5500;4,2728;8,9103;15,5500;8,9103
16,3946;4,1304;21,9100;3,9358;11,9172;21,9100;11,9172
20,2666;3,9457;23,8100;3,8468;12,7448;23,8100;12,7448
23,1648;3,7967;26,7500;3,7064;13,3034;26,7500;13,3034
25,6258;3,6845;29,4500;3,5884;14,5931;29,4500;14,5931
27,9825;3,5829;32,5900;3,4849;15,0690;32,5900;15,0690
30,0684;3,4932;36,1600;3,2836;17,4207;36,1600;17,4207
31,7482;3,4154;37,5600;3,2607;17,7379;37,5600;17,7379
33,6817;3,3390;40,0000;3,1519;18,9379;40,0000;18,9379
35,2912;3,2696;42,5600;3,0404;20,1862;42,5600;20,1862
36,6471;3,2057;43,7300;2,9870;21,6966;43,7300;21,6966
37,9939;3,1540;45,2700;2,9390;21,1241;45,2700;21,1241
39,4781;3,0983;46,5500;2,8897;23,1586;46,5500;23,1586
40,6545;3,0414;48,7300;2,8214;23,2276;48,7300;23,2276
41,2772;3,0173;49,3300;2,8067;24,2345;49,3300;24,2345
42,5208;2,9680;49,9500;2,7690;23,8207;49,9500;23,8207
43,0563;2,9517;50,3300;2,7460;24,3379;50,3300;24,3379
43,7392;2,9229;51,3600;2,7326;24,7793;51,3600;24,7793
43,7813;2,9186;51,2100;2,7200;24,7103;51,2100;24,7103
34,7818;3,2739;41,7700;3,0854;19,0483;41,7700;19,0483
35,5409;3,2560;40,8000;3,1786;21,1931;40,8000;21,1931
36,4335;3,2150;44,6200;2,9948;20,6690;44,6200;20,6690
37,3882;3,1701;43,3700;3,0408;20,1448;43,3700;20,1448
38,1343;3,1490;44,6100;2,9790;22,7241;44,6100;22,7241
39,2755;3,0996;46,5500;2,9258;22,1379;46,5500;22,1379
39,8161;3,0744;47,4000;2,8750;24,0828;47,4000;24,0828
40,6665;3,0410;47,4700;2,8700;22,8621;47,4700;22,8621
41,4126;3,0139;49,9900;2,7641;25,0000;49,9900;25,0000
42,2640;2,9822;49,1000;2,7804;24,3379;49,1000;24,3379
43,0112;2,9518;50,8400;2,7545;24,6759;50,8400;24,6759
43,7573;2,9194;51,4300;2,7556;24,1172;51,4300;24,1172
44,1454;2,9025;51,6600;2,7067;26,1862;51,6600;26,1862
45,0610;2,8694;50,8300;2,7410;25,2828;50,8300;25,2828
45,5293;2,8507;53,1100;2,6241;26,2414;53,1100;26,2414
45,9726;2,8268;54,7400;2,5920;27,3931;54,7400;27,3931
46,7718;2,8010;54,4000;2,5749;27,9310;54,4000;27,9310
47,4046;2,7755;55,2100;2,5556;29,9103;55,2100;29,9103
47,8780;2,7502;56,3800;2,5367;27,6000;56,3800;27,6000
48,9259;2,7129;57,1500;2,5098;29,2414;57,1500;29,2414
49,3130;2,7001;57,6000;2,4891;27,9241;57,6000;27,9241
50,1795;2,6642;56,4000;2,5058;29,2552;56,4000;29,2552
50,5375;2,6526;58,5000;2,4192;30,7172;58,5000;30,7172
51,4130;2,6249;59,0000;2,4657;29,5448;59,0000;29,5448
51,8342;2,6037;59,1200;2,4307;30,5448;59,1200;30,5448
52,5001;2,5716;59,6500;2,4182;31,8483;59,6500;31,8483
53,1229;2,5521;60,6600;2,3916;32,2759;60,6600;32,2759
53,4648;2,5360;60,3200;2,3845;31,5379;60,3200;31,5379
54,1829;2,5168;61,8100;2,3347;32,8690;61,8100;32,8690
54,6552;2,4951;62,6400;2,3138;32,9172;62,6400;32,9172
55,1386;2,4740;61,9500;2,3368;32,0069;61,9500;32,0069
55,7854;2,4541;63,3700;2,3020;33,2621;63,3700;33,2621
56,2628;2,4323;63,1000;2,3141;33,1517;63,1000;33,1517
56,6820;2,4218;63,6200;2,2897;32,8207;63,6200;32,8207
57,0119;2,4085;63,6100;2,2708;33,3724;63,6100;33,3724
57,1162;2,4017;63,6700;2,2699;33,8552;63,6700;33,8552
57,3850;2,3907;63,9600;2,2584;33,9517;63,9600;33,9517
57,9205;2,3806;64,3000;2,2584;33,6345;64,3000;33,6345
58,0037;2,3753;64,5500;2,2667;34,1862;64,5500;34,1862
58,2013;2,3649;64,4400;2,2601;33,5931;64,4400;33,5931
46,5833;2,8024;51,9400;2,6838;25,7172;51,9400;25,7172
45,8071;2,8390;53,3900;2,6386;26,0345;53,3900;26,0345
45,7299;2,8327;51,6700;2,6742;25,6207;51,6700;25,6207
45,9234;2,8245;52,5100;2,6628;27,4000;52,5100;27,4000
46,4399;2,8112;53,6800;2,6526;27,1655;53,6800;27,1655
46,6826;2,8008;54,3200;2,6345;29,5931;54,3200;29,5931
47,0607;2,7781;52,4800;2,7161;25,7793;52,4800;25,7793
47,1359;2,7758;53,5900;2,6281;26,7379;53,5900;26,7379
47,8399;2,7593;54,3000;2,5936;29,0276;54,3000;29,0276
48,1056;2,7437;56,1900;2,5334;30,8276;56,1900;30,8276
48,2129;2,7366;53,8500;2,6679;28,9310;53,8500;28,9310
48,6522;2,7281;57,4500;2,5199;30,1793;57,4500;30,1793
48,8437;2,7098;56,2400;2,5367;30,2000;56,2400;30,2000
49,2007;2,6983;56,6600;2,5402;29,6483;56,6600;29,6483
49,6099;2,6841;56,6800;2,5420;28,3034;56,6800;28,3034
49,7453;2,6825;56,6000;2,5735;32,1241;56,6000;32,1241
49,7563;2,6701;57,0100;2,5529;28,4966;57,0100;28,4966
50,2016;2,6637;56,3900;2,5733;30,6966;56,3900;30,6966
50,3660;2,6405;57,0800;2,5932;29,2966;57,0800;29,2966
50,7541;2,6453;54,9000;2,6184;27,3103;54,9000;27,3103
51,0430;2,6321;57,7900;2,5218;30,8138;57,7900;30,8138
51,4210;2,6129;57,9900;2,4787;31,7241;57,9900;31,7241
51,5043;2,6021;56,9100;2,5668;30,9517;56,9100;30,9517
51,6387;2,5999;58,4400;2,4643;31,2897;58,4400;31,2897
51,9596;2,5868;58,7800;2,4256;31,2138;58,7800;31,2138
52,3617;2,5782;59,1200;2,4400;32,5034;59,1200;32,5034
52,5011;2,5677;59,8700;2,4158;29,7310;59,8700;29,7310
52,8491;2,5558;59,0400;2,4251;32,7172;59,0400;32,7172
53,2382;2,5454;59,5400;2,4103;33,1793;59,5400;33,1793
53,5340;2,5398;59,1800;2,4654;29,7103;59,1800;29,7103
53,9141;2,5264;60,4700;2,4149;31,0621;60,4700;31,0621
54,5469;2,5034;61,1400;2,3463;33,3241;61,1400;33,3241
54,4256;2,4997;59,9400;2,4278;31,8897;59,9400;31,8897
54,9300;2,4838;61,3300;2,3553;34,1931;61,3300;34,1931
54,9741;2,4787;59,8600;2,4394;31,1034;59,8600;31,1034
55,0925;2,4695;59,6200;2,4401;31,7448;59,6200;31,7448
55,7142;2,4569;61,0700;2,3775;31,0345;61,0700;31,0345
56,0041;2,4445;62,0000;2,3317;34,0759;62,0000;34,0759
55,9569;2,4407;63,1800;2,3030;34,1379;63,1800;34,1379
56,5336;2,4217;62,7000;2,3008;35,9379;62,7000;35,9379
56,7201;2,4149;63,3400;2,2885;36,4207;63,3400;36,4207
57,1282;2,3998;62,1200;2,3268;33,0414;62,1200;33,0414
57,3970;2,3879;63,8000;2,2979;36,3586;63,8000;36,3586
57,6628;2,3815;63,1100;2,2958;35,9034;63,1100;35,9034
58,2123;2,3604;63,8400;2,2813;37,3448;63,8400;37,3448
58,3938;2,3584;63,7900;2,2652;35,9172;63,7900;35,9172
58,5774;2,3449;64,0400;2,2627;33,6966;64,0400;33,6966
59,0347;2,3294;63,6500;2,2836;35,1034;63,6500;35,1034
59,3245;2,3186;65,1300;2,2297;37,2483;65,1300;37,2483
59,7928;2,3040;65,5400;2,2153;37,7862;65,5400;37,7862
59,9924;2,2968;65,7100;2,2142;36,5793;65,7100;36,5793
60,4086;2,2847;65,4700;2,2182;35,8414;65,4700;35,8414
60,7937;2,2703;65,4300;2,2202;37,1448;65,4300;37,1448
61,0925;2,2568;66,3300;2,1780;38,3448;66,3300;38,3448
