time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
124,3626;4,9400;4,8294;9,8800;4,4730;5,5379;9,8800;5,5379
250,9460;11,5560;4,3376;14,1400;4,3393;7,0414;14,1400;7,0414
376,3346;16,5980;4,0722;19,3200;4,0551;9,6345;19,3200;9,6345
501,2656;20,9510;3,8734;21,9100;3,9465;10,6276;21,9100;10,6276
610,3395;24,0110;3,7259;26,2300;3,7011;13,4000;26,2300;13,4000
722,3831;26,8810;3,5946;28,5000;3,5636;13,3586;28,5000;13,3586
829,9508;28,8800;3,5099;32,4300;3,4190;16,7517;32,4300;16,7517
930,7466;31,5300;3,3998;33,9900;3,4031;17,3931;33,9900;17,3931
1036,4008;33,1900;3,3307;36,7200;3,2822;19,8138;36,7200;19,8138
1141,2680;35,4350;3,2431;36,4100;3,3889;17,5241;36,4100;17,5241
1249,1294;36,4180;3,1948;39,5100;3,2045;19,1724;39,5100;19,1724
1359,7639;38,2850;3,1295;42,3700;3,0962;21,5655;42,3700;21,5655
1472,1007;39,6600;3,0706;43,6300;3,0185;22,3517;43,6300;22,3517
1578,6598;40,8190;3,0232;43,9500;3,0261;21,1793;43,9500;21,1793
1700,0113;41,6450;2,9968;46,0000;2,9561;23,1793;46,0000;23,1793
1806,5000;42,4180;2,9603;47,3500;2,9147;24,0000;47,3500;24,0000
1913,6963;43,9600;2,9044;47,5300;2,9325;24,3310;47,5300;24,3310
2019,3087;44,7600;2,8760;48,4100;2,8822;24,5172;48,4100;24,5172
2124,9760;44,8050;2,8723;48,1900;2,8753;24,4138;48,1900;24,4138
2237,2157;44,8970;2,8717;48,2200;2,8633;24,4966;48,2200;24,4966
2345,8483;36,0380;3,2076;39,8800;3,1511;20,8276;39,8800;20,8276
2458,7532;36,8530;3,1763;39,8700;3,1654;19,5862;39,8700;19,5862
2570,4494;37,8930;3,1385;40,4200;3,1342;20,3793;40,4200;20,3793
2676,5440;38,8630;3,0998;41,8200;3,0950;20,7448;41,8200;20,7448
2787,7460;39,2710;3,0845;43,6800;2,9962;23,5931;43,6800;23,5931
2896,6234;40,5700;3,0362;44,6100;2,9846;22,6759;44,6100;22,6759
3003,2248;40,8910;3,0198;45,4600;2,9658;24,4759;45,4600;24,4759
3117,8267;42,2660;2,9676;45,4000;2,9698;24,6828;45,4000;24,6828
3221,2202;42,4960;2,9554;46,8200;2,8916;23,3793;46,8200;23,3793
3332,0241;43,1630;2,9318;46,9100;2,8849;23,4690;46,9100;23,4690
3442,0130;43,9760;2,9058;46,8100;2,8900;24,0483;46,8100;24,0483
3551,3458;43,8310;2,9025;48,9900;2,7918;25,8690;48,9900;25,8690
3662,7594;44,8470;2,8626;49,1200;2,8081;26,1034;49,1200;26,1034
3782,2019;45,5120;2,8304;51,4200;2,7034;26,1931;51,4200;26,1931
3884,7140;46,2750;2,8040;50,6500;2,7530;26,2207;50,6500;26,2207
3997,3347;47,1720;2,7731;50,0200;2,7655;24,6828;50,0200;24,6828
4103,5235;47,6420;2,7526;52,5300;2,6583;26,7862;52,5300;26,7862
4220,3772;48,4040;2,7308;53,3000;2,6296;27,9172;53,3000;27,9172
4334,7648;48,9110;2,7012;53,0300;2,6618;28,1586;53,0300;28,1586
4443,0597;49,2290;2,6930;54,1900;2,6116;29,2069;54,1900;29,2069
4546,0285;50,0100;2,6527;53,7300;2,6181;28,2966;53,7300;28,2966
4652,5267;50,7260;2,6354;55,3300;2,5802;27,6552;55,3300;27,6552
4753,7682;51,0430;2,6224;57,4600;2,5040;30,4000;57,4600;30,4000
4868,5927;51,2350;2,6151;56,8100;2,5131;28,9034;56,8100;28,9034
4978,9561;51,9890;2,5875;57,9900;2,4750;30,6000;57,9900;30,6000
5085,5313;52,9410;2,5496;57,3500;2,4874;30,7793;57,3500;30,7793
5201,5789;52,5810;2,5624;57,6700;2,4780;30,1655;57,6700;30,1655
5314,7453;54,1140;2,5139;59,2400;2,4338;31,4000;59,2400;31,4000
5420,0930;54,3600;2,4990;59,3300;2,4561;31,4276;59,3300;31,4276
5535,6356;54,6590;2,4890;60,1900;2,4148;32,0897;60,1900;32,0897
5648,6231;55,5410;2,4547;59,6100;2,4141;30,7862;59,6100;30,7862
5767,2885;55,5850;2,4558;60,4200;2,3682;32,9172;60,4200;32,9172
5868,8857;56,3920;2,4216;60,8800;2,3802;32,4897;60,8800;32,4897
5981,3503;56,2780;2,4267;61,1200;2,3629;32,9103;61,1200;32,9103
6105,4234;56,9570;2,4073;61,4700;2,3596;33,1310;61,4700;33,1310
6219,0759;57,1730;2,3989;62,4800;2,3352;34,1172;62,4800;34,1172
6327,5271;57,0400;2,4012;61,9900;2,3490;33,1448;61,9900;33,1448
6438,4341;57,3880;2,3880;62,1200;2,3400;33,6069;62,1200;33,6069
6548,2723;57,2320;2,3956;62,3700;2,3433;33,5034;62,3700;33,5034
6661,2007;57,6350;2,3818;62,3400;2,3437;33,5379;62,3400;33,5379
6775,6380;47,3290;2,7649;49,9300;2,7903;26,0345;49,9300;26,0345
6902,9721;46,5690;2,7947;51,3300;2,6887;27,2621;51,3300;27,2621
7017,1030;46,6700;2,7940;49,1700;2,7918;26,7034;49,1700;26,7034
7135,9341;46,8570;2,7789;50,5900;2,7357;26,2207;50,5900;26,2207
7239,3758;47,3240;2,7661;51,2600;2,7245;28,1310;51,2600;28,1310
7368,4680;47,5860;2,7552;49,2300;2,8109;24,0828;49,2300;24,0828
7485,6321;47,7870;2,7509;52,8800;2,6514;28,1931;52,8800;28,1931
7592,8451;48,0310;2,7307;52,9700;2,6611;27,2759;52,9700;27,2759
7701,2843;48,2780;2,7225;52,4700;2,6913;27,5172;52,4700;27,5172
7810,3347;48,5710;2,7224;54,1100;2,6176;28,4345;54,1100;28,4345
7931,3091;48,8840;2,7041;53,8200;2,5916;28,5724;53,8200;28,5724
8047,4859;48,8730;2,6982;53,8900;2,6433;29,2483;53,8900;29,2483
8169,0558;49,3540;2,6853;55,0600;2,5780;28,3103;55,0600;28,3103
8288,7621;49,7670;2,6695;52,6400;2,7029;28,8276;52,6400;28,8276
8406,0783;49,5240;2,6737;54,9600;2,5825;28,0897;54,9600;28,0897
8523,3740;50,2200;2,6551;53,6000;2,6375;28,4276;53,6000;28,4276
8632,7634;50,7420;2,6292;53,3400;2,6151;29,0069;53,3400;29,0069
8735,5937;51,1680;2,6204;56,1600;2,5387;31,2000;56,1600;31,2000
8852,7233;51,1270;2,6189;55,2900;2,5546;28,0345;55,2900;28,0345
8964,4992;51,1600;2,6166;54,4700;2,5880;29,3379;54,4700;29,3379
9076,4613;51,5340;2,6006;56,0400;2,5363;30,6207;56,0400;30,6207
9193,8177;51,8600;2,5916;56,8700;2,5240;31,3655;56,8700;31,3655
9298,2203;51,7860;2,5890;55,4000;2,5430;28,2069;55,4000;28,2069
9403,2125;52,2110;2,5727;54,9500;2,5810;29,0552;54,9500;29,0552
9512,4742;52,5460;2,5644;57,0600;2,4859;31,2414;57,0600;31,2414
9634,4681;52,2980;2,5733;54,6800;2,5841;29,2690;54,6800;29,2690
9740,0209;52,8340;2,5479;57,1500;2,5106;31,9724;57,1500;31,9724
9865,9997;52,4500;2,5612;57,3100;2,5028;30,1034;57,3100;30,1034
9972,6414;53,8850;2,5144;57,7300;2,5131;30,3655;57,7300;30,3655
10076,1606;53,7190;2,5246;58,4900;2,4472;30,6690;58,4900;30,6690
10190,6044;53,9370;2,5111;57,4700;2,4892;30,5034;57,4700;30,5034
10308,6405;53,9840;2,5142;59,5500;2,4302;32,3241;59,5500;32,3241
10427,0930;54,4040;2,4900;58,9400;2,4274;30,8000;58,9400;30,8000
10539,7196;55,1150;2,4677;60,2300;2,3922;32,7241;60,2300;32,7241
10661,5090;54,9670;2,4705;60,2300;2,3794;32,6828;60,2300;32,6828
10775,3673;55,0580;2,4740;60,1700;2,3878;32,9586;60,1700;32,9586
10891,5096;55,6410;2,4473;60,4600;2,3612;33,2276;60,4600;33,2276
11003,5458;55,7440;2,4424;60,6100;2,3692;32,6897;60,6100;32,6897
11121,3530;55,8580;2,4335;60,3400;2,3774;32,6069;60,3400;32,6069
11233,1086;56,3240;2,4188;60,0800;2,3823;33,0345;60,0800;33,0345
11345,4008;56,6010;2,4088;61,3100;2,3247;33,0414;61,3100;33,0414
11460,7418;56,8160;2,3994;59,5600;2,3935;31,8828;59,5600;31,8828
11581,0155;57,1800;2,3953;61,9400;2,3173;34,3793;61,9400;34,3793
11697,4820;57,4710;2,3784;60,8900;2,3613;33,2759;60,8900;33,2759
11803,9237;57,3840;2,3828;61,6100;2,3189;35,4759;61,6100;35,4759
11924,4122;57,7450;2,3688;61,9900;2,3201;36,1517;61,9900;36,1517
12038,4744;58,3280;2,3496;63,4000;2,2801;36,3172;63,4000;36,3172
12149,4278;58,2700;2,3448;62,6500;2,2915;36,1034;62,6500;36,1034
12254,1733;58,6080;2,3352;63,1500;2,2605;35,9172;63,1500;35,9172
12367,6738;59,4110;2,3086;63,7400;2,2300;36,0000;63,7400;36,0000
12489,2872;58,9350;2,3258;63,5500;2,2532;34,5103;63,5500;34,5103
12609,9424;59,6660;2,2975;63,9100;2,2322;35,5379;63,9100;35,5379
12731,4668;59,9310;2,2903;64,1100;2,2155;36,2414;64,1100;36,2414
12843,4324;60,3140;2,2774;64,6000;2,2359;36,4621;64,6000;36,4621
12963,3982;59,9570;2,2849;64,4800;2,2262;36,5034;64,4800;36,5034
13074,9099;60,5480;2,2633;64,8900;2,1953;35,4552;64,8900;35,4552
13193,7674;61,3940;2,2353;65,6200;2,1814;36,9931;65,6200;36,9931
13302,4856;61,0360;2,2506;65,9600;2,1677;38,9793;65,9600;38,9793
13418,4155;61,5420;2,2311;66,4300;2,1555;37,7931;66,4300;37,7931
13532,6669;62,1060;2,2081;66,6000;2,1283;38,3862;66,6000;38,3862
13639,3834;62,4100;2,1969;67,0500;2,1318;38,8138;67,0500;38,8138
13744,8328;62,4500;2,1994;66,9600;2,1490;38,6759;66,9600;38,6759
13862,2487;62,6860;2,1895;67,0900;2,1186;39,2759;67,0900;39,2759
13976,4491;62,7380;2,1922;66,8900;2,1304;38,2897;66,8900;38,2897
14093,3396;63,2590;2,1723;66,9400;2,1257;38,0759;66,9400;38,0759
14204,7751;63,3890;2,1622;67,6000;2,1015;38,7034;67,6000;38,7034
14316,4926;63,7370;2,1542;67,6000;2,1028;39,2759;67,6000;39,2759
14437,6512;63,2850;2,1651;67,8000;2,1015;39,3586;67,8000;39,3586
14548,0391;63,9570;2,1388;67,6500;2,0917;39,1379;67,6500;39,1379
14657,0568;64,0650;2,1398;68,1600;2,0871;39,0000;68,1600;39,0000
14770,4925;64,2360;2,1283;68,2400;2,0787;39,6897;68,2400;39,6897
14884,1772;64,9410;2,1116;68,0900;2,0827;38,8759;68,0900;38,8759
14988,8718;64,8700;2,1120;68,0000;2,0829;39,3034;68,0000;39,3034
15105,6183;64,5970;2,1228;68,2000;2,0696;39,5586;68,2000;39,5586
15216,8328;64,8100;2,1123;68,3700;2,0627;40,0897;68,3700;40,0897
15336,4375;65,2340;2,1035;68,3800;2,0640;39,9172;68,3800;39,9172
15446,1052;64,6500;2,1208;68,4300;2,0675;39,8897;68,4300;39,8897
15556,2329;65,1120;2,1028;68,3200;2,0742;39,9172;68,3200;39,9172
15656,2044;65,1450;2,1059;68,4900;2,0675;39,9862;68,4900;39,9862
15778,9441;64,7580;2,1169;68,5100;2,0490;40,0690;68,5100;40,0690
15890,4675;51,7510;2,5907;54,7400;2,6101;29,3724;54,7400;29,3724
16009,0501;50,7720;2,6316;54,7200;2,5890;30,1103;54,7200;30,1103
16122,4314;50,8330;2,6216;53,0800;2,6811;25,0276;53,0800;25,0276
16236,2840;50,7220;2,6304;55,5000;2,5667;30,2759;55,5000;30,2759
16340,5896;51,5790;2,5991;55,2900;2,5974;30,5103;55,2900;30,5103
16459,6466;51,2110;2,6162;54,8700;2,5833;28,2828;54,8700;28,2828
16564,9779;51,2600;2,6022;55,0900;2,5762;29,2345;55,0900;29,2345
16679,4478;51,6640;2,5922;53,0900;2,5985;25,7103;53,0900;25,7103
16801,1014;51,5690;2,5948;57,1600;2,4956;31,7172;57,1600;31,7172
16902,2667;51,7510;2,5880;53,2200;2,5899;26,7793;53,2200;26,7793
17014,4545;52,5290;2,5695;55,1100;2,5750;30,6690;55,1100;30,6690
17140,9871;52,0310;2,5830;57,2200;2,4882;30,8828;57,2200;30,8828
17255,3140;52,1260;2,5773;54,8800;2,6058;28,9448;54,8800;28,9448
17371,5869;52,6670;2,5568;58,0300;2,4673;30,7586;58,0300;30,7586
17499,1929;52,5850;2,5616;55,0800;2,6174;29,4000;55,0800;29,4000
17614,9873;52,7860;2,5529;56,4900;2,5340;29,8276;56,4900;29,8276
17720,6472;53,2660;2,5374;54,9300;2,5672;28,1517;54,9300;28,1517
17828,9691;53,3490;2,5270;57,4600;2,4819;31,6897;57,4600;31,6897
17933,8850;52,7880;2,5527;55,5200;2,5601;30,0138;55,5200;30,0138
18045,1720;53,6720;2,5205;56,6600;2,5262;29,3862;56,6600;29,3862
18172,6872;53,3200;2,5301;56,2800;2,5082;29,8897;56,2800;29,8897
18292,3324;53,2100;2,5387;57,0000;2,4888;31,2138;57,0000;31,2138
18417,8419;53,3950;2,5279;55,7900;2,5577;31,2897;55,7900;31,2897
18534,4364;53,7690;2,5144;57,6900;2,4479;31,5862;57,6900;31,5862
18660,0966;53,8970;2,5080;56,5000;2,4885;29,2621;56,5000;29,2621
18779,4524;53,7690;2,5155;57,7200;2,4874;30,5241;57,7200;30,5241
18904,3912;53,8140;2,5074;56,1300;2,5297;32,4483;56,1300;32,4483
19014,9701;54,3020;2,4974;58,0000;2,4454;32,6483;58,0000;32,6483
19142,0721;53,8130;2,5065;58,0000;2,4666;33,5655;58,0000;33,5655
19263,0506;54,3680;2,4949;57,5200;2,4748;31,1931;57,5200;31,1931
19377,9553;54,5550;2,4886;58,9400;2,4013;31,8069;58,9400;31,8069
19490,2298;54,2830;2,4916;57,9200;2,4778;31,4414;57,9200;31,4414
19616,3426;54,5120;2,4859;56,2000;2,4872;29,5724;56,2000;29,5724
19735,6385;54,8020;2,4737;58,5900;2,4187;31,1793;58,5900;31,1793
19859,6210;54,3420;2,4942;58,8400;2,4331;31,4759;58,8400;31,4759
19992,3786;54,9790;2,4694;58,8500;2,4203;32,4621;58,8500;32,4621
20116,7785;54,7000;2,4801;58,8600;2,4256;32,6069;58,8600;32,6069
20237,8890;54,6520;2,4832;58,2100;2,4537;31,8828;58,2100;31,8828
20356,4599;55,2520;2,4607;59,5300;2,3984;32,4690;59,5300;32,4690
20471,6949;55,1450;2,4564;58,1100;2,4370;32,5724;58,1100;32,5724
20580,9909;55,1980;2,4586;59,5900;2,3793;33,6621;59,5900;33,6621
20700,1664;55,5130;2,4476;60,1100;2,4004;32,4621;60,1100;32,4621
20808,4908;56,1030;2,4326;59,3400;2,4074;32,3724;59,3400;32,3724
20927,9909;55,2110;2,4583;59,0600;2,4216;31,0345;59,0600;31,0345
21049,3272;56,1410;2,4257;56,5200;2,5375;27,9241;56,5200;27,9241
21178,4474;55,7960;2,4412;58,4900;2,4153;32,6414;58,4900;32,6414
21297,6908;55,8160;2,4394;60,9000;2,3691;32,8345;60,9000;32,8345
21427,1495;56,2840;2,4126;58,6100;2,4369;31,7793;58,6100;31,7793
21551,2214;55,8350;2,4366;60,0100;2,3399;31,2621;60,0100;31,2621
21672,5752;56,2030;2,4188;58,2500;2,4503;31,4621;58,2500;31,4621
21796,5388;56,1920;2,4234;59,3600;2,3959;33,0552;59,3600;33,0552
21912,4663;56,3180;2,4156;59,9600;2,3817;32,7379;59,9600;32,7379
22035,9136;56,6480;2,4086;61,1200;2,3348;33,4276;61,1200;33,4276
22156,0506;56,3100;2,4196;60,6600;2,3369;34,9310;60,6600;34,9310
22288,7476;56,5440;2,4047;60,5400;2,3655;33,5931;60,5400;33,5931
22406,8239;56,7420;2,4011;59,9400;2,3490;33,4069;59,9400;33,4069
22525,2383;56,2280;2,4144;60,2700;2,3681;32,6759;60,2700;32,6759
22635,2903;56,6730;2,4058;62,2400;2,2910;35,4069;62,2400;35,4069
22750,1213;57,5720;2,3745;62,2400;2,2844;35,7310;62,2400;35,7310
22877,8619;57,0570;2,3891;61,6100;2,3121;33,3172;61,6100;33,3172
23000,4399;57,2530;2,3878;61,5500;2,3328;35,4828;61,5500;35,4828
23118,4123;57,3380;2,3829;60,2000;2,3373;32,6621;60,2000;32,6621
23240,4695;57,8410;2,3586;60,3000;2,3478;31,0069;60,3000;31,0069
23360,1777;57,1960;2,3841;62,5400;2,3005;36,2483;62,5400;36,2483
23469,9444;57,8730;2,3593;62,2600;2,3019;35,2276;62,2600;35,2276
23598,8349;58,0060;2,3560;61,5500;2,3757;34,7724;61,5500;34,7724
23714,8120;57,5490;2,3683;63,1200;2,2551;35,7103;63,1200;35,7103
23824,1976;58,2430;2,3459;61,1000;2,3442;33,1655;61,1000;33,1655
23943,4133;58,0260;2,3564;60,8400;2,3657;33,8000;60,8400;33,8000
24053,4776;58,0830;2,3511;62,8600;2,2749;33,6276;62,8600;33,6276
24169,4439;58,3250;2,3389;62,2600;2,2529;33,3172;62,2600;33,3172
24309,1893;58,2630;2,3486;58,9700;2,4168;32,0345;58,9700;32,0345
24426,6143;58,9300;2,3226;62,6000;2,2653;34,8828;62,6000;34,8828
24548,4831;58,6090;2,3338;62,4800;2,2620;34,6345;62,4800;34,6345
24654,8718;59,1110;2,3161;61,5900;2,3022;33,4552;61,5900;33,4552
24778,0555;58,9950;2,3188;62,0200;2,3051;35,0276;62,0200;35,0276
24905,9948;58,9980;2,3161;62,0800;2,2871;33,9655;62,0800;33,9655
25025,0527;59,4450;2,3014;61,4000;2,3277;33,3241;61,4000;33,3241
25146,2653;59,6280;2,2946;63,0200;2,2573;36,3241;63,0200;36,3241
25269,0411;59,8940;2,2825;62,0000;2,2891;35,1310;62,0000;35,1310
25383,7847;59,5020;2,2961;63,0200;2,2681;36,2552;63,0200;36,2552
25508,4112;59,2280;2,3110;64,3200;2,2278;37,4690;64,3200;37,4690
25631,7429;59,8870;2,2811;63,6800;2,2106;35,8897;63,6800;35,8897
25761,0248;60,4880;2,2615;63,4200;2,2485;35,9034;63,4200;35,9034
25874,0449;59,7930;2,2800;63,5800;2,2338;34,7655;63,5800;34,7655
25989,5547;60,1580;2,2784;64,4800;2,1851;36,5655;64,4800;36,5655
26113,8331;60,4590;2,2674;63,9400;2,1902;37,8828;63,9400;37,8828
26226,8357;60,8860;2,2548;64,5500;2,1910;37,3448;64,5500;37,3448
26353,0755;60,8430;2,2560;63,6100;2,2183;37,4897;63,6100;37,4897
26474,5847;60,9040;2,2480;65,1300;2,1898;37,6138;65,1300;37,6138
26596,3054;60,3420;2,2679;64,0400;2,2137;34,0069;64,0400;34,0069
26709,6974;61,0830;2,2410;64,4600;2,1827;36,0207;64,4600;36,0207
26824,9248;61,2560;2,2292;64,8300;2,1775;36,1862;64,8300;36,1862
26943,5489;61,3300;2,2327;62,9100;2,2243;34,8828;62,9100;34,8828
27074,6586;61,8620;2,2160;65,2800;2,1697;37,4207;65,2800;37,4207
27195,0423;61,6550;2,2204;65,6000;2,1522;39,1034;65,6000;39,1034
27310,8386;61,8630;2,2141;66,1800;2,1134;37,9862;66,1800;37,9862
27440,4852;62,1410;2,2036;65,5200;2,1288;36,4621;65,5200;36,4621
27553,8485;62,3700;2,1908;65,2600;2,1559;37,4966;65,2600;37,4966
27664,6165;62,5570;2,1869;66,5000;2,1324;38,6966;66,5000;38,6966
27775,8053;62,2930;2,1973;65,2800;2,1422;37,8690;65,2800;37,8690
27905,1860;62,4910;2,1945;65,6800;2,1679;36,3655;65,6800;36,3655
28019,7506;62,7550;2,1800;66,1400;2,1316;38,4552;66,1400;38,4552
28133,7431;62,8440;2,1763;66,0800;2,1356;40,1172;66,0800;40,1172
28241,5593;63,6880;2,1527;66,1300;2,1396;38,2276;66,1300;38,2276
28359,8608;63,2310;2,1626;66,6300;2,1135;38,3034;66,6300;38,3034
28469,4908;63,2620;2,1582;67,0700;2,0818;39,6000;67,0700;39,6000
28585,2723;63,9550;2,1365;66,7400;2,1098;39,0552;66,7400;39,0552
28716,0983;63,3020;2,1595;67,4300;2,0832;39,8621;67,4300;39,8621
28839,5395;63,5850;2,1491;66,2500;2,1262;37,0138;66,2500;37,0138
28971,1130;63,9220;2,1336;67,4400;2,0792;38,5655;67,4400;38,5655
29087,6040;64,1650;2,1330;67,8100;2,0773;39,8690;67,8100;39,8690
29209,1206;64,2270;2,1305;67,3300;2,0842;38,0345;67,3300;38,0345
29332,0396;64,8300;2,1033;67,4400;2,0588;39,6759;67,4400;39,6759
29456,8568;64,8140;2,1084;68,3500;2,0553;39,9931;68,3500;39,9931
29579,1116;64,1960;2,1301;67,8200;2,0688;38,8414;67,8200;38,8414
29711,3698;65,0130;2,1013;67,9900;2,0684;39,1655;67,9900;39,1655
29821,9563;64,9820;2,1004;68,7300;2,0455;40,8552;68,7300;40,8552
29928,8253;65,7930;2,0748;68,1800;2,0553;40,5310;68,1800;40,5310
30047,9999;65,2450;2,0846;68,7400;2,0398;39,5310;68,7400;39,5310
30174,1594;65,7540;2,0785;68,5900;2,0178;39,9310;68,5900;39,9310
30283,8770;66,1760;2,0572;68,7100;2,0402;40,8414;68,7100;40,8414
30412,3655;65,9520;2,0685;69,1500;2,0275;40,5931;69,1500;40,5931
30530,4804;66,2130;2,0640;69,0900;2,0153;39,9931;69,0900;39,9931
30651,5024;66,3830;2,0520;69,0000;2,0281;39,7103;69,0000;39,7103
30766,1965;66,6870;2,0366;68,5100;2,0351;40,1034;68,5100;40,1034
30879,0309;66,2350;2,0596;69,4300;2,0048;41,1931;69,4300;41,1931
30997,9706;66,9470;2,0347;69,8600;1,9894;40,8207;69,8600;40,8207
31116,3083;67,0350;2,0268;70,0100;1,9854;40,5931;70,0100;40,5931
31229,4665;67,0500;2,0276;69,9200;1,9938;40,7931;69,9200;40,7931
