;config_510_avg
Standard_Acc;70,0400
RMSCE;0,0172
gaussian_noise;32,3360
shot_noise;36,9760
impulse_noise;33,1720
defocus_blur;35,1320
glass_blur;26,0920
motion_blur;46,4200
zoom_blur;38,9160
snow;44,9960
frost;45,7180
fog;46,7240
brightness;55,0120
contrast;23,3060
elastic_transform;45,9920
pixelate;49,1320
jpeg_compression;55,2200
speckle_noise;33,2920
gaussian_blur;36,4140
spatter;47,2000
saturate;54,1940
blue_noise_sample;51,8400
brownish_noise;61,2360
caustic_refraction;34,0320
checkerboard_cutout;41,4200
cocentric_sine_waves;28,7740
inverse_sparkles;24,3320
perlin_noise;58,6480
plasma_noise;42,9140
single_frequency_greyscale;25,4940
sparkles;62,7220
Acc_C-all-19;41,3813
Acc_C-original-15;41,0096
Acc_C-bar-10;43,1412
Acc_all-ex-pixelwise-noise-24;42,9183
RMSCE_C;0,1277
Combined_Noise;58,7500
