train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,1130;4,8704;10,2400;4,5014;5,2828;10,2400;5,2828
11,2740;4,4236;16,5500;4,0978;7,0483;16,5500;7,0483
15,8440;4,1623;21,1600;3,9077;9,5241;21,1600;9,5241
19,6250;3,9776;26,0500;3,6869;11,7448;26,0500;11,7448
22,6080;3,8267;29,1700;3,5960;12,5931;29,1700;12,5931
25,2700;3,7055;29,6400;3,5448;12,0138;29,6400;12,0138
27,5900;3,6048;34,8900;3,3265;15,0000;34,8900;15,0000
29,6850;3,5119;34,9300;3,3507;13,7862;34,9300;13,7862
31,5520;3,4334;37,7800;3,2050;15,3724;37,7800;15,3724
33,2320;3,3597;40,5900;3,1774;17,0690;40,5900;17,0690
34,9640;3,2854;42,3000;3,0974;18,2552;42,3000;18,2552
36,3650;3,2210;43,5300;3,0274;17,9241;43,5300;17,9241
38,0520;3,1580;46,0600;2,9543;20,0276;46,0600;20,0276
39,2900;3,1092;46,4700;2,9270;21,0828;46,4700;21,0828
40,6700;3,0532;48,3000;2,8545;20,2552;48,3000;20,2552
41,5960;3,0121;48,8300;2,8262;21,8345;48,8300;21,8345
42,8100;2,9693;49,8500;2,8115;22,2414;49,8500;22,2414
43,3590;2,9417;50,0000;2,7931;22,8621;50,0000;22,8621
44,0380;2,9206;50,1900;2,7773;23,1310;50,1900;23,1310
44,4180;2,9071;50,8600;2,7580;22,9241;50,8600;22,9241
34,8910;3,2881;41,7400;3,1101;17,4621;41,7400;17,4621
34,9370;3,2776;43,4200;3,0208;19,3793;43,4200;19,3793
36,1540;3,2357;42,3300;3,0641;16,2483;42,3300;16,2483
37,2890;3,1950;44,3000;3,0225;20,0138;44,3000;20,0138
37,8430;3,1571;46,0200;2,9587;21,7310;46,0200;21,7310
38,9620;3,1143;46,2100;2,8973;19,1724;46,2100;19,1724
39,8240;3,0819;46,9000;2,9164;20,9793;46,9000;20,9793
40,4820;3,0551;48,8800;2,8030;20,8069;48,8800;20,8069
41,4910;3,0146;48,1500;2,8367;22,7448;48,1500;22,7448
42,0860;2,9903;49,8200;2,7556;25,0828;49,8200;25,0828
42,7350;2,9565;50,3100;2,7592;24,2759;50,3100;24,2759
43,6760;2,9254;52,1900;2,7101;25,2897;52,1900;25,2897
44,5100;2,8966;51,2300;2,7387;25,9241;51,2300;25,9241
44,9840;2,8728;52,7800;2,6664;24,4483;52,7800;24,4483
46,0760;2,8353;52,5400;2,6963;24,7241;52,5400;24,7241
46,5730;2,8062;53,4400;2,6744;24,8000;53,4400;24,8000
47,5240;2,7803;53,9600;2,6232;27,0828;53,9600;27,0828
48,0900;2,7521;54,5700;2,5844;26,0000;54,5700;26,0000
