time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
119,0828;4,0470;4,9706;8,5600;4,5611;4,9986;8,5600;4,9986
235,1964;9,7720;4,5571;14,2900;4,3485;8,8579;14,2900;8,8579
353,2758;14,3760;4,2922;20,8200;3,9094;10,4883;20,8200;10,4883
468,0151;18,1180;4,1028;26,2300;3,6995;12,8428;26,2300;12,8428
585,0661;21,1470;3,9457;30,2100;3,5108;14,0428;30,2100;14,0428
698,4806;23,7540;3,8245;30,5100;3,4340;14,3614;30,5100;14,3614
811,5641;25,9140;3,7158;34,2100;3,3243;15,3062;34,2100;15,3062
924,2235;27,9450;3,6291;36,4800;3,2522;17,1145;36,4800;17,1145
1036,6676;29,8750;3,5474;38,3800;3,1896;18,8455;38,3800;18,8455
1148,9728;31,5310;3,4730;40,8000;3,1211;20,1324;40,8000;20,1324
1262,1891;32,8980;3,4173;43,2300;3,0209;21,1572;43,2300;21,1572
1376,4455;34,4980;3,3462;43,0500;3,0259;21,4952;43,0500;21,4952
1491,8773;35,7340;3,2892;45,1200;2,9538;21,3931;45,1200;21,3931
1609,3685;36,7950;3,2416;47,1800;2,8895;23,8221;47,1800;23,8221
1722,9551;38,1300;3,1912;46,9500;2,9099;24,3048;46,9500;24,3048
1837,6254;38,7130;3,1622;49,4500;2,8066;24,6676;49,4500;24,6676
1951,9211;39,8350;3,1164;49,5200;2,7927;24,6607;49,5200;24,6607
2065,0653;40,3060;3,0937;50,0500;2,7751;25,9103;50,0500;25,9103
2182,4263;40,6610;3,0735;50,9800;2,7510;26,0221;50,9800;26,0221
2299,0840;41,2840;3,0654;51,0000;2,7523;26,2428;51,0000;26,2428
112,3105;32,8065;3,4093;39,3800;3,1716;18,6303;39,3800;18,6303
115,5556;34,0340;3,3523;42,4800;3,0771;21,2579;42,4800;21,2579
230,1186;35,0030;3,3112;43,9200;3,0007;21,4772;43,9200;21,4772
345,4702;35,7150;3,2904;45,6800;2,9563;21,6938;45,6800;21,6938
120,1587;35,2163;3,3147;46,4800;2,8715;24,7297;46,4800;24,7297
118,5153;36,4140;3,2509;48,1300;2,8550;23,7931;48,1300;23,7931
235,6455;36,9967;3,2294;48,3800;2,8246;25,0841;48,3800;25,0841
110,5683;38,3651;3,1630;47,8600;2,8181;23,2110;47,8600;23,2110
