;config_11_avg
Standard_Acc;71,2400
RMSCE;0,0267
gaussian_noise;35,4880
shot_noise;39,8260
impulse_noise;37,0400
defocus_blur;47,4880
glass_blur;38,6360
motion_blur;52,9180
zoom_blur;49,2340
snow;49,4520
frost;52,0400
fog;53,7640
brightness;58,2380
contrast;38,5760
elastic_transform;54,2840
pixelate;57,9920
jpeg_compression;57,7800
speckle_noise;32,1100
gaussian_blur;49,8240
spatter;49,4560
saturate;53,7200
blue_noise_sample;53,0840
brownish_noise;54,9720
caustic_refraction;37,4600
checkerboard_cutout;46,8300
cocentric_sine_waves;33,6520
inverse_sparkles;28,8040
perlin_noise;60,4920
plasma_noise;31,2660
single_frequency_greyscale;29,3420
sparkles;63,6660
Acc_C-all-19;47,7824
Acc_C-original-15;48,1837
Acc_C-bar-10;43,9568
Acc_all-ex-pixelwise-noise-24;47,9119
RMSCE_C;0,1047
Combined_Noise;65,8600
