time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
67,8264;5,2600;4,8936;9,6000;4,4548;4,6345;9,6000;4,6345
139,5282;11,6400;4,4453;16,5300;4,1142;8,1862;16,5300;8,1862
212,6013;16,7610;4,1520;22,6000;3,8488;9,0552;22,6000;9,0552
280,6792;20,9410;3,9434;23,0400;3,9518;9,3172;23,0400;9,3172
348,7951;23,9520;3,7889;31,1100;3,4471;13,8207;31,1100;13,8207
420,1964;26,7860;3,6583;32,7000;3,3709;15,6207;32,7000;15,6207
489,5130;29,3960;3,5502;37,0500;3,2423;17,6276;37,0500;17,6276
570,8553;31,6070;3,4500;39,1300;3,1750;16,4759;39,1300;16,4759
646,1550;33,6260;3,3662;39,2200;3,1645;16,1103;39,2200;16,1103
734,1270;35,4960;3,2824;41,4800;3,0867;17,8207;41,4800;17,8207
811,4562;37,1990;3,2170;44,7400;2,9576;20,7862;44,7400;20,7862
919,0967;38,8730;3,1464;46,2200;2,9204;21,8138;46,2200;21,8138
989,4631;40,2270;3,0833;48,0300;2,8666;22,2138;48,0300;22,2138
1067,4926;41,8230;3,0244;48,6300;2,8611;22,3793;48,6300;22,3793
1188,6912;43,2090;2,9707;49,4100;2,8088;23,2690;49,4100;23,2690
1259,7162;44,3440;2,9263;50,6000;2,7685;24,5586;50,6000;24,5586
1343,2490;45,4510;2,8810;51,3600;2,7750;24,7517;51,3600;24,7517
1439,7268;46,4240;2,8486;51,6500;2,7557;24,7793;51,6500;24,7793
1517,7228;46,9050;2,8279;52,5500;2,7386;25,4828;52,5500;25,4828
1590,5902;47,0660;2,8212;52,5300;2,7286;25,5586;52,5300;25,5586
1722,9383;37,0670;3,2196;43,2600;3,0370;20,0690;43,2600;20,0690
1790,4929;37,3900;3,2032;44,7100;2,9564;21,6138;44,7100;21,6138
1866,2621;38,5030;3,1574;45,6500;2,9502;22,4345;45,6500;22,4345
1935,6445;39,3770;3,1154;46,4100;2,9169;21,0552;46,4100;21,0552
2019,5100;40,5820;3,0713;44,9000;2,9421;19,8069;44,9000;19,8069
2090,6354;41,4170;3,0343;47,9600;2,8124;25,0828;47,9600;25,0828
2165,4554;42,4650;2,9979;48,7900;2,7813;23,4483;48,7900;23,4483
2234,4099;43,1200;2,9677;50,5200;2,7256;24,9862;50,5200;24,9862
2307,7234;44,1710;2,9294;51,2100;2,7119;25,2138;51,2100;25,2138
2384,0627;45,0030;2,8956;50,4100;2,7663;24,7793;50,4100;24,7793
2452,3373;45,6410;2,8700;52,5800;2,6928;27,6828;52,5800;27,6828
2520,6440;46,4950;2,8370;53,5200;2,6652;26,6759;53,5200;26,6759
2594,7033;47,3930;2,8019;53,2300;2,6465;27,9448;53,2300;27,9448
2663,4926;48,0300;2,7710;54,6500;2,6057;29,0276;54,6500;29,0276
2732,5733;48,7630;2,7449;54,7100;2,6543;28,4621;54,7100;28,4621
2801,5537;49,5070;2,7154;54,1100;2,6018;27,4897;54,1100;27,4897
2875,1691;50,3420;2,6881;55,1400;2,6139;29,9034;55,1400;29,9034
2948,8328;51,1580;2,6529;56,0700;2,5505;27,4621;56,0700;27,4621
3018,1085;51,8850;2,6242;56,9000;2,5535;30,4000;56,9000;30,4000
3093,4199;52,8710;2,5909;58,2000;2,5203;30,6690;58,2000;30,6690
3167,5145;53,3170;2,5726;58,1200;2,5156;30,6345;58,1200;30,6345
3242,8200;54,2250;2,5402;58,9500;2,4728;31,3793;58,9500;31,3793
3312,7430;55,0190;2,5035;59,0300;2,4435;32,2759;59,0300;32,2759
3395,2539;55,8320;2,4792;59,3000;2,4817;30,9931;59,3000;30,9931
3471,1350;56,5060;2,4543;59,7700;2,4484;33,0621;59,7700;33,0621
3545,9987;57,5500;2,4193;60,0100;2,4417;32,4966;60,0100;32,4966
3618,6999;58,1910;2,3944;61,0700;2,4160;34,7931;61,0700;34,7931
3697,8441;58,6610;2,3734;61,2500;2,3936;33,9793;61,2500;33,9793
3771,9891;59,7260;2,3388;61,6800;2,3706;34,3379;61,6800;34,3379
3844,8680;60,4770;2,3185;61,6800;2,3860;33,4621;61,6800;33,4621
3916,7049;61,2340;2,2891;62,4700;2,3647;35,2828;62,4700;35,2828
3985,2591;61,6450;2,2769;62,7600;2,3577;34,5655;62,7600;34,5655
4058,7456;62,3570;2,2475;62,7400;2,3429;34,9862;62,7400;34,9862
4135,0183;62,7000;2,2311;62,9800;2,3392;35,8759;62,9800;35,8759
4202,9452;63,3150;2,2160;63,2400;2,3228;35,3586;63,2400;35,3586
4274,2241;63,7720;2,2029;63,3000;2,3261;36,3931;63,3000;36,3931
4346,2868;63,9210;2,1952;63,3600;2,3333;35,2759;63,3600;35,2759
4418,5024;64,3120;2,1846;63,6400;2,3223;35,8276;63,6400;35,8276
4489,3745;64,1800;2,1832;63,7500;2,3055;36,6276;63,7500;36,6276
4561,9896;64,4900;2,1741;63,9900;2,3120;36,2759;63,9900;36,2759
4633,9353;49,7610;2,6962;52,4000;2,7446;27,1172;52,4000;27,1172
4706,0184;49,5270;2,7184;54,1800;2,6326;29,6690;54,1800;29,6690
4783,1236;49,4880;2,7120;53,3300;2,6515;28,0552;53,3300;28,0552
4850,8053;49,9630;2,6951;53,0700;2,6339;28,4069;53,0700;28,4069
4931,2819;50,2760;2,6863;54,6500;2,6434;27,9931;54,6500;27,9931
5004,5213;50,4830;2,6729;55,3100;2,6329;28,4897;55,3100;28,4897
5079,3127;50,9620;2,6559;55,8400;2,6146;30,3448;55,8400;30,3448
5149,8923;51,3580;2,6418;55,6400;2,5815;31,8276;55,6400;31,8276
5223,8523;51,8620;2,6282;56,8500;2,5809;32,0690;56,8500;32,0690
5301,3029;51,9820;2,6147;56,1200;2,5761;31,8069;56,1200;31,8069
5370,7135;52,3990;2,6002;55,2500;2,6550;30,3241;55,2500;30,3241
5445,1365;52,7840;2,5864;57,1500;2,5586;28,4276;57,1500;28,4276
5517,6651;53,1220;2,5742;57,2400;2,5505;29,8483;57,2400;29,8483
5590,0172;53,5250;2,5620;56,5900;2,5610;30,1931;56,5900;30,1931
5660,1968;53,9800;2,5445;57,5800;2,5531;31,3517;57,5800;31,3517
5733,1888;54,1440;2,5401;57,1700;2,5655;31,1448;57,1700;31,1448
5808,9144;54,6780;2,5201;58,4900;2,5381;29,8069;58,4900;29,8069
5881,7187;54,9000;2,5067;59,0400;2,4953;31,8345;59,0400;31,8345
5951,5710;55,2750;2,4948;58,1600;2,5461;31,1931;58,1600;31,1931
6029,0281;55,7330;2,4779;58,1900;2,5213;32,9724;58,1900;32,9724
6115,4416;55,8800;2,4695;58,0500;2,5131;31,4069;58,0500;31,4069
6188,3015;56,2770;2,4558;57,6400;2,5303;32,9793;57,6400;32,9793
6262,6238;56,7110;2,4389;59,3000;2,5052;32,8690;59,3000;32,8690
6384,4479;57,2260;2,4237;59,0400;2,4721;31,9862;59,0400;31,9862
6456,6458;57,3860;2,4175;58,2200;2,5191;30,0207;58,2200;30,0207
6528,3531;57,8930;2,3991;59,1400;2,5188;31,3241;59,1400;31,3241
6602,2948;58,1450;2,3933;59,5200;2,4620;32,3034;59,5200;32,3034
6674,3144;58,4480;2,3787;59,6200;2,4696;32,5586;59,6200;32,5586
6751,4599;58,9040;2,3601;59,6000;2,4820;32,2621;59,6000;32,2621
6827,0306;59,2700;2,3538;60,2600;2,4559;32,2414;60,2600;32,2414
6899,1896;59,6040;2,3405;59,9300;2,4777;32,6828;59,9300;32,6828
6969,6450;59,8330;2,3280;60,2700;2,4554;34,2483;60,2700;34,2483
7045,2858;60,3430;2,3137;60,3500;2,4248;33,6138;60,3500;33,6138
7114,4597;60,5580;2,2987;60,6100;2,4316;34,9241;60,6100;34,9241
7194,2812;61,0600;2,2855;60,4500;2,4718;31,8552;60,4500;31,8552
7318,4697;61,2750;2,2730;60,8900;2,4464;34,4207;60,8900;34,4207
7392,8038;62,1210;2,2526;61,4700;2,4215;34,2966;61,4700;34,2966
7470,6741;62,3430;2,2407;61,2500;2,4116;34,2000;61,2500;34,2000
7544,4230;62,7230;2,2268;60,7900;2,4092;32,9586;60,7900;32,9586
7620,8305;63,0290;2,2116;61,3300;2,4380;35,5517;61,3300;35,5517
7690,2341;63,5700;2,2049;60,9500;2,4483;34,5241;60,9500;34,5241
7761,6652;64,0150;2,1847;62,2100;2,3751;35,0690;62,2100;35,0690
7829,8194;64,4400;2,1676;61,9700;2,3999;36,9310;61,9700;36,9310
7912,5634;64,7760;2,1526;62,3000;2,3617;35,2552;62,3000;35,2552
7984,0878;65,2140;2,1413;62,2800;2,4020;36,1310;62,2800;36,1310
8059,1975;65,7480;2,1235;62,5300;2,3582;36,0621;62,5300;36,0621
8129,9317;66,2620;2,1092;63,1600;2,3550;37,3862;63,1600;37,3862
8200,5034;66,5190;2,0989;62,4000;2,3940;33,9172;62,4000;33,9172
8268,8592;67,1800;2,0833;64,1000;2,3349;36,4897;64,1000;36,4897
8338,7287;67,6060;2,0672;63,6700;2,3407;37,4207;63,6700;37,4207
8425,2199;68,0500;2,0479;62,9900;2,3548;37,0828;62,9900;37,0828
8495,2644;68,3310;2,0394;62,9100;2,3799;34,7310;62,9100;34,7310
8568,8529;68,8840;2,0226;63,3700;2,3517;36,9931;63,3700;36,9931
8640,4795;69,3730;2,0047;64,3900;2,3340;38,3793;64,3900;38,3793
8717,9105;69,5530;1,9968;64,1800;2,3217;37,7103;64,1800;37,7103
8791,6797;70,1570;1,9778;64,0900;2,3011;37,2000;64,0900;37,2000
8862,0239;70,7550;1,9627;64,4000;2,3054;38,2897;64,4000;38,2897
8935,1737;71,1670;1,9515;64,8600;2,2793;38,3586;64,8600;38,3586
9015,5780;71,6730;1,9326;65,1500;2,3150;39,6483;65,1500;39,6483
9087,4020;72,0070;1,9231;65,1400;2,2704;39,2828;65,1400;39,2828
9158,7965;72,3100;1,9113;65,4500;2,2669;39,8138;65,4500;39,8138
9232,5088;72,8980;1,8978;65,0300;2,2817;39,0414;65,0300;39,0414
9336,9510;73,1010;1,8886;65,4600;2,2645;39,2759;65,4600;39,2759
9405,8992;73,4560;1,8695;65,0900;2,2762;38,7793;65,0900;38,7793
9483,3428;74,0150;1,8618;65,9600;2,2473;39,5241;65,9600;39,5241
9574,1516;74,1170;1,8495;65,9500;2,2707;40,6897;65,9500;40,6897
9647,1532;74,5320;1,8432;65,8100;2,2486;39,6207;65,8100;39,6207
9715,5572;74,9480;1,8329;66,3100;2,2493;40,1793;66,3100;40,1793
9792,8777;75,1590;1,8246;66,0500;2,2479;39,9379;66,0500;39,9379
9864,9887;75,3130;1,8161;66,1300;2,2472;40,5172;66,1300;40,5172
9940,1415;75,6270;1,8091;66,3000;2,2462;40,1241;66,3000;40,1241
10016,3665;75,7350;1,8041;66,0900;2,2348;40,2414;66,0900;40,2414
10092,9530;76,0470;1,7934;66,2900;2,2428;40,1724;66,2900;40,1724
10167,1780;76,0470;1,7904;66,1800;2,2304;40,2345;66,1800;40,2345
10274,4255;76,3370;1,7834;66,3600;2,2279;39,9517;66,3600;39,9517
10350,0319;76,3540;1,7852;66,2100;2,2242;40,1172;66,2100;40,1172
10434,3031;76,3470;1,7813;66,4400;2,2222;40,1448;66,4400;40,1448
10507,4980;76,4690;1,7794;66,3000;2,2232;40,2690;66,3000;40,2690
10579,3805;76,5570;1,7747;66,3400;2,2257;40,3586;66,3400;40,3586
10650,2487;76,5400;1,7753;66,3800;2,2221;40,3379;66,3800;40,3379
10729,0969;56,0890;2,4482;55,4400;2,6721;30,9172;55,4400;30,9172
10805,0608;54,9160;2,4977;55,9000;2,6703;29,7931;55,9000;29,7931
10914,0024;55,0370;2,4899;54,8400;2,6553;30,6414;54,8400;30,6414
10989,9764;55,3920;2,4822;56,2800;2,6813;31,9379;56,2800;31,9379
11078,9430;55,4660;2,4770;55,6900;2,6566;29,1310;55,6900;29,1310
11187,5209;55,6370;2,4729;55,1700;2,6855;29,7310;55,1700;29,7310
11266,1175;56,0830;2,4611;56,3000;2,5820;30,0828;56,3000;30,0828
11339,5145;56,4030;2,4498;57,5600;2,5543;32,6759;57,5600;32,6759
11451,9678;56,6910;2,4443;58,1200;2,4957;30,4552;58,1200;30,4552
11524,3416;56,8660;2,4312;56,2000;2,6148;31,1586;56,2000;31,1586
11600,5401;57,0720;2,4210;57,9700;2,5598;33,1448;57,9700;33,1448
11672,1077;57,5000;2,4132;54,2200;2,6391;29,7448;54,2200;29,7448
11746,9867;57,6820;2,3987;56,4000;2,6246;30,7655;56,4000;30,7655
11815,6801;57,9370;2,3998;57,4300;2,5824;30,9172;57,4300;30,9172
11884,7467;58,0470;2,3903;57,2500;2,5807;32,5034;57,2500;32,5034
11957,6668;58,0320;2,3874;56,8700;2,6111;28,0552;56,8700;28,0552
12029,1778;58,4930;2,3762;57,1600;2,6047;30,6759;57,1600;30,6759
12104,7985;58,5800;2,3743;57,7000;2,5992;29,7172;57,7000;29,7172
12174,8084;58,6210;2,3688;57,7200;2,5807;33,9586;57,7200;33,9586
12244,9269;59,0130;2,3566;58,7800;2,5845;33,5379;58,7800;33,5379
12322,2419;59,3180;2,3472;58,9100;2,5130;32,6690;58,9100;32,6690
