;config_292_avg;config_292_std;config_292_run_0;config_292_run_1;config_292_run_2
Standard_Acc;67,8800;0,0589;67,9600;67,8200;67,8600
RMSCE;0,0586;0,0081;0,0692;0,0572;0,0494
gaussian_noise;30,0460;0,6434;29,7460;29,4520;30,9400
shot_noise;35,3360;0,6123;34,9760;34,8340;36,1980
impulse_noise;32,6320;0,8161;32,1920;31,9280;33,7760
defocus_blur;39,8113;1,1027;39,2940;38,7960;41,3440
glass_blur;34,7513;0,1244;34,5840;34,7880;34,8820
motion_blur;47,1707;0,6788;46,2120;47,6940;47,6060
zoom_blur;44,3687;0,4606;44,0440;44,0420;45,0200
snow;44,1880;0,5303;44,9000;44,0360;43,6280
frost;47,1800;0,0813;47,0720;47,2000;47,2680
fog;47,4140;0,4181;46,8840;47,4520;47,9060
brightness;51,6967;0,3029;51,3980;52,1120;51,5800
contrast;35,8293;0,6839;34,9640;36,6360;35,8880
elastic_transform;50,3933;0,2726;50,0100;50,5500;50,6200
pixelate;53,5147;0,4236;53,6180;53,9740;52,9520
jpeg_compression;53,0087;0,4857;52,3260;53,2840;53,4160
speckle_noise;29,7107;1,0957;29,1240;28,7620;31,2460
gaussian_blur;42,7240;1,0372;42,0700;41,9140;44,1880
spatter;43,3513;0,2595;43,2760;43,7000;43,0780
saturate;47,0467;0,1788;46,8260;47,2640;47,0500
blue_noise_sample;46,3320;0,9629;47,2360;44,9980;46,7620
brownish_noise;49,7907;0,5824;50,3860;49,0000;49,9860
caustic_refraction;33,0107;0,8425;32,7360;34,1520;32,1440
checkerboard_cutout;42,7753;0,3698;42,5280;43,2980;42,5000
cocentric_sine_waves;28,4960;0,8670;29,7180;27,7980;27,9720
inverse_sparkles;27,5753;0,3727;27,5980;28,0200;27,1080
perlin_noise;55,2313;0,2973;55,6480;54,9740;55,0720
plasma_noise;27,8740;0,6562;28,5960;27,0080;28,0180
single_frequency_greyscale;24,7247;0,7553;25,7860;24,2980;24,0900
sparkles;59,6873;0,1077;59,7360;59,5380;59,7880
Acc_C-all-19;42,6407;0,3303;42,2903;42,5483;43,0835
Acc_C-original-15;43,1560;0,2952;42,8147;43,1185;43,5349
Acc_C-bar-10;39,5497;0,3165;39,9968;39,3084;39,3440
Acc_all-ex-pixelwise-noise-24;42,9839;0,0493;42,9254;42,9803;43,0460
RMSCE_C;0,1661;0,0065;0,1745;0,1652;0,1586
Combined_Noise;62,5433;0,2245;62,5400;62,2700;62,8200
