;config_333_avg
Standard_Acc;57,0500
RMSCE;0,0677
gaussian_noise;19,3740
shot_noise;23,5520
impulse_noise;24,5780
defocus_blur;35,7780
glass_blur;20,9000
motion_blur;43,0440
zoom_blur;37,9600
snow;33,3900
frost;34,0600
fog;43,6460
brightness;53,2360
contrast;31,0180
elastic_transform;44,5720
pixelate;42,9960
jpeg_compression;41,0500
speckle_noise;18,5420
gaussian_blur;38,0600
spatter;42,4460
saturate;48,8600
blue_noise_sample;40,8160
brownish_noise;29,8540
caustic_refraction;24,0780
checkerboard_cutout;33,5680
cocentric_sine_waves;17,5800
inverse_sparkles;14,7720
perlin_noise;42,4080
plasma_noise;13,1860
single_frequency_greyscale;17,4700
sparkles;43,0820
Acc_C-all-19;35,6348
Acc_C-original-15;35,2769
Acc_C-bar-10;27,6814
Acc_all-ex-pixelwise-noise-24;34,4589
RMSCE_C;0,1947
Combined_Noise;51,8000
