;config_584_avg
Standard_Acc;97,9876
RMSCE;0,1678
gaussian_noise;85,5715
shot_noise;83,3750
impulse_noise;58,2007
defocus_blur;51,9269
glass_blur;52,2425
motion_blur;46,4159
zoom_blur;27,0551
snow;73,1816
frost;96,9617
fog;97,2642
brightness;81,6914
contrast;97,2116
elastic_transform;81,9545
pixelate;68,6308
jpeg_compression;89,7540
speckle_noise;73,6157
gaussian_blur;63,0409
spatter;87,1498
saturate;97,6588
blue_noise;77,1801
brownish_noise;86,0450
checkerboard_cutout;58,3980
circular_motion_blur;61,7519
inverse_sparkles;93,5683
lines;69,9592
pinch_and_twirl;88,2415
ripple;78,9557
sparkles;48,5072
transverse_chromatic_abberation;30,4485
Acc_C-all-19;74,3633
Acc_C-original-15;72,7625
Acc_C-bar-10;69,3055
Acc_all-ex-pixelwise-noise-24;72,0006
RMSCE_C;0,1718
Combined_Noise;93,1080
