time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
44,7947;5,2183;0,4603;7,0235;0,4138;5,0345;7,0235;5,0345
88,0852;14,1556;0,3501;15,5465;0,3183;10,6897;15,5465;10,6897
131,1066;34,5653;0,2620;44,6008;0,2111;26,0690;44,6008;26,0690
177,4392;49,2075;0,2063;78,3770;0,1159;45,9310;78,3770;45,9310
228,1538;62,6069;0,1640;84,1115;0,0686;50,3103;84,1115;50,3103
272,1361;66,0167;0,1490;91,9900;0,0460;59,2759;91,9900;59,2759
320,0926;68,7130;0,1342;92,1610;0,0358;63,1724;92,1610;63,1724
372,7098;71,0114;0,1225;95,0940;0,0273;66,6897;95,0940;66,6897
417,9423;71,9946;0,1174;95,4886;0,0245;68,5517;95,4886;68,5517
470,4193;73,4743;0,1108;94,6600;0,0270;67,2759;94,6600;67,2759
513,8210;65,4807;0,1510;91,9637;0,0422;59,2414;91,9637;59,2414
560,1853;69,7126;0,1302;94,1339;0,0317;60,8276;94,1339;60,8276
612,1446;71,1726;0,1204;89,7935;0,0448;52,3103;89,7935;52,3103
655,2360;72,6424;0,1155;93,2921;0,0408;68,7241;93,2921;68,7241
701,3954;73,8787;0,1091;95,7517;0,0248;69,5517;95,7517;69,5517
749,5640;74,7337;0,1061;94,9494;0,0236;67,9655;94,9494;67,9655
792,3632;76,1015;0,1002;95,2387;0,0229;67,7586;95,2387;67,7586
839,0702;77,0321;0,0960;94,7915;0,0246;67,0000;94,7915;67,0000
886,3797;78,0481;0,0926;93,2001;0,0318;63,5517;93,2001;63,5517
932,8528;78,8209;0,0889;96,8565;0,0170;72,4483;96,8565;72,4483
979,3642;79,9290;0,0840;95,6728;0,0197;70,2069;95,6728;70,2069
1025,0134;80,4288;0,0828;96,0542;0,0186;71,1724;96,0542;71,1724
1072,2862;80,7346;0,0815;96,4882;0,0171;70,8276;96,4882;70,8276
1125,0622;81,5632;0,0766;96,6461;0,0156;72,4828;96,6461;72,4828
1167,7250;82,6220;0,0738;96,6461;0,0165;73,3793;96,6461;73,3793
1211,9043;83,1284;0,0720;96,7250;0,0152;74,0690;96,7250;74,0690
1260,4816;83,0199;0,0711;96,6461;0,0160;73,1034;96,6461;73,1034
1304,8919;84,0326;0,0670;97,3300;0,0141;73,4828;97,3300;73,4828
1351,2738;83,9405;0,0679;96,8697;0,0155;73,2414;96,8697;73,2414
1395,3312;84,0787;0,0663;97,2379;0,0140;73,9655;97,2379;73,9655
1442,4433;78,3802;0,0916;94,9888;0,0272;71,4828;94,9888;71,4828
1494,5898;79,1431;0,0883;92,9502;0,0314;62,5172;92,9502;62,5172
1538,8973;79,4029;0,0861;95,7780;0,0208;70,2759;95,7780;70,2759
1585,6051;80,1230;0,0847;95,0020;0,0235;69,3793;95,0020;69,3793
1638,5021;80,1690;0,0829;95,6728;0,0194;67,5862;95,6728;67,5862
1681,8826;81,0305;0,0804;95,0546;0,0224;67,5862;95,0546;67,5862
1730,9726;80,8858;0,0804;95,9884;0,0199;68,2069;95,9884;68,2069
1779,3123;81,2837;0,0784;95,9753;0,0196;73,7931;95,9753;73,7931
1825,3680;82,1781;0,0759;97,2511;0,0152;75,0690;97,2511;75,0690
1881,6477;82,3096;0,0755;97,0406;0,0168;75,8276;97,0406;75,8276
1929,3734;82,1090;0,0749;95,8306;0,0202;71,1724;95,8306;71,1724
1974,5092;82,4379;0,0742;96,1857;0,0186;70,8276;96,1857;70,8276
2023,8019;83,2106;0,0710;90,1355;0,0369;66,3448;90,1355;66,3448
2070,9472;83,4079;0,0706;94,3969;0,0288;71,4483;94,3969;71,4483
2126,8922;83,0626;0,0718;96,7644;0,0195;76,0690;96,7644;76,0690
2171,0053;83,8814;0,0682;97,2774;0,0150;75,5862;97,2774;75,5862
2220,6991;83,8583;0,0689;97,3300;0,0145;72,2414;97,3300;72,2414
2273,7169;84,1839;0,0662;97,5010;0,0149;76,8276;97,5010;76,8276
2318,4986;84,3286;0,0659;97,6851;0,0130;76,8276;97,6851;76,8276
2368,6216;84,5686;0,0653;97,2248;0,0152;74,7586;97,2248;74,7586
2413,5948;85,1901;0,0629;97,4878;0,0144;76,4828;97,4878;76,4828
2461,5376;85,2624;0,0625;94,8836;0,0260;69,8621;94,8836;69,8621
2515,7823;85,1769;0,0625;97,7246;0,0141;75,8276;97,7246;75,8276
2561,2075;85,6570;0,0604;97,6062;0,0132;75,1034;97,6062;75,1034
2607,4613;85,9003;0,0599;97,4615;0,0139;74,4828;97,4615;74,4828
2651,7504;85,9069;0,0591;97,7377;0,0127;75,5862;97,7377;75,5862
