train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
25,7080;2,1214;40,6500;1,7679;35,8897;40,6500;35,8897
43,0840;1,7375;51,2100;1,5873;34,4207;51,2100;34,4207
50,8720;1,5830;63,8600;1,3128;54,2483;63,8600;54,2483
55,9220;1,4829;69,3800;1,2216;57,0276;69,3800;57,0276
59,9500;1,4015;68,6500;1,2957;56,0759;68,6500;56,0759
63,4460;1,3306;67,8600;1,2841;58,5241;67,8600;58,5241
65,6540;1,2885;76,6000;1,0819;63,1172;76,6000;63,1172
67,3920;1,2452;77,4100;1,0798;60,2414;77,4100;60,2414
69,0980;1,2085;81,2600;0,9706;70,0690;81,2600;70,0690
70,6500;1,1788;80,6500;0,9869;66,4621;80,6500;66,4621
71,9560;1,1466;83,6200;0,9327;71,1310;83,6200;71,1310
73,1080;1,1251;84,8100;0,9185;74,7655;84,8100;74,7655
74,5240;1,0957;84,7200;0,8900;71,3241;84,7200;71,3241
75,4960;1,0708;85,7300;0,8734;73,8621;85,7300;73,8621
76,5020;1,0509;86,9500;0,8591;73,6138;86,9500;73,6138
77,1680;1,0337;88,1800;0,8247;73,6759;88,1800;73,6759
78,1640;1,0135;88,4400;0,8084;74,4345;88,4400;74,4345
78,3500;1,0103;88,6400;0,8039;75,4138;88,6400;75,4138
78,8960;1,0002;89,0800;0,7929;75,2759;89,0800;75,2759
78,9420;0,9959;89,2200;0,7917;75,3379;89,2200;75,3379
72,1620;1,1467;82,7000;0,9587;67,5448;82,7000;67,5448
71,9480;1,1460;76,1500;1,1230;64,7862;76,1500;64,7862
72,8500;1,1298;85,1600;0,8862;71,0000;85,1600;71,0000
73,5200;1,1139;84,2200;0,9052;69,1793;84,2200;69,1793
74,2020;1,0985;85,5900;0,8799;71,4000;85,5900;71,4000
74,5900;1,0870;84,6600;0,8955;69,3724;84,6600;69,3724
75,2240;1,0725;85,7800;0,8533;71,3241;85,7800;71,3241
75,9460;1,0616;84,3500;0,9187;70,8483;84,3500;70,8483
