;config_501_avg;config_501_std;config_501_run_0;config_501_run_1;config_501_run_2
Standard_Acc;95,3833;0,0309;95,4000;95,3400;95,4100
RMSCE;0,0357;0,0008;0,0347;0,0366;0,0356
gaussian_noise;80,7453;1,2170;81,7440;81,4600;79,0320
shot_noise;84,7833;1,0323;85,2700;85,7320;83,3480
impulse_noise;86,3647;1,2257;87,8800;86,3360;84,8780
defocus_blur;94,0213;0,0747;94,0400;93,9220;94,1020
glass_blur;79,3633;0,4466;79,8900;79,4020;78,7980
motion_blur;90,5953;0,2844;90,1980;90,8480;90,7400
zoom_blur;92,5780;0,0740;92,4740;92,6200;92,6400
snow;89,2380;0,3583;89,6980;88,8240;89,1920
frost;90,8340;0,1049;90,9000;90,9160;90,6860
fog;92,7767;0,1361;92,6520;92,9660;92,7120
brightness;94,5053;0,1004;94,6360;94,4880;94,3920
contrast;90,7927;0,4986;90,2660;90,6500;91,4620
elastic_transform;89,1887;0,1364;89,3580;89,0240;89,1840
pixelate;83,2393;0,8901;84,0740;82,0060;83,6380
jpeg_compression;87,3480;0,3105;87,7200;86,9600;87,3640
speckle_noise;86,1000;0,8451;86,2820;87,0320;84,9860
gaussian_blur;93,2147;0,0838;93,1880;93,1280;93,3280
spatter;92,0273;0,1282;92,1400;91,8480;92,0940
saturate;94,2860;0,0565;94,2620;94,3640;94,2320
blue_noise;87,6953;0,2084;87,9900;87,5520;87,5440
brownish_noise;83,9287;0,4805;84,1480;84,3760;83,2620
checkerboard_cutout;82,2333;0,8055;83,1480;81,1880;82,3640
circular_motion_blur;93,6693;0,1420;93,8700;93,5760;93,5620
inverse_sparkles;66,0653;0,6217;66,7980;65,2780;66,1200
lines;73,8807;1,0871;74,7700;72,3500;74,5220
pinch_and_twirl;90,4613;0,1298;90,5600;90,5460;90,2780
ripple;80,7453;0,8486;81,2740;79,5480;81,4140
sparkles;85,6820;0,1130;85,6340;85,8380;85,5740
transverse_chromatic_abberation;89,9300;0,1290;89,8660;90,1100;89,8140
Acc_C-all-19;89,0527;0,2128;89,2985;89,0803;88,7794
Acc_C-original-15;88,4249;0,2352;88,7200;88,4103;88,1445
Acc_C-bar-10;83,4291;0,3144;83,8058;83,0362;83,4454
Acc_all-ex-pixelwise-noise-24;87,5252;0,1853;87,7318;87,2823;87,5614
RMSCE_C;0,0444;0,0003;0,0440;0,0448;0,0443
Combined_Noise;86,6733;0,5662;87,2400;86,8800;85,9000
