;config_526_avg;config_526_std;config_526_run_0;config_526_run_1;config_526_run_2
Standard_Acc;96,3833;0,0249;96,3500;96,4100;96,3900
RMSCE;0,2310;0,0019;0,2329;0,2284;0,2317
gaussian_noise;86,9667;0,8994;85,7000;87,5000;87,7000
shot_noise;89,1000;0,3559;88,6000;89,4000;89,3000
impulse_noise;88,0667;1,8874;85,4000;89,3000;89,5000
defocus_blur;93,9333;0,5907;94,3000;94,4000;93,1000
glass_blur;88,8333;0,5735;88,1000;88,9000;89,5000
motion_blur;92,1667;0,6848;92,7000;92,6000;91,2000
zoom_blur;92,9333;0,2867;92,6000;93,3000;92,9000
snow;91,2000;0,2160;91,3000;90,9000;91,4000
frost;93,8667;0,6650;93,3000;94,8000;93,5000
fog;94,0000;0,4546;94,5000;93,4000;94,1000
brightness;95,4333;0,2357;95,6000;95,6000;95,1000
contrast;94,2667;0,6549;94,2000;95,1000;93,5000
elastic_transform;91,6000;0,5354;91,5000;92,3000;91,0000
pixelate;89,5667;0,5249;89,3000;89,1000;90,3000
jpeg_compression;86,2667;1,3695;85,2000;85,4000;88,2000
speckle_noise;90,7333;0,4714;90,4000;91,4000;90,4000
gaussian_blur;92,2000;0,7118;91,2000;92,8000;92,6000
spatter;93,8000;0,2944;93,5000;94,2000;93,7000
saturate;95,9667;0,2494;95,9000;95,7000;96,3000
blue_noise;88,6333;0,6600;89,1000;87,7000;89,1000
brownish_noise;77,3000;3,2752;78,6000;80,5000;72,8000
checkerboard_cutout;87,8667;0,5558;88,4000;87,1000;88,1000
circular_motion_blur;92,9667;0,1700;92,9000;92,8000;93,2000
inverse_sparkles;77,2000;0,5888;76,4000;77,4000;77,8000
lines;80,9667;0,8498;81,3000;81,8000;79,8000
pinch_and_twirl;93,9000;0,4320;94,3000;94,1000;93,3000
ripple;88,6667;1,2229;89,1000;87,0000;89,9000
sparkles;87,7667;1,4055;87,2000;89,7000;86,4000
transverse_chromatic_abberation;83,4667;1,1086;82,2000;84,9000;83,3000
Acc_C-all-19;91,6263;0,2892;91,2263;91,9000;91,7526
Acc_C-original-15;91,2133;0,2820;90,8200;91,4667;91,3533
Acc_C-bar-10;85,8733;0,3835;85,9500;86,3000;85,3700
Acc_all-ex-pixelwise-noise-24;89,8389;0,2302;89,7333;90,1583;89,6250
RMSCE_C;0,2326;0,0013;0,2332;0,2308;0,2339
Combined_Noise;90,6667;0,3412;90,2800;90,6100;91,1100
