train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
32,6012;1,9308;43,5400;1,9203;43,0414;43,5400;43,0414
48,4569;1,6383;58,7700;1,5002;48,4552;58,7700;48,4552
55,5210;1,4943;60,8700;1,4336;47,9103;60,8700;47,9103
59,6313;1,4101;71,6600;1,2208;58,8759;71,6600;58,8759
62,3888;1,3424;76,2200;1,1313;63,1448;76,2200;63,1448
65,4810;1,2843;78,4000;1,0492;63,5724;78,4000;63,5724
67,1343;1,2518;80,3900;1,0398;66,3241;80,3900;66,3241
68,6733;1,2179;79,0700;1,0135;61,4759;79,0700;61,4759
70,3006;1,1781;82,2900;0,9689;65,9310;82,2900;65,9310
71,1623;1,1565;82,5600;0,9343;66,1448;82,5600;66,1448
72,7255;1,1273;84,8200;0,9133;71,4897;84,8200;71,4897
73,3607;1,1045;86,4100;0,8650;73,2207;86,4100;73,2207
74,6273;1,0818;86,5300;0,8597;72,7379;86,5300;72,7379
75,2465;1,0607;87,5300;0,8262;74,7724;87,5300;74,7724
76,5551;1,0405;88,0700;0,8203;74,5172;88,0700;74,5172
76,9279;1,0263;89,0500;0,7909;75,4690;89,0500;75,4690
77,9780;1,0062;89,7200;0,7778;77,6552;89,7200;77,6552
78,3968;0,9954;89,7300;0,7887;77,6483;89,7300;77,6483
79,0481;0,9815;90,1800;0,7746;77,6759;90,1800;77,6759
79,1623;0,9781;90,0000;0,7792;76,7931;90,0000;76,7931
71,7655;1,1445;80,5600;1,0150;63,9172;80,5600;63,9172
72,3106;1,1365;82,4100;0,9774;66,9586;82,4100;66,9586
72,4449;1,1239;85,0300;0,9073;72,0897;85,0300;72,0897
73,2305;1,1091;86,0400;0,8763;74,4552;86,0400;74,4552
73,9519;1,0923;84,7400;0,9196;67,1586;84,7400;67,1586
74,7134;1,0819;85,6600;0,8622;71,0759;85,6600;71,0759
74,8737;1,0725;86,1200;0,8786;71,9310;86,1200;71,9310
75,4489;1,0568;86,5600;0,8546;72,5862;86,5600;72,5862
75,8958;1,0497;87,8900;0,8397;74,1103;87,8900;74,1103
76,8537;1,0300;88,8600;0,8071;73,5103;88,8600;73,5103
76,7615;1,0292;87,6600;0,8264;73,9724;87,6600;73,9724
77,4289;1,0156;88,8200;0,7922;77,6414;88,8200;77,6414
77,4649;1,0117;89,4200;0,8024;75,2483;89,4200;75,2483
78,2084;1,0004;89,0300;0,8177;76,9517;89,0300;76,9517
78,4790;0,9915;88,8600;0,7932;75,7586;88,8600;75,7586
78,7455;0,9842;90,8500;0,7575;77,4621;90,8500;77,4621
79,2084;0,9783;90,2700;0,7654;76,2690;90,2700;76,2690
79,4629;0,9650;90,4000;0,7613;75,1655;90,4000;75,1655
79,8878;0,9558;91,0800;0,7509;76,8690;91,0800;76,8690
80,1563;0,9504;90,9000;0,7463;76,9586;90,9000;76,9586
80,3888;0,9464;91,1600;0,7389;76,8621;91,1600;76,8621
81,2285;0,9270;91,0400;0,7353;78,4483;91,0400;78,4483
81,3206;0,9240;91,3500;0,7289;78,8690;91,3500;78,8690
81,8497;0,9131;92,2200;0,7160;80,4828;92,2200;80,4828
82,3026;0,9039;92,4800;0,7141;78,4552;92,4800;78,4552
82,4850;0,9013;92,3000;0,7186;79,1655;92,3000;79,1655
82,9359;0,8888;93,0300;0,6983;79,8897;93,0300;79,8897
83,1804;0,8834;93,2800;0,6859;80,7862;93,2800;80,7862
83,5752;0,8737;93,0700;0,6920;80,4345;93,0700;80,4345
83,7134;0,8698;93,3600;0,7010;79,5241;93,3600;79,5241
84,5230;0,8572;93,4100;0,6842;80,5655;93,4100;80,5655
84,3106;0,8587;93,7100;0,6729;81,0759;93,7100;81,0759
84,9279;0,8490;94,0200;0,6792;81,4000;94,0200;81,4000
85,2545;0,8384;93,7900;0,6758;80,9862;93,7900;80,9862
85,4749;0,8352;94,1600;0,6573;81,4897;94,1600;81,4897
85,3908;0,8360;94,2700;0,6626;81,9103;94,2700;81,9103
85,4709;0,8348;94,3200;0,6554;81,5103;94,3200;81,5103
85,8938;0,8269;94,2100;0,6621;81,0690;94,2100;81,0690
85,8677;0,8257;94,3500;0,6660;81,7793;94,3500;81,7793
85,9158;0,8249;94,3800;0,6519;82,0690;94,3800;82,0690
79,2485;0,9736;89,0400;0,7991;75,8138;89,0400;75,8138
78,3988;0,9937;88,8000;0,7948;75,9379;88,8000;75,9379
78,3667;0,9915;88,8900;0,7907;70,3724;88,8900;70,3724
78,5230;0,9819;89,9600;0,7868;75,3448;89,9600;75,3448
79,2585;0,9758;90,1600;0,7745;72,2414;90,1600;72,2414
79,0060;0,9788;90,0600;0,7521;75,9655;90,0600;75,9655
79,4449;0,9675;90,6000;0,7394;78,5655;90,6000;78,5655
79,2545;0,9701;90,6000;0,7439;76,9655;90,6000;76,9655
80,0040;0,9580;90,5000;0,7510;74,5724;90,5000;74,5724
80,1543;0,9548;91,3900;0,7177;79,4345;91,3900;79,4345
80,0381;0,9514;90,8300;0,7478;77,9172;90,8300;77,9172
80,3046;0,9490;90,4600;0,7564;77,2000;90,4600;77,2000
80,6032;0,9423;91,4900;0,7220;78,4069;91,4900;78,4069
80,6814;0,9391;92,1600;0,7251;79,1241;92,1600;79,1241
80,8216;0,9341;91,0800;0,7347;72,0207;91,0800;72,0207
80,8457;0,9367;91,6700;0,7173;77,9034;91,6700;77,9034
81,2004;0,9308;90,7100;0,7432;76,6621;90,7100;76,6621
81,0421;0,9263;91,6600;0,7289;76,1379;91,6600;76,1379
81,4609;0,9198;92,2400;0,7081;78,3448;92,2400;78,3448
81,7134;0,9174;91,9500;0,7165;76,3103;91,9500;76,3103
81,6313;0,9152;92,5400;0,7049;81,0552;92,5400;81,0552
82,0922;0,9095;92,0600;0,7394;77,6483;92,0600;77,6483
81,9800;0,9100;92,2800;0,7166;79,5724;92,2800;79,5724
82,2926;0,9057;92,2300;0,6998;78,6414;92,2300;78,6414
