time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
61,5607;31,4700;1,9660;49,6300;1,6730;44,1379;49,6300;44,1379
122,3459;49,8120;1,6167;65,2500;1,4091;55,2069;65,2500;55,2069
182,3474;58,7400;1,4428;67,4200;1,3423;55,6276;67,4200;55,6276
242,8442;62,9620;1,3504;71,3700;1,2977;60,0690;71,3700;60,0690
304,6254;66,1800;1,2756;76,3100;1,1095;63,9172;76,3100;63,9172
364,5542;68,4900;1,2277;78,9900;1,0680;67,7241;78,9900;67,7241
424,8761;69,8260;1,1998;81,3500;1,0127;68,0000;81,3500;68,0000
485,8875;71,6820;1,1627;82,8900;0,9309;71,9379;82,8900;71,9379
547,1003;73,2700;1,1266;83,8100;0,9210;72,2759;83,8100;72,2759
608,2240;74,0360;1,1046;83,7000;0,9183;71,8690;83,7000;71,8690
669,1513;74,8860;1,0823;83,7500;0,9217;71,0759;83,7500;71,0759
730,1706;76,1560;1,0525;86,5800;0,8661;74,4552;86,5800;74,4552
791,1005;77,4640;1,0296;86,6600;0,8715;75,0828;86,6600;75,0828
851,7622;78,2860;1,0063;88,5300;0,8067;76,9034;88,5300;76,9034
911,0674;78,9760;0,9907;87,9900;0,8154;77,5103;87,9900;77,5103
970,9218;79,8920;0,9705;89,2900;0,7852;77,7655;89,2900;77,7655
1030,9139;80,3000;0,9625;89,2900;0,7905;77,9655;89,2900;77,9655
1091,1982;80,8340;0,9474;89,5500;0,7900;78,4207;89,5500;78,4207
1150,7950;81,1100;0,9429;89,7700;0,7779;78,9931;89,7700;78,9931
1210,9856;81,4940;0,9379;89,9300;0,7733;78,9034;89,9300;78,9034
1272,1223;74,6620;1,0896;81,9400;0,9998;69,4621;81,9400;69,4621
1332,7748;74,2560;1,0944;84,8200;0,9017;71,7448;84,8200;71,7448
1393,7327;75,6700;1,0636;84,4600;0,9000;71,7586;84,4600;71,7586
1454,7737;75,9620;1,0570;84,6500;0,8802;72,8138;84,6500;72,8138
1514,9145;76,2920;1,0473;87,0100;0,8352;73,7724;87,0100;73,7724
1575,2375;76,6700;1,0383;86,0600;0,8568;74,1655;86,0600;74,1655
1635,5905;77,5180;1,0190;87,7500;0,8310;76,3586;87,7500;76,3586
1695,7900;77,7660;1,0119;86,9800;0,8363;74,3034;86,9800;74,3034
1756,4268;78,2980;1,0011;86,0800;0,8453;73,7379;86,0800;73,7379
1817,1951;78,7800;0,9907;88,7200;0,7988;77,2276;88,7200;77,2276
1877,4474;78,7060;0,9904;88,2300;0,8079;75,6000;88,2300;75,6000
1938,1561;79,3980;0,9759;88,8100;0,8025;77,3586;88,8100;77,3586
1998,0008;79,4520;0,9730;89,6700;0,7654;77,5241;89,6700;77,5241
2057,6572;80,0200;0,9598;90,3200;0,7644;78,7448;90,3200;78,7448
2117,8106;80,4200;0,9490;89,3900;0,7743;77,8069;89,3900;77,8069
2178,0218;81,0060;0,9380;90,5200;0,7449;79,4483;90,5200;79,4483
2237,8890;80,7440;0,9443;90,8800;0,7429;79,3931;90,8800;79,3931
2297,4183;81,6200;0,9288;90,6200;0,7439;79,3793;90,6200;79,3793
2357,1900;81,5700;0,9282;89,7100;0,7731;78,4069;89,7100;78,4069
2418,0308;82,1860;0,9122;90,7400;0,7449;79,4690;90,7400;79,4690
2478,7145;82,2820;0,9100;91,0800;0,7378;79,1724;91,0800;79,1724
2539,2836;82,6600;0,9025;91,2400;0,7288;80,0966;91,2400;80,0966
2599,6834;83,2720;0,8874;91,6100;0,7246;81,4000;91,6100;81,4000
2660,3966;83,6740;0,8795;92,2600;0,6980;82,0483;92,2600;82,0483
2721,2230;83,7340;0,8769;92,2300;0,6986;81,7034;92,2300;81,7034
2781,3532;83,9620;0,8704;91,9000;0,7041;81,6069;91,9000;81,6069
2842,0368;84,5680;0,8582;92,1500;0,7014;82,5586;92,1500;82,5586
2902,9661;84,6220;0,8571;92,7400;0,6878;82,7103;92,7400;82,7103
2963,4635;84,9020;0,8492;92,7900;0,6831;83,0345;92,7900;83,0345
3024,2970;85,2380;0,8408;93,2500;0,6766;83,6207;93,2500;83,6207
3084,5666;85,7880;0,8306;93,0100;0,6795;83,2345;93,0100;83,2345
3145,2503;85,3940;0,8333;93,2800;0,6746;83,5034;93,2800;83,5034
3206,2377;86,0420;0,8236;93,3300;0,6726;83,9034;93,3300;83,9034
3266,7445;86,4460;0,8159;93,5400;0,6655;83,8828;93,5400;83,8828
3327,9540;86,3780;0,8154;93,5000;0,6670;84,4690;93,5000;84,4690
3389,4258;86,7240;0,8132;93,5300;0,6615;84,6414;93,5300;84,6414
3451,0959;86,8140;0,8074;93,5800;0,6604;84,9241;93,5800;84,9241
3511,1847;86,7120;0,8071;93,6300;0,6604;84,6552;93,6300;84,6552
3571,4411;86,7900;0,8049;93,8800;0,6569;84,8690;93,8800;84,8690
3632,2961;86,7500;0,8049;93,8500;0,6600;84,9379;93,8500;84,9379
3692,4644;80,8200;0,9446;88,3100;0,7967;76,9103;88,3100;76,9103
3753,5916;80,1480;0,9537;86,9100;0,8340;74,8000;86,9100;74,8000
3814,1065;80,1820;0,9575;88,8600;0,7796;78,3862;88,8600;78,3862
3874,9398;80,7100;0,9479;89,0700;0,7847;78,6345;89,0700;78,6345
3934,9580;80,9600;0,9422;89,7500;0,7658;78,5862;89,7500;78,5862
3994,9142;80,8460;0,9422;89,2400;0,7694;76,1103;89,2400;76,1103
4055,7727;80,9280;0,9388;90,6300;0,7381;79,1172;90,6300;79,1172
4115,9531;81,5040;0,9278;90,1300;0,7397;78,9103;90,1300;78,9103
4175,9615;81,5040;0,9294;90,7700;0,7310;80,2000;90,7700;80,2000
4236,3822;81,8620;0,9202;91,3500;0,7218;80,7379;91,3500;80,7379
4297,8535;81,6800;0,9220;90,0700;0,7477;79,0000;90,0700;79,0000
4358,4391;82,0280;0,9163;90,9100;0,7317;79,6414;90,9100;79,6414
4418,6982;82,1300;0,9125;90,0200;0,7531;79,0621;90,0200;79,0621
4478,7790;82,2060;0,9110;90,8100;0,7280;80,5379;90,8100;80,5379
4539,9876;82,5300;0,9062;91,1000;0,7236;80,3724;91,1000;80,3724
4600,7804;82,4860;0,9059;90,9600;0,7380;79,2966;90,9600;79,2966
4662,9176;82,4140;0,9031;91,0200;0,7168;79,6276;91,0200;79,6276
4723,6220;82,8900;0,8987;92,0100;0,7121;81,5310;92,0100;81,5310
4783,7239;82,8340;0,8989;90,6100;0,7322;80,6690;90,6100;80,6690
4844,0179;82,9640;0,8923;91,1700;0,7289;80,3655;91,1700;80,3655
4903,4627;82,8180;0,8929;91,2400;0,7163;81,1862;91,2400;81,1862
4963,2092;83,1740;0,8891;91,3500;0,7185;80,7172;91,3500;80,7172
5023,1955;83,3300;0,8854;91,7500;0,7149;80,8345;91,7500;80,8345
5083,3743;83,7100;0,8756;92,1100;0,7022;81,8621;92,1100;81,8621
5143,3878;83,7700;0,8726;91,6300;0,7091;81,7034;91,6300;81,7034
5202,6278;83,6780;0,8755;92,1400;0,6954;82,5034;92,1400;82,5034
5262,4421;83,9160;0,8684;91,5000;0,7124;79,5517;91,5000;79,5517
5322,5760;83,8780;0,8716;91,7000;0,7054;81,6483;91,7000;81,6483
5382,9814;84,3560;0,8617;92,3100;0,7064;82,3310;92,3100;82,3310
5443,0214;84,2200;0,8638;91,3100;0,7191;80,4552;91,3100;80,4552
5503,2530;84,5820;0,8596;92,0300;0,7078;81,0552;92,0300;81,0552
5563,9400;84,6920;0,8545;92,5000;0,7096;82,3586;92,5000;82,3586
5625,1940;84,5740;0,8561;92,2600;0,6999;81,9379;92,2600;81,9379
5686,1402;84,6920;0,8506;92,4100;0,6941;82,4966;92,4100;82,4966
5746,9347;85,2960;0,8420;92,6900;0,6945;82,3448;92,6900;82,3448
5807,7273;84,8400;0,8487;93,0100;0,6886;82,4207;93,0100;82,4207
5867,8614;85,1060;0,8426;93,0700;0,6812;83,3241;93,0700;83,3241
5929,3970;85,2660;0,8360;92,6900;0,6923;82,5241;92,6900;82,5241
5990,8546;85,3060;0,8391;93,0000;0,6816;83,2552;93,0000;83,2552
6051,8064;85,5740;0,8313;93,1300;0,6843;82,8207;93,1300;82,8207
6112,8719;85,6120;0,8305;93,2700;0,6711;83,2069;93,2700;83,2069
6173,8447;85,8540;0,8246;93,0400;0,6844;82,6483;93,0400;82,6483
6233,6338;85,7340;0,8269;92,7600;0,6841;82,6207;92,7600;82,6207
6294,7883;85,8220;0,8266;93,8000;0,6653;84,3655;93,8000;84,3655
6356,4077;86,1860;0,8208;93,6800;0,6650;84,4069;93,6800;84,4069
6418,4077;86,4460;0,8116;93,2900;0,6718;83,4759;93,2900;83,4759
6480,8045;86,4280;0,8109;93,3400;0,6754;84,2138;93,3400;84,2138
6542,9516;86,5440;0,8113;93,5900;0,6763;84,2069;93,5900;84,2069
6604,3076;87,2120;0,7994;94,0600;0,6618;85,2414;94,0600;85,2414
6664,9494;87,0740;0,7982;93,0900;0,6689;84,4207;93,0900;84,4207
6726,7165;86,8680;0,8006;93,6500;0,6699;84,8069;93,6500;84,8069
6786,7677;87,4000;0,7929;94,2200;0,6501;85,3103;94,2200;85,3103
6847,2498;87,4560;0,7885;94,2300;0,6520;85,2207;94,2300;85,2207
6907,0831;87,3440;0,7910;94,1300;0,6619;85,7931;94,1300;85,7931
6968,0381;87,5740;0,7880;94,2300;0,6525;84,6621;94,2300;84,6621
7029,5055;87,8160;0,7804;94,5900;0,6441;85,4414;94,5900;85,4414
7089,8018;87,9760;0,7763;94,4200;0,6477;85,4069;94,4200;85,4069
7150,5196;88,2240;0,7714;95,0100;0,6418;86,3103;95,0100;86,3103
7212,2098;88,4480;0,7680;94,8800;0,6416;86,2552;94,8800;86,2552
7273,4443;88,4280;0,7667;94,8100;0,6464;85,9724;94,8100;85,9724
7334,2016;88,5040;0,7652;94,5100;0,6446;86,1931;94,5100;86,1931
7395,1170;88,6080;0,7620;94,7400;0,6353;85,7172;94,7400;85,7172
7456,5841;88,7380;0,7562;94,9400;0,6353;86,5310;94,9400;86,5310
7517,8798;89,0160;0,7535;95,0100;0,6376;86,7379;95,0100;86,7379
7577,8930;88,9480;0,7527;95,1800;0,6329;87,0276;95,1800;87,0276
7639,1417;88,9140;0,7556;95,2700;0,6349;86,6138;95,2700;86,6138
7701,3144;89,1560;0,7505;95,1800;0,6308;86,9793;95,1800;86,9793
